model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.19287833827893175, 0.1661721068249258, 0.16023738872403562, 0.1543026706231454, 0.18397626112759644, 0.12721893491124261, 0.1834319526627219, 0.17751479289940827, 0.16568047337278108, 0.17751479289940827]",0.23333333333333334,Models\DecisionTrees\20260419_Apr\baseline.pkl,"[80.71216617210682, 83.38278931750742, 83.97626112759644, 84.56973293768546, 81.60237388724035, 87.27810650887574, 81.65680473372781, 82.24852071005917, 83.4319526627219, 82.24852071005917]","[0.2689655172413793, 0.43103448275862066, 0.3109118086696562, 0.3195084485407066, 0.5664804469273743, 0.3758503401360544, 0.3406896551724138, 0.33476394849785407, 0.3616133518776078, 0.3674293405114401]",16.0,295.0,8.0,56.0,63.70370370370371,0.0,0.0,117.0,0.0,18.0
Decision tree,batch normalisation,"[0.11275964391691394, 0.10979228486646884, 0.09792284866468842, 0.09198813056379822, 0.10089020771513353, 0.12721893491124261, 0.12130177514792899, 0.11538461538461539, 0.12130177514792899, 0.11242603550295859]",0.37777777777777777,Models\DecisionTrees\20260419_Apr\batch_normalisation.pkl,"[88.72403560830861, 89.02077151335311, 89.91097922848664, 90.50445103857567, 89.91097922848664, 85.50295857988166, 87.57396449704143, 88.46153846153845, 87.86982248520711, 88.46153846153845]","[0.6729074889867841, 0.5982587064676617, 0.7590233545647559, 0.7185929648241206, 0.7096069868995634, 0.6273849607182941, 0.6666666666666666, 0.7401656314699793, 0.6617647058823529, 0.7544041450777202]",51.0,285.0,9.0,30.0,54.81481481481482,0.1897810218978102,6.0,87.0,9.0,33.0
Decision tree,dropout,"[0.09792284866468842, 0.10682492581602374, 0.12166172106824925, 0.09792284866468842, 0.12462908011869436, 0.13313609467455623, 0.11834319526627218, 0.12130177514792899, 0.11834319526627218, 0.10946745562130178]",0.15555555555555556,Models\DecisionTrees\20260419_Apr\dropout.pkl,"[90.20771513353115, 89.31750741839762, 87.83382789317507, 90.20771513353115, 87.53709198813057, 86.68639053254438, 88.16568047337277, 87.86982248520711, 88.16568047337277, 89.05325443786982]","[0.4773218142548596, 0.45102040816326533, 0.0, 0.49159663865546216, 0.0, 0.0, 0.0, 0.0, 0.48598130841121495, 0.4891089108910891]",0.0,329.0,0.0,46.0,84.44444444444444,0.0,0.0,114.0,0.0,21.0
Decision tree,layer normalisation,"[0.22255192878338279, 0.21364985163204747, 0.19584569732937684, 0.16913946587537093, 0.18397626112759644, 0.20710059171597633, 0.2603550295857988, 0.26331360946745563, 0.16272189349112426, 0.23964497041420119]",0.2074074074074074,Models\DecisionTrees\20260419_Apr\layer_normalisation.pkl,"[77.74480712166172, 78.63501483679525, 80.41543026706232, 83.08605341246292, 81.60237388724035, 79.28994082840237, 73.96449704142012, 54.437869822485204, 83.72781065088756, 76.03550295857988]","[0.6879240162822252, 0.4945054945054945, 0.7868421052631579, 0.612012987012987, 0.7873601053324556, 0.7656744775174161, 0.7033582089552238, 0.2886323268206039, 0.7542662116040956, 0.4702572347266881]",24.0,253.0,0.0,98.0,79.25925925925927,0.0,0.0,107.0,0.0,28.0
Decision tree,prune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5185185185185185,Models\DecisionTrees\20260419_Apr\prune.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",112.0,263.0,0.0,0.0,48.148148148148145,0.162754303599374,8.0,57.0,19.0,51.0
Decision tree,weight normalisation,"[0.21068249258160238, 0.18991097922848665, 0.20178041543026706, 0.18694362017804153, 0.21068249258160238, 0.19230769230769232, 0.1804733727810651, 0.20710059171597633, 0.1952662721893491, 0.21893491124260356]",0.34814814814814815,Models\DecisionTrees\20260419_Apr\weight_normalisation.pkl,"[78.93175074183976, 81.00890207715133, 79.82195845697329, 81.30563798219585, 75.37091988130564, 80.76923076923077, 81.95266272189349, 79.28994082840237, 80.4733727810651, 78.10650887573965]","[0.6345885634588564, 0.7314132618888145, 0.6940451745379876, 0.7309236947791165, 0.6368876080691642, 0.7294589178356713, 0.7369808833223468, 0.6701030927835051, 0.7129316181448883, 0.6414176511466296]",84.0,217.0,31.0,43.0,65.18518518518519,0.3723150357995227,12.0,76.0,32.0,15.0
Decision tree,weight decay,"[0.18397626112759644, 0.17507418397626112, 0.1543026706231454, 0.1543026706231454, 0.1543026706231454, 0.16568047337278108, 0.1834319526627219, 0.1804733727810651, 0.17751479289940827, 0.16568047337278108]",0.35555555555555557,Models\DecisionTrees\20260419_Apr\weight_decay.pkl,"[81.60237388724035, 82.49258160237389, 84.56973293768546, 83.67952522255193, 84.56973293768546, 83.4319526627219, 81.65680473372781, 80.1775147928994, 80.4733727810651, 83.4319526627219]","[0.6430338004946414, 0.6587490102929533, 0.7392909896602659, 0.643344709897611, 0.6945773524720893, 0.6256117455138662, 0.7179675994108984, 0.6024390243902439, 0.6950301204819277, 0.6669381107491856]",74.0,234.0,27.0,40.0,64.44444444444444,0.1406926406926407,5.0,82.0,7.0,41.0
Decision tree,weight perturbation,"[0.17804154302670624, 0.16023738872403562, 0.17507418397626112, 0.1572700296735905, 0.18694362017804153, 0.1893491124260355, 0.17751479289940827, 0.19822485207100593, 0.1952662721893491, 0.17159763313609466]",0.17407407407407408,Models\DecisionTrees\20260419_Apr\weight_perturbation.pkl,"[81.60237388724035, 83.97626112759644, 78.93175074183976, 84.27299703264094, 77.44807121661721, 79.88165680473372, 79.28994082840237, 78.99408284023669, 76.33136094674556, 82.84023668639054]","[0.3333333333333333, 0.3532608695652174, 0.38333333333333336, 0.37142857142857144, 0.3391304347826087, 0.25624178712220763, 0.43279901356350187, 0.22178477690288714, 0.37545126353790614, 0.45243619489559167]",45.0,269.0,23.0,38.0,82.22222222222221,0.13829787234042554,2.0,110.0,9.0,14.0
KNN,baseline,"[0.142433234421365, 0.1394658753709199, 0.14540059347181009, 0.1543026706231454, 0.13056379821958458, 0.13609467455621302, 0.14792899408284024, 0.14201183431952663, 0.14201183431952663, 0.15088757396449703]",0.22962962962962963,Models\KNN\20260419_Apr\baseline.pkl,"[85.7566765578635, 86.05341246290801, 85.45994065281899, 84.56973293768546, 86.94362017804154, 86.3905325443787, 85.20710059171599, 85.79881656804734, 85.79881656804734, 84.91124260355029]","[0.3869047619047619, 0.4008810572687225, 0.35725190839694654, 0.386685552407932, 0.4120443740095087, 0.42058823529411765, 0.3883357041251778, 0.45013850415512463, 0.4339360222531293, 0.4135546334716459]",24.0,298.0,5.0,48.0,77.03703703703704,0.21138211382113822,4.0,100.0,17.0,14.0
KNN,batch normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4962962962962963,Models\KNN\20260419_Apr\batch_normalisation.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",81.0,294.0,0.0,0.0,50.37037037037037,0.385502471169687,18.0,50.0,46.0,21.0
KNN,dropout,"[0.06824925816023739, 0.06528189910979229, 0.07418397626112759, 0.07418397626112759, 0.0771513353115727, 0.08284023668639054, 0.06804733727810651, 0.07692307692307693, 0.07692307692307693, 0.07100591715976332]",0.2222222222222222,Models\KNN\20260419_Apr\dropout.pkl,"[93.17507418397626, 93.47181008902076, 92.58160237388724, 92.58160237388724, 92.28486646884274, 91.71597633136095, 93.19526627218934, 92.3076923076923, 92.3076923076923, 92.89940828402366]","[0.5224586288416075, 0.5921908893709328, 0.527027027027027, 0.5531914893617021, 0.5605749486652978, 0.4773218142548596, 0.5563063063063063, 0.5548780487804879, 0.5371900826446281, 0.523696682464455]",21.0,326.0,3.0,25.0,77.77777777777779,0.1078838174273859,2.0,103.0,11.0,19.0
KNN,layer normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.24444444444444444,Models\KNN\20260419_Apr\layer_normalisation.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",122.0,253.0,0.0,0.0,75.55555555555556,0.09027777777777778,2.0,100.0,7.0,26.0
KNN,prune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5185185185185185,Models\KNN\20260419_Apr\prune.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",112.0,263.0,0.0,0.0,48.148148148148145,0.12520064205457465,6.0,59.0,17.0,53.0
