dataset_name,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0,4,0,14,0,0,0,1
Ann thyroid,3,1,1,0,12,4,6,0
Car evaluation,1,3,4,6,10,6,1,2
Churn,14,14,14,14,15,14,0,14
Dry Bean,5,9,1,6,8,8,5,5
Indian Engineering Student Placement,3,0,3,2,2,3,13,2
Led24,3,3,5,0,1,4,9,3
Led7,3,2,3,3,9,4,7,3
Liver Cirrhosis,6,9,5,9,5,8,4,6
Magic,1,6,0,5,8,10,2,0
Mobile Price Classification,0,0,1,0,13,0,4,1
Mofn_3_7_10,1,0,0,4,1,13,0,4
Mushroom,1,5,4,1,2,5,7,2
Nursery,2,6,3,3,10,4,6,2
Parity5,3,3,2,2,7,1,7,2
Pima Indians Diabetes,2,6,1,2,3,1,11,2
Salaries 2023,1,12,1,0,2,2,1,1
Segmentation,4,5,2,6,6,9,3,2
Students Performance,8,0,0,0,4,11,6,9
Students Performance Burnout,2,0,4,0,9,3,6,2
Twonorm,7,0,3,3,2,7,10,5
Waveform_21,3,4,0,0,2,3,12,2
White Wine Quality,5,4,5,9,2,4,4,6
Wine Quality Red,5,7,8,3,7,6,8,4
Yeast,2,1,1,11,2,2,1,2
