column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,106.6667,88.2872,32.0,32.0,64.0,128.0,256.0,0.8152
learning_rate,135.0,0.0105,0.0124,0.0005,0.0005,0.0091,0.0097,0.035,1.0563
number_of_epochs,135.0,135.5556,61.8938,60.0,80.0,100.0,200.0,240.0,0.3954
number_of_hidden_layers,135.0,2.8889,1.104,2.0,2.0,2.0,4.0,5.0,0.7297
avg_number_of_neurons,135.0,126.3407,34.1792,56.0,100.0,144.0,152.0,156.0,-0.9579
min_number_of_neurons,135.0,60.4444,41.9998,16.0,16.0,64.0,80.0,144.0,0.5474
max_number_of_neurons,135.0,190.2222,58.8581,96.0,160.0,224.0,224.0,256.0,-0.5676
total_number_of_neurons,135.0,376.8889,196.4136,112.0,272.0,304.0,464.0,752.0,0.5939
depth_to_width_ratio,135.0,0.0243,0.0095,0.0132,0.0147,0.0227,0.0332,0.04,0.3448
batch_size_to_dataset_ratio,135.0,0.3067,0.4364,0.0064,0.0249,0.1293,0.3765,2.4615,2.5075
number_of_features,135.0,11.6,5.669,2.0,7.0,12.0,18.0,21.0,0.1436
proportion_of_numeric_features,135.0,0.8872,0.2435,0.0,1.0,1.0,1.0,1.0,-2.1221
number_of_instances,135.0,1213.3704,1466.9104,103.0,336.0,625.0,1284.5,5000.0,1.8148
number_of_classes,135.0,5.7407,3.0712,2.0,3.0,4.0,10.0,11.0,0.6078
ratio_of_instances_to_features,135.0,109.854,114.4677,7.3333,34.4722,65.5833,128.7982,500.0,1.8116
ratio_of_classes_to_features,135.0,0.7464,0.7134,0.1111,0.2288,0.4737,1.125,3.3333,1.7366
ratio_of_instances_to_classes,135.0,267.6906,398.9462,13.4,78.4333,125.0,211.5,1666.6667,2.7193
ratio_of_min_to_max_instances_per_class,135.0,0.7561,0.3231,0.0114,0.7436,0.9128,0.9716,1.0,-1.3512
proportion_of_features_with_outliers,135.0,0.4116,0.3579,0.0,0.0,0.4444,0.5997,1.0,0.2756
average_mutual_information,135.0,0.1251,0.0872,0.006,0.0397,0.1235,0.1975,0.3259,0.4135
minimum_mutual_information,135.0,0.0118,0.0224,0.0,0.0,0.0,0.0128,0.105,2.4599
maximum_mutual_information,135.0,0.2956,0.2091,0.024,0.1123,0.2618,0.4069,0.8496,1.1648
equivalent_number_of_features,135.0,1.1377,0.1009,1.006,1.0405,1.1314,1.2184,1.3853,0.5144
noise_to_signal_ratio_of_features,135.0,2.6499,5.2491,-0.7659,-0.5197,0.6321,2.6589,27.8771,2.3013
avg_learning_slope,135.0,-0.0031,0.0024,-0.0085,-0.0047,-0.0028,-0.0013,0.0005,-0.4951
std_learning_slope,135.0,0.0002,0.0001,0.0,0.0001,0.0002,0.0003,0.0006,0.9743
avg_validation_gap,135.0,0.1287,0.1065,-0.0003,0.0518,0.0955,0.1794,0.4516,0.9833
std_validation_gap,135.0,0.0308,0.025,0.0,0.0146,0.021,0.0374,0.1183,1.5211
avg_first_overfit_epoch,135.0,26.32,18.5498,5.5,14.6,20.8,31.1,125.5,2.2749
std_first_overfit_epoch,135.0,15.787,20.8355,1.9079,5.9114,7.4626,12.6592,91.3926,2.4085
avg_first_stay_epoch,135.0,8.7341,5.064,2.2,5.1,7.8,11.35,33.6,1.6747
std_first_stay_epoch,135.0,2.2382,1.5885,0.3,1.1679,2.0025,2.7785,8.3642,1.7541
avg_percentage_weights_near_zero,135.0,26.6662,15.4281,5.6366,15.9432,24.6806,37.1952,59.0363,0.4982
std_percentage_weights_near_zero,135.0,1.2398,1.3337,0.1874,0.4986,0.7513,1.2718,8.4945,2.6624
avg_avg_weights,135.0,0.1531,0.0808,0.0474,0.0865,0.1418,0.2185,0.3542,0.5921
std_avg_weights,135.0,0.0126,0.0164,0.0001,0.0015,0.0036,0.0173,0.06,1.389
