column name,count,mean,std,min,25%,50%,75%,max
number_of_features,510.0,13.169,5.247,3.0,9.0,12.5,18.0,24.0
proportion_of_numeric_features,510.0,0.825,0.271,0.0,0.689,1.0,1.0,1.0
number_of_instances,510.0,3487.275,3789.873,87.0,768.0,2086.0,5000.0,18905.0
number_of_classes,510.0,4.459,2.759,2.0,2.0,3.0,7.0,11.0
ratio_of_instances_to_features,510.0,323.704,509.097,5.389,65.362,166.412,369.143,3781.0
ratio_of_classes_to_features,510.0,0.426,0.416,0.083,0.182,0.3,0.5,3.333
ratio_of_instances_to_classes,510.0,1158.118,1655.309,10.875,208.125,478.4,1546.607,9452.5
ratio_of_min_to_max_instances_per_class,510.0,0.497,0.388,0.003,0.088,0.531,0.921,1.0
proportion_of_features_with_outliers,510.0,0.483,0.393,0.0,0.056,0.5,0.905,1.0
average_mutual_information,510.0,0.137,0.171,0.003,0.037,0.078,0.157,0.844
minimum_mutual_information,510.0,0.021,0.049,0.0,0.0,0.0,0.015,0.266
maximum_mutual_information,510.0,0.352,0.332,0.01,0.106,0.216,0.582,1.265
equivalent_number_of_features,510.0,1.166,0.247,1.003,1.038,1.081,1.17,2.326
noise_to_signal_ratio_of_features,510.0,1.393,4.444,-0.929,-0.574,0.171,1.138,36.239
batch_size,510.0,112.0,83.22,16.0,32.0,96.0,128.0,256.0
learning_rate,510.0,0.006,0.009,0.0,0.0,0.002,0.007,0.035
number_of_epochs,510.0,166.471,69.132,60.0,100.0,170.0,220.0,300.0
number_of_hidden_layers,510.0,3.147,1.241,2.0,2.0,3.0,4.0,6.0
avg_number_of_neurons,510.0,111.09,48.775,16.0,80.0,112.0,144.0,240.0
min_number_of_neurons,510.0,56.471,51.42,16.0,16.0,32.0,80.0,224.0
max_number_of_neurons,510.0,165.176,70.426,16.0,96.0,160.0,240.0,256.0
total_number_of_neurons,510.0,364.706,226.189,32.0,176.0,320.0,480.0,864.0
