dataset_name,seed,number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,normal_training_loss,normal_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,SMOTE_training_loss,SMOTE_testing_loss,prune_training_loss,prune_testing_loss,weight_decay_training_loss,weight_decay_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,weight_perturbation_training_loss,weight_perturbation_testing_loss,best_training_technique,best_testing_technique
Agaricus Lepiota,2565,19,0.5789473684210527,8124,2,0.0023387493845396,0.1052631578947368,4062.0,0.9306083650190116,0.2631578947368421,0.0242529370239426,0.4021241197280734,0.0052102297135727,0.1973567463315339,1.137523331271601,1.0969401623298023,-0.295134109793251,0.3497323128358507,"[0.3207647204399109, 0.3255731463432312, 0.32095712423324585, 0.3259580433368683, 0.3259555697441101]","[0.3215482234954834, 0.32495707273483276, 0.32126501202583313, 0.3249566853046417, 0.3249598741531372]","[0.3251877427101135, 0.3215332329273224, 0.32095620036125183, 0.3209562301635742, 0.32595473527908325]","[0.3249642252922058, 0.3212626278400421, 0.321262925863266, 0.32126322388648987, 0.3249552845954895]","[0.32122471928596497, 0.3257444500923157, 0.3209593594074249, 0.3259589672088623, 0.31576865911483765]","[0.3217889964580536, 0.32495784759521484, 0.3212669789791107, 0.3249630630016327, 0.3145025372505188]","[0.7952775359153748, 0.338654100894928, 0.7910441756248474, 0.8354754447937012, 0.32037845253944397]","[0.8098770976066589, 0.3442250192165375, 0.8098751902580261, 0.8166443705558777, 0.31820109486579895]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3327975273132324, 0.33703485131263733, 0.3211083710193634, 0.32608652114868164, 0.32149091362953186]","[0.3367695212364197, 0.3380071222782135, 0.32143139839172363, 0.32509833574295044, 0.32148534059524536]","[0.6927788853645325, 0.6926553845405579, 0.6925806999206543, 0.6925901174545288, 0.6924499273300171]","[0.6933192610740662, 0.693347692489624, 0.6934905648231506, 0.6934180855751038, 0.6936357021331787]","[0.3413453698158264, 0.32557329535484314, 0.3198029398918152, 0.32595789432525635, 0.3203786313533783]","[0.34464791417121887, 0.32495641708374023, 0.31820163130760193, 0.32495856285095215, 0.31824931502342224]","[0.8312460780143738, 0.7922001481056213, 0.8354777097702026, 0.7910460829734802, 0.788646399974823]","[0.8166463375091553, 0.8098770976066589, 0.8166463375091553, 0.8098770976066589, 0.8098770976066589]",dropout,dropout
Agaricus Lepiota,61069,13,0.6153846153846154,8124,2,0.0016001969473165,0.1538461538461538,4062.0,0.9306083650190116,0.3076923076923077,0.0236189896742775,0.2077909704268323,0.0098184487013197,0.188462887642013,1.120643923620793,1.1091151885301551,0.0963977388258422,0.9293995830404196,"[0.33730682730674744, 0.34904059767723083, 0.3373068571090698, 0.33846187591552734, 0.33730223774909973]","[0.3360326290130615, 0.34649458527565, 0.3360324501991272, 0.3397250473499298, 0.33603236079216003]","[0.33730536699295044, 0.34903839230537415, 0.33730536699295044, 0.3261500895023346, 0.34307003021240234]","[0.33603140711784363, 0.3428008258342743, 0.3360314667224884, 0.32803183794021606, 0.34156984090805054]","[0.3361935317516327, 0.34904518723487854, 0.34692487120628357, 0.3469265401363373, 0.33670204877853394]","[0.3348231315612793, 0.34324610233306885, 0.34280169010162354, 0.34280329942703247, 0.33603227138519287]","[0.4255918264389038, 0.7931601405143738, 0.3540448248386383, 0.4082811176776886, 0.7897990345954895]","[0.42218559980392456, 0.8067985773086548, 0.35142165422439575, 0.40064749121665955, 0.8067989349365234]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3374430239200592, 0.33916738629341125, 0.337457537651062, 0.33780938386917114, 0.33746588230133057]","[0.33616119623184204, 0.3361509144306183, 0.3361636698246002, 0.33613428473472595, 0.33618032932281494]","[0.6926178336143494, 0.6926828026771545, 0.692871630191803, 0.6925254464149475, 0.6925150752067566]","[0.6935346722602844, 0.6932873725891113, 0.6931795477867126, 0.6935301423072815, 0.6934782266616821]","[0.3373068571090698, 0.3390379250049591, 0.3480781018733978, 0.3436540961265564, 0.3480722904205322]","[0.336032509803772, 0.33603236079216003, 0.34772467613220215, 0.341570645570755, 0.34649503231048584]","[0.7917960286140442, 0.7931618690490723, 0.8287456035614014, 0.7898920178413391, 0.8367233276367188]","[0.8071275353431702, 0.8068001866340637, 0.8197232484817505, 0.8068001866340637, 0.8197232484817505]",prune,prune
Agaricus Lepiota,99168,14,0.6428571428571429,8124,2,0.001723289020187,0.1428571428571428,4062.0,0.9306083650190116,0.3571428571428571,0.0237802327107932,0.2256755119382303,0.0052102297135727,0.1973567463315339,1.1189552560544282,1.090720387722637,-0.0123483545683847,1.300982237645972,"[0.3723134398460388, 0.37096714973449707, 0.3684665858745575, 0.3717365264892578, 0.3705713450908661]","[0.36126598715782166, 0.36126723885536194, 0.36126577854156494, 0.3612668216228485, 0.36126673221588135]","[0.3723122477531433, 0.35923275351524353, 0.3575016260147095, 0.3263484537601471, 0.3578776717185974]","[0.3612627685070038, 0.3514169156551361, 0.3514166474342346, 0.32988491654396057, 0.35141634941101074]","[0.35942918062210083, 0.36500656604766846, 0.3580651581287384, 0.3584718704223633, 0.35789328813552856]","[0.35142260789871216, 0.3551136255264282, 0.3514511287212372, 0.35153189301490784, 0.35147345066070557]","[0.416551798582077, 0.8066250681877136, 0.40213629603385925, 0.4398260712623596, 0.43845754861831665]","[0.4135704040527344, 0.7723380327224731, 0.4031187891960144, 0.42895567417144775, 0.43572723865509033]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.37247633934020996, 0.37111184000968933, 0.3576470613479614, 0.3585945665836334, 0.37071692943573]","[0.3615310788154602, 0.3615046739578247, 0.3516184687614441, 0.3516007363796234, 0.36148369312286377]","[0.6928826570510864, 0.6931188702583313, 0.6929823756217957, 0.6930984854698181, 0.6927800178527832]","[0.6921608448028564, 0.6929430961608887, 0.6917255520820618, 0.6922532320022583, 0.6919769048690796]","[0.3723134696483612, 0.37096700072288513, 0.36846664547920227, 0.3717364966869354, 0.3705713748931885]","[0.36126598715782166, 0.3612738847732544, 0.36126595735549927, 0.36126628518104553, 0.36126622557640076]","[0.8287456035614014, 0.8198977708816528, 0.8268221616744995, 0.8058565855026245, 0.464680552482605]","[0.8541848063468933, 0.8541848063468933, 0.8541848063468933, 0.7723386287689209, 0.46161049604415894]",batch_normalisation,batch_normalisation
Agaricus Lepiota,66668,13,0.4615384615384615,8124,2,0.0016001969473165,0.1538461538461538,4062.0,0.9306083650190116,0.3846153846153846,0.0123206834813194,0.1154718629234468,0.0052102297135727,0.1973567463315339,1.0832846368799796,1.107311289448334,1.0814498341203584,0.4001495471981087,"[0.3303842842578888, 0.344807893037796, 0.3282662034034729, 0.33249789476394653, 0.3294171094894409]","[0.33172714710235596, 0.35757124423980713, 0.3329562246799469, 0.3391095697879791, 0.3372633755207062]","[0.3248031735420227, 0.32788094878196716, 0.32730764150619507, 0.32672664523124695, 0.3255724608898163]","[0.3274267613887787, 0.3329566419124603, 0.3329554796218872, 0.3286474645137787, 0.3286500573158264]","[0.3365442752838135, 0.3348078429698944, 0.32361069321632385, 0.324619323015213, 0.3234595060348511]","[0.3458816111087799, 0.34465280175209045, 0.3278830051422119, 0.32500606775283813, 0.32680633664131165]","[0.8273991942405701, 0.35981231927871704, 0.7895072102546692, 0.3807764947414398, 0.39826321601867676]","[0.8246462941169739, 0.36065444350242615, 0.8018770813941956, 0.3858787417411804, 0.4080324172973633]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.32365304231643677, 0.3441771864891052, 0.3320583999156952, 0.3261590003967285, 0.3244125247001648]","[0.32706475257873535, 0.3607898950576782, 0.3398592472076416, 0.327079176902771, 0.32707834243774414]","[0.6929178237915039, 0.6926739811897278, 0.6924983263015747, 0.6925615668296814, 0.6928175687789917]","[0.6930124163627625, 0.6930720806121826, 0.6931973099708557, 0.6930567622184753, 0.6930391788482666]","[0.3365367352962494, 0.34634652733802795, 0.329804927110672, 0.34230709075927734, 0.3294171988964081]","[0.3458787798881531, 0.3582194149494171, 0.3372635841369629, 0.35018670558929443, 0.3372635245323181]","[0.799124538898468, 0.7929695248603821, 0.7895073294639587, 0.8362470865249634, 0.8301848769187927]","[0.8018770813941956, 0.8018770813941956, 0.8018770813941956, 0.8246462941169739, 0.8246462941169739]",batch_normalisation,batch_normalisation
Agaricus Lepiota,63641,20,0.6,8124,2,0.0024618414574101,0.1,4062.0,0.9306083650190116,0.3,0.0056949957855714,0.3895032617277936,0.0052102297135727,0.1973567463315339,1.131941085929323,1.0964865970973312,-0.3282254887351501,0.3557924500895725,"[0.3659653961658478, 0.367696613073349, 0.3678888976573944, 0.3680812418460846, 0.3644169270992279]","[0.36249399185180664, 0.36249399185180664, 0.3624943494796753, 0.36249417066574097, 0.36249563097953796]","[0.3209562301635742, 0.3209562301635742, 0.3153783679008484, 0.3215332627296448, 0.32153165340423584]","[0.32003214955329895, 0.32003214955329895, 0.31572461128234863, 0.32003191113471985, 0.3200332224369049]","[0.36596646904945374, 0.36775103211402893, 0.36789193749427795, 0.36808231472969055, 0.35287994146347046]","[0.36249688267707825, 0.3624970018863678, 0.36249449849128723, 0.36249521374702454, 0.35388287901878357]","[0.3609641194343567, 0.83182293176651, 0.8002784252166748, 0.3638496398925781, 0.3644166588783264]","[0.35884350538253784, 0.8295692205429077, 0.7969538569450378, 0.35879969596862793, 0.3624936044216156]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.36605706810951233, 0.3678097724914551, 0.36799874901771545, 0.35917675495147705, 0.36451953649520874]","[0.362587034702301, 0.3626195788383484, 0.3626124858856201, 0.3534124791622162, 0.36260291934013367]","[0.692815899848938, 0.6927505135536194, 0.6930699348449707, 0.6928189992904663, 0.692359983921051]","[0.6928458213806152, 0.6928452849388123, 0.6928934454917908, 0.6928505897521973, 0.6929553747177124]","[0.3659653961658478, 0.36769649386405945, 0.3678888976573944, 0.3680811822414398, 0.36441686749458313]","[0.36249449849128723, 0.3624939024448395, 0.36249470710754395, 0.36249399185180664, 0.3624943494796753]","[0.830476701259613, 0.7947006225585938, 0.8002786040306091, 0.8302843570709229, 0.7871079444885254]","[0.829569399356842, 0.7969540357589722, 0.7969540357589722, 0.829569399356842, 0.7969540357589722]",batch_normalisation,batch_normalisation
Agaricus Lepiota,12668,11,0.6363636363636364,8124,2,0.0013540128015755,0.1818181818181818,4062.0,0.9306083650190116,0.2727272727272727,0.0,0.3889007895180807,0.0165086975735648,0.188462887642013,1.1209348533337675,1.10084704036146,0.2501769464151668,1.5995751638333755,"[0.3355761170387268, 0.3252030313014984, 0.31980377435684204, 0.3367302715778351, 0.33672571182250977]","[0.34341949224472046, 0.3298840820789337, 0.3224961757659912, 0.34341874718666077, 0.34341999888420105]","[0.3196106553077698, 0.3196115791797638, 0.31826409697532654, 0.31845635175704956, 0.3188397288322449]","[0.32004573941230774, 0.3204340636730194, 0.3200330436229706, 0.3200325071811676, 0.32174766063690186]","[0.3312314450740814, 0.31966647505760193, 0.3311622440814972, 0.31882959604263306, 0.318929523229599]","[0.33665406703948975, 0.3200356662273407, 0.3366675078868866, 0.32022836804389954, 0.3209925889968872]","[0.7979606986045837, 0.35134878754615784, 0.7966201305389404, 0.8306670784950256, 0.7944154739379883]","[0.792021632194519, 0.3618902862071991, 0.7920271754264832, 0.8344906568527222, 0.7920308113098145]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3358607888221741, 0.33537015318870544, 0.31841841340065, 0.3186715543270111, 0.33073690533638]","[0.3437410593032837, 0.3424013555049896, 0.3202521800994873, 0.3202871084213257, 0.3344983458518982]","[0.6928781270980835, 0.6927907466888428, 0.6928291916847229, 0.6928015351295471, 0.6927410364151001]","[0.6926755905151367, 0.6926405429840088, 0.6926618218421936, 0.6926631331443787, 0.6926289796829224]","[0.3215346932411194, 0.3249966502189636, 0.3198031485080719, 0.336729496717453, 0.3367253839969635]","[0.32249554991722107, 0.329266756772995, 0.3224949538707733, 0.34218692779541016, 0.34341874718666077]","[0.7979704737663269, 0.8308613896369934, 0.7966240644454956, 0.8306690454483032, 0.7944156527519226]","[0.792030930519104, 0.8344924449920654, 0.792030930519104, 0.8344924449920654, 0.792030930519104]",batch_normalisation,batch_normalisation
Agaricus Lepiota,81519,13,0.5384615384615384,8124,2,0.0016001969473165,0.1538461538461538,4062.0,0.9306083650190116,0.3076923076923077,0.0778659066348579,0.3880190646559773,0.0052102297135727,0.1973567463315339,1.1770938965521611,1.102784951823521,-0.1246537280351596,0.7018952944040072,"[0.3653884530067444, 0.36346495151519775, 0.367696613073349, 0.36577314138412476, 0.3686476945877075]","[0.36495575308799744, 0.36495572328567505, 0.3649557828903198, 0.3649560213088989, 0.3649557828903198]","[0.31326285004615784, 0.3573093116283417, 0.3533335328102112, 0.3498079180717468, 0.31326279044151306]","[0.31326302886009216, 0.3618777394294739, 0.3508073389530182, 0.35080084204673767, 0.31326258182525635]","[0.36539143323898315, 0.36346691846847534, 0.3676988482475281, 0.36578115820884705, 0.3686490058898926]","[0.36495649814605713, 0.3649576008319855, 0.3649576008319855, 0.36495956778526306, 0.3650696277618408]","[0.7881606817245483, 0.830668568611145, 0.7916229367256165, 0.7898918986320496, 0.374033659696579]","[0.8129540085792542, 0.8135690689086914, 0.8129540085792542, 0.8129540085792542, 0.3729567229747772]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3655092418193817, 0.3635879456996918, 0.3678211271762848, 0.3658900558948517, 0.3687710464000702]","[0.36511221528053284, 0.3651154935359955, 0.36512598395347595, 0.3651105761528015, 0.3651043474674225]","[0.6924260854721069, 0.6928023099899292, 0.6926349997520447, 0.6925187110900879, 0.6924610137939453]","[0.6937490105628967, 0.6935617923736572, 0.6934603452682495, 0.6937340497970581, 0.6938495635986328]","[0.3653883934020996, 0.36346492171287537, 0.36769649386405945, 0.36577308177948, 0.36864760518074036]","[0.3649556040763855, 0.36495572328567505, 0.3649556040763855, 0.3649558126926422, 0.36495575308799744]","[0.8383628726005554, 0.8306690454483032, 0.8349006772041321, 0.8366317749023438, 0.8376848697662354]","[0.8135693669319153, 0.8135693669319153, 0.8135693669319153, 0.8135693669319153, 0.8135693669319153]",batch_normalisation,batch_normalisation
Agaricus Lepiota,36609,21,0.5714285714285714,484,2,0.0433884297520661,0.0952380952380952,242.0,0.9282868525896414,0.2857142857142857,0.0,0.3570120444206202,3.834683956083218e-05,0.2040979697895257,1.1189033284227636,1.0949379488876072,-0.2590041112584301,0.2238484288593507,"[0.3553641140460968, 0.3585943579673767, 0.3487728238105774, 0.3519991934299469, 0.3616728186607361]","[0.3566247522830963, 0.36490872502326965, 0.3558815121650696, 0.36515432596206665, 0.3653714954853058]","[0.32622167468070984, 0.32298743724823, 0.3519848883152008, 0.3326323628425598, 0.342308908700943]","[0.3144686818122864, 0.3148093521595001, 0.3632541298866272, 0.33473628759384155, 0.39461830258369446]","[0.3683965504169464, 0.33427518606185913, 0.3535265326499939, 0.3358974754810333, 0.36187633872032166]","[0.35469862818717957, 0.32396945357322693, 0.3583439290523529, 0.32705608010292053, 0.3648855686187744]","[0.8245859742164612, 0.8342972993850708, 0.8164461851119995, 0.8035709261894226, 0.80680912733078]","[0.8905779123306274, 0.8905811905860901, 0.8905273675918579, 0.8905626535415649, 0.890579879283905]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.36385414004325867, 0.34115737676620483, 0.3538671135902405, 0.3606503903865814, 0.3477325439453125]","[0.3581908643245697, 0.3279317319393158, 0.3585510849952698, 0.36565983295440674, 0.37187257409095764]","[0.6929993629455566, 0.6926711797714233, 0.6931446194648743, 0.6930394172668457, 0.6931032538414001]","[0.6912931799888611, 0.6906437873840332, 0.6921056509017944, 0.6949114799499512, 0.6947051286697388]","[0.36830779910087585, 0.3489243686199188, 0.35199540853500366, 0.35844680666923523, 0.34554556012153625]","[0.3625461757183075, 0.3715543746948242, 0.35585999488830566, 0.3687099814414978, 0.36486372351646423]","[0.6902306079864502, 0.792226254940033, 0.8100359439849854, 0.8229391574859619, 0.8068101406097412]","[0.6909524202346802, 0.7359421253204346, 0.7359421253204346, 0.7359421253204346, 0.8905813097953796]",batch_normalisation,batch_normalisation
Agaricus Lepiota,13854,21,0.5714285714285714,1667,2,0.0125974805038992,0.0952380952380952,833.5,0.9316338354577056,0.238095238095238,0.0052636101182779,0.3708156122634314,0.0043823129956768,0.1892868062876053,1.1304841464872142,1.0841102657501551,-0.321151731425264,0.3745816439878912,"[0.3611125349998474, 0.3536074757575989, 0.33109405636787415, 0.3554442226886749, 0.3629418611526489]","[0.41508376598358154, 0.41438746452331543, 0.35830649733543396, 0.4140562117099762, 0.414766788482666]","[0.3245243728160858, 0.3479761481285095, 0.32452428340911865, 0.33107322454452515, 0.325450599193573]","[0.33679530024528503, 0.39356642961502075, 0.3343300521373749, 0.3586962819099426, 0.3362271785736084]","[0.3611193001270294, 0.35361841320991516, 0.35830190777778625, 0.3555556833744049, 0.3629823625087738]","[0.41440972685813904, 0.4128830134868622, 0.41207993030548096, 0.41208937764167786, 0.4120861887931824]","[0.8170139789581299, 0.8160756826400757, 0.8310831189155579, 0.7977976202964783, 0.8184141516685486]","[0.8701479434967041, 0.756375253200531, 0.8701453804969788, 0.7563753724098206, 0.8701452016830444]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.36179080605506897, 0.354410320520401, 0.35896196961402893, 0.3560461401939392, 0.3636329472064972]","[0.41515597701072693, 0.41333281993865967, 0.4133248031139374, 0.41334617137908936, 0.41340669989585876]","[0.6931312680244446, 0.6931393146514893, 0.6927832365036011, 0.6928720474243164, 0.6931166052818298]","[0.6927452683448792, 0.6933830976486206, 0.6910693049430847, 0.6914454102516174, 0.6924737691879272]","[0.36111220717430115, 0.35360708832740784, 0.358297735452652, 0.35544395446777344, 0.3629418611526489]","[0.4150627851486206, 0.4138019382953644, 0.41284239292144775, 0.4131120443344116, 0.41481316089630127]","[0.8095093965530396, 0.8160760402679443, 0.7954381108283997, 0.8287256956100464, 0.81841641664505]","[0.7563756108283997, 0.7563756108283997, 0.7563756108283997, 0.8701481223106384, 0.8701481223106384]",batch_normalisation,batch_normalisation
Agaricus Lepiota,75945,21,0.5714285714285714,2856,2,0.0073529411764705,0.0952380952380952,1428.0,0.9310344827586208,0.2857142857142857,0.0,0.3634011941067108,0.0021711723632011,0.1943996148898627,1.1304341349630331,1.088450729474993,-0.320917982475301,0.3097565620656831,"[0.3488433361053467, 0.36143189668655396, 0.36471623182296753, 0.364169180393219, 0.36468836665153503]","[0.36500272154808044, 0.3756878077983856, 0.374469131231308, 0.374457448720932, 0.3744710683822632]","[0.3209267258644104, 0.32092705368995667, 0.3198320269584656, 0.3214738368988037, 0.3236575424671173]","[0.3310069143772125, 0.33236774802207947, 0.32029980421066284, 0.3312385380268097, 0.33075520396232605]","[0.35869625210762024, 0.3614448606967926, 0.36473092436790466, 0.35377004742622375, 0.3647215664386749]","[0.3785604238510132, 0.37583449482917786, 0.376753032207489, 0.3622295558452606, 0.3744550943374634]","[0.7894520163536072, 0.36583560705184937, 0.7845260500907898, 0.7889045476913452, 0.36578264832496643]","[0.8185064196586609, 0.37661871314048767, 0.8185065388679504, 0.818506121635437, 0.37620681524276733]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.35906481742858887, 0.35303929448127747, 0.36502277851104736, 0.3644953668117523, 0.36496856808662415]","[0.37473052740097046, 0.36256295442581177, 0.3748171925544739, 0.3747543692588806, 0.3747169077396393]","[0.6925047636032104, 0.6927048563957214, 0.6921970844268799, 0.6924673914909363, 0.6926289200782776]","[0.6942950487136841, 0.6936401724815369, 0.6944142580032349, 0.6942381262779236, 0.6940709352493286]","[0.3586953580379486, 0.36143189668655396, 0.36471623182296753, 0.3641689419746399, 0.3646889925003052]","[0.3744581937789917, 0.37617966532707214, 0.3744659423828125, 0.37445980310440063, 0.37485310435295105]","[0.7894521951675415, 0.8332397937774658, 0.7845260500907898, 0.7889048457145691, 0.8345965147018433]","[0.8185065388679504, 0.8080170154571533, 0.8185065388679504, 0.8185065388679504, 0.8080170154571533]",batch_normalisation,batch_normalisation
