dataset_name,seed,subset_type,file_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features
Dry Bean,91230,classes,Data/Datasets/Input/Subsets/Dry Bean/91230_20251130_170240.csv,16,1.0,5406,2,337.875,0.125,2703.0,0.5245346869712352,0.6875,0.45716506012240693,0.05134191837793267,0.6196631751454379,1.5795895899838643,-0.9119993466332841
Dry Bean,92402,classes,Data/Datasets/Input/Subsets/Dry Bean/92402_20251130_170240.csv,16,1.0,10194,5,637.125,0.3125,2038.8,0.14720812182741116,1.0,0.727124056065239,0.08503395067007435,1.1046732928827876,2.0691213655169447,-0.8734069533638928
Dry Bean,46324,classes,Data/Datasets/Input/Subsets/Dry Bean/46324_20251130_170240.csv,16,1.0,11516,6,719.75,0.375,1919.3333333333333,0.14720812182741116,1.0,0.7257535486877197,0.13932384029950873,1.0970608863237532,2.066287561738572,-0.8570331538104456
Dry Bean,5001,classes,Data/Datasets/Input/Subsets/Dry Bean/5001_20251130_170240.csv,16,1.0,1844,2,115.25,0.125,922.0,0.394856278366112,0.75,0.331090985792061,0.019720776175587762,0.5946764062903852,1.3924864830301718,-0.8875235488058719
Dry Bean,90019,classes,Data/Datasets/Input/Subsets/Dry Bean/90019_20251130_170240.csv,16,1.0,8367,5,522.9375,0.3125,1673.4,0.19802731411229135,0.9375,0.7348654718192924,0.2650889114442463,0.9634560543747965,2.0852014552771823,-0.8718934429272732
Dry Bean,22327,features,Data/Datasets/Input/Subsets/Dry Bean/22327_20251130_170240.csv,14,1.0,13543,7,967.3571428571429,0.5,1934.7142857142858,0.14720812182741116,1.0,0.8748175263689448,0.19727326512810217,1.0550836032055897,2.398437602416557,-0.8502706150465256
Dry Bean,41621,features,Data/Datasets/Input/Subsets/Dry Bean/41621_20251130_170241.csv,12,1.0,13543,7,1128.5833333333333,0.5833333333333334,1934.7142857142858,0.14720812182741116,1.0,0.7490962127735813,0.19725480540721296,1.0554495340667334,2.115087563394906,-0.7959983387195567
Dry Bean,16662,features,Data/Datasets/Input/Subsets/Dry Bean/16662_20251130_170241.csv,14,1.0,13543,7,967.3571428571429,0.5,1934.7142857142858,0.14720812182741116,1.0,0.7851398243053561,0.19724567055350928,1.0550627895742974,2.1927135139434553,-0.833168709426209
Dry Bean,9346,features,Data/Datasets/Input/Subsets/Dry Bean/9346_20251130_170241.csv,11,1.0,13543,7,1231.1818181818182,0.6363636363636364,1934.7142857142858,0.14720812182741116,1.0,0.7548723419445431,0.19726403526765734,1.0550499324669056,2.127339933941116,-0.7791556194361972
Dry Bean,86298,features,Data/Datasets/Input/Subsets/Dry Bean/86298_20251130_170241.csv,9,1.0,13543,7,1504.7777777777778,0.7777777777777778,1934.7142857142858,0.14720812182741116,1.0,0.8491926997141013,0.36305453157438006,1.0353513106785994,2.337758816561815,-0.7600593725999637
