dataset_name,seed,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline_training_loss,baseline_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,SMOTE_training_loss,SMOTE_testing_loss,prune_training_loss,prune_testing_loss,weight_decay_training_loss,weight_decay_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,weight_perturbation_training_loss,weight_perturbation_testing_loss,best_training_technique,best_testing_technique
Agaricus Lepiota,17385,19,0.5789473684210527,8124,2,427.578947368421,0.1052631578947368,4062.0,0.9306083650190116,0.2631578947368421,0.1970351780948434,0.0216200044939996,0.6261895595344247,1.2177868793747544,-0.5390449810063146,"[0.32518866658210754, 0.32364988327026367, 0.32153403759002686, 0.3265351355075836, 0.3255709111690521]","[0.3268076181411743, 0.32680654525756836, 0.3200351595878601, 0.3268042206764221, 0.3268095552921295]","[0.3251878023147583, 0.3236490786075592, 0.3253801167011261, 0.3265341818332672, 0.32557010650634766]","[0.326803594827652, 0.32680273056030273, 0.3268018662929535, 0.3268025517463684, 0.326811820268631]","[0.32288479804992676, 0.3236519694328308, 0.32545003294944763, 0.3266679048538208, 0.32371005415916443]","[0.32554933428764343, 0.3268033266067505, 0.3268289864063263, 0.3268260061740875, 0.32556843757629395]","[0.7964313626289368, 0.7985473275184631, 0.7929535508155823, 0.33480527997016907, 0.32153284549713135]","[0.7951077222824097, 0.7951077818870544, 0.7950918078422546, 0.339107871055603, 0.32003289461135864]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.33704984188079834, 0.32377374172210693, 0.3255128264427185, 0.32665959000587463, 0.3454913794994354]","[0.33496806025505066, 0.32693779468536377, 0.32694879174232483, 0.32695770263671875, 0.34847912192344666]","[0.6928231716156006, 0.6928999423980713, 0.6926919221878052, 0.692790150642395, 0.6927838325500488]","[0.692776083946228, 0.6927724480628967, 0.6927717924118042, 0.692892849445343, 0.6927801370620728]","[0.32518860697746277, 0.32364988327026367, 0.32538098096847534, 0.339999258518219, 0.32557082176208496]","[0.32680776715278625, 0.3268047869205475, 0.3268062174320221, 0.3348049521446228, 0.3268063962459564]","[0.7964317202568054, 0.7985475063323975, 0.833554208278656, 0.7935465574264526, 0.7951849102973938]","[0.7951078414916992, 0.7951078414916992, 0.8314155340194702, 0.7951078414916992, 0.7951078414916992]",dropout,baseline
Agaricus Lepiota,4726,16,0.5625,8124,2,507.75,0.125,4062.0,0.9306083650190116,0.25,0.2175053172679276,0.0319247552159647,0.6261895595344247,1.242972038705516,-0.4896329639601472,"[0.3678888976573944, 0.36615777015686035, 0.3667348027229309, 0.36654242873191833, 0.3682629466056824]","[0.36126333475112915, 0.361264705657959, 0.36126336455345154, 0.3612632155418396, 0.3612632751464844]","[0.36192551255226135, 0.3563484847545624, 0.35154253244400024, 0.3665417730808258, 0.36268535256385803]","[0.35633930563926697, 0.352647989988327, 0.3452679514884949, 0.3612624704837799, 0.3563397526741028]","[0.36215779185295105, 0.35962149500846863, 0.36688387393951416, 0.3665451109409332, 0.3682662844657898]","[0.3563915491104126, 0.35634320974349976, 0.3612668812274933, 0.3612646460533142, 0.36127614974975586]","[0.37346965074539185, 0.4082839787006378, 0.36731165647506714, 0.7898917198181152, 0.3682626485824585]","[0.36803510785102844, 0.4049580693244934, 0.36310896277427673, 0.7951077222824097, 0.3612626791000366]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3680199086666107, 0.36626386642456055, 0.36685118079185486, 0.36666756868362427, 0.3683597147464752]","[0.36140912771224976, 0.3613748550415039, 0.36139166355133057, 0.3614090085029602, 0.36137911677360535]","[0.6929011344909668, 0.6928779482841492, 0.6928409337997437, 0.6925271153450012, 0.6927065253257751]","[0.6927677989006042, 0.6927754878997803, 0.6927677989006042, 0.6927744150161743, 0.6927676200866699]","[0.367888867855072, 0.36615777015686035, 0.36673474311828613, 0.3665424585342407, 0.3682628870010376]","[0.361263245344162, 0.3612728416919708, 0.36126336455345154, 0.36126455664634705, 0.3612632751464844]","[0.7983551621437073, 0.7979704737663269, 0.7968164086341858, 0.8366317749023438, 0.8328772187232971]","[0.7951078414916992, 0.7951078414916992, 0.7951078414916992, 0.8314155340194702, 0.8314155340194702]",batch_normalisation,batch_normalisation
Agaricus Lepiota,29033,12,0.5,8124,2,677.0,0.1666666666666666,4062.0,0.9306083650190116,0.1666666666666666,0.223007173316912,0.0319247552159647,0.6261895595344247,1.2498295391271983,-0.253336501831789,"[0.3882770538330078, 0.3940473794937134, 0.39308562874794006, 0.39193156361579895, 0.37364766001701355]","[0.38710877299308777, 0.3871089220046997, 0.38710880279541016, 0.38710877299308777, 0.3704938292503357]","[0.3265341520309448, 0.3284575343132019, 0.3336511552333832, 0.3326891362667084, 0.35941609740257263]","[0.33110886812210083, 0.3243393898010254, 0.33236461877822876, 0.3323395252227783, 0.35326260328292847]","[0.36691316962242126, 0.3701995015144348, 0.36981314420700073, 0.3529255986213684, 0.368263840675354]","[0.3624953031539917, 0.3624965250492096, 0.36249494552612305, 0.3452644944190979, 0.36249443888664246]","[0.38828107714653015, 0.824513852596283, 0.7958546876907349, 0.8331695199012756, 0.42153283953666687]","[0.3871128261089325, 0.8314154148101807, 0.7951078414916992, 0.8314155340194702, 0.41295596957206726]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.36664894223213196, 0.3705451786518097, 0.36990517377853394, 0.37452954053878784, 0.36848974227905273]","[0.362608402967453, 0.3628591001033783, 0.3625911772251129, 0.3705882728099823, 0.36272045969963074]","[0.6927118897438049, 0.6930028200149536, 0.6928005814552307, 0.6926912665367126, 0.6926387548446655]","[0.6927710175514221, 0.692805826663971, 0.6927730441093445, 0.6927740573883057, 0.6928231716156006]","[0.3882770538330078, 0.394047349691391, 0.393085777759552, 0.37442830204963684, 0.3736473023891449]","[0.3871087431907654, 0.3871086537837982, 0.3871089816093445, 0.37049350142478943, 0.3704935312271118]","[0.7935465574264526, 0.8245140314102173, 0.8306690454483032, 0.8331695199012756, 0.8346079587936401]","[0.7951078414916992, 0.8314155340194702, 0.8314155340194702, 0.8314155340194702, 0.8314155340194702]",batch_normalisation,batch_normalisation
Agaricus Lepiota,83821,14,0.6428571428571429,8124,2,580.2857142857143,0.1428571428571428,4062.0,0.9306083650190116,0.2142857142857142,0.2213223115591819,0.0216200044939996,0.6261895595344247,1.2477255221196712,-0.4984349146052704,"[0.3584640324115753, 0.36038753390312195, 0.361541748046875, 0.35730990767478943, 0.3609553575515747]","[0.35880160331726074, 0.35880178213119507, 0.35880181193351746, 0.3588014543056488, 0.35880160331726074]","[0.35461655259132385, 0.3563555181026459, 0.7964315414428711, 0.3621178865432739, 0.3609546720981598]","[0.3550378084182739, 0.3545260727405548, 0.7951078414916992, 0.36310845613479614, 0.35880088806152344]","[0.3546476364135742, 0.353920578956604, 0.3571433424949646, 0.3573121130466461, 0.35667452216148376]","[0.3544968366622925, 0.3535328209400177, 0.3538788855075836, 0.3588031530380249, 0.3544754981994629]","[0.7915979027748108, 0.36212044954299927, 0.8300909996032715, 0.3621184229850769, 0.3655714690685272]","[0.7950824499130249, 0.3631129860877991, 0.8314145803451538, 0.3631089925765991, 0.36310988664627075]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.35858088731765747, 0.36050352454185486, 0.36165496706962585, 0.3574244976043701, 0.35740652680397034]","[0.3589274287223816, 0.3589414060115814, 0.3589193820953369, 0.358913391828537, 0.3563530445098877]","[0.6926472187042236, 0.692993700504303, 0.6928685903549194, 0.6926820278167725, 0.6927133798599243]","[0.6928674578666687, 0.6928409337997437, 0.6928367614746094, 0.6927728056907654, 0.6927679777145386]","[0.35846400260925293, 0.36038750410079956, 0.3615415692329407, 0.35731005668640137, 0.3609553277492523]","[0.3588016629219055, 0.35880157351493835, 0.3588014841079712, 0.3588014543056488, 0.3588014543056488]","[0.7916231155395508, 0.8248987197875977, 0.7964317202568054, 0.8333618640899658, 0.7938387393951416]","[0.7951078414916992, 0.8314155340194702, 0.7951078414916992, 0.8314155340194702, 0.7951078414916992]",dropout,dropout
Agaricus Lepiota,21677,13,0.5384615384615384,8124,2,624.9230769230769,0.1538461538461538,4062.0,0.9306083650190116,0.3076923076923077,0.2310108659752355,0.0691869509733737,0.6261895595344247,1.2598729291229032,-0.3821763116424384,"[0.3748129606246948, 0.7952776551246643, 0.3626953661441803, 0.36115673184394836, 0.3746088445186615]","[0.38526254892349243, 0.7951078414916992, 0.3741858899593353, 0.3686474561691284, 0.3852625787258148]","[0.3190482556819916, 0.3217255473136902, 0.3199945092201233, 0.3190404772758484, 0.3207671344280243]","[0.3231261670589447, 0.3231085538864136, 0.32310861349105835, 0.3231162130832672, 0.32311341166496277]","[0.36327388882637024, 0.3663763701915741, 0.36269593238830566, 0.37308433651924133, 0.36175960302352905]","[0.37418705224990845, 0.3741869628429413, 0.3741876482963562, 0.3797265589237213, 0.37418824434280396]","[0.7958545684814453, 0.41155076026916504, 0.8291301131248474, 0.8312444090843201, 0.7928770184516907]","[0.7951078414916992, 0.41233953833580017, 0.8314154148101807, 0.8314140439033508, 0.7951077222824097]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3589687943458557, 0.3664485514163971, 0.36278870701789856, 0.3612354099750519, 0.3618370592594147]","[0.36876389384269714, 0.37428075075149536, 0.3742749094963074, 0.3687196373939514, 0.3742959797382355]","[0.6928011178970337, 0.6927750110626221, 0.6928959488868713, 0.692774772644043, 0.6926721334457397]","[0.6927685141563416, 0.6927677989006042, 0.6927818655967712, 0.6927676796913147, 0.6927856206893921]","[0.3632725179195404, 0.7952753901481628, 0.36269721388816833, 0.36538830399513245, 0.37460872530937195]","[0.37418603897094727, 0.7951062321662903, 0.3741878569126129, 0.3741859197616577, 0.38526245951652527]","[0.7958546876907349, 0.7952776551246643, 0.8291302919387817, 0.8312460780143738, 0.8336464166641235]","[0.7951078414916992, 0.7951078414916992, 0.8314155340194702, 0.8314155340194702, 0.8314155340194702]",batch_normalisation,batch_normalisation
Agaricus Lepiota,60554,18,0.6111111111111112,8124,2,451.3333333333333,0.1111111111111111,4062.0,0.9306083650190116,0.3333333333333333,0.185457495590932,0.0216200044939996,0.6261895595344247,1.203769033196329,-0.5102686253163572,"[0.3565407991409302, 0.3513473868370056, 0.3571177124977112, 0.3571176826953888, 0.35499390959739685]","[0.35880163311958313, 0.3508033752441406, 0.3588014543056488, 0.3588029146194458, 0.3588015139102936]","[0.3474997878074646, 0.34653809666633606, 0.35711702704429626, 0.3471151888370514, 0.3498009443283081]","[0.34909874200820923, 0.3483424186706543, 0.35880333185195923, 0.3483397662639618, 0.35080206394195557]","[0.35654276609420776, 0.34655237197875977, 0.34643980860710144, 0.347275972366333, 0.34424152970314026]","[0.3588099777698517, 0.3484094440937042, 0.34834912419319153, 0.3483448326587677, 0.34836527705192566]","[0.7954699993133545, 0.8297073245048523, 0.8293219208717346, 0.7948923707008362, 0.7922996878623962]","[0.7951078414916992, 0.8314155340194702, 0.8314149379730225, 0.7951075434684753, 0.7951074242591858]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.368802934885025, 0.3514916002750397, 0.3572290539741516, 0.3678247034549713, 0.3541582524776459]","[0.37310081720352173, 0.3509957790374756, 0.3589129149913788, 0.37309205532073975, 0.36262762546539307]","[0.6927855610847473, 0.6928473711013794, 0.6928676962852478, 0.692759096622467, 0.6926424503326416]","[0.6927720904350281, 0.6927952766418457, 0.6928091049194336, 0.6927684545516968, 0.692784309387207]","[0.35654062032699585, 0.35134732723236084, 0.3515397310256958, 0.3571176826953888, 0.3442245125770569]","[0.3588016629219055, 0.3508078455924988, 0.3508016765117645, 0.35880181193351746, 0.3483399748802185]","[0.8310537338256836, 0.7968164086341858, 0.7972010970115662, 0.7948929667472839, 0.792300283908844]","[0.8314155340194702, 0.7951078414916992, 0.7951078414916992, 0.7951078414916992, 0.7951078414916992]",dropout,dropout
Agaricus Lepiota,8894,14,0.5,8124,2,580.2857142857143,0.1428571428571428,4062.0,0.9306083650190116,0.2857142857142857,0.1909351133892647,0.0917815879880369,0.3307811806737842,1.2103809120181483,-0.2525000628013403,"[0.36885061860084534, 0.3648114502429962, 0.3353828191757202, 0.3676966726779938, 0.3511476516723633]","[0.3594169616699219, 0.35941699147224426, 0.3335708975791931, 0.3594171106815338, 0.3471091389656067]","[0.3259570300579071, 0.33422791957855225, 0.33403557538986206, 0.3257647752761841, 0.32557010650634766]","[0.3249545693397522, 0.3335701525211334, 0.3329547047615051, 0.324954628944397, 0.32803162932395935]","[0.3475009500980377, 0.33423158526420593, 0.3353850245475769, 0.3349994421005249, 0.33345839381217957]","[0.34280362725257874, 0.33357205986976624, 0.33357158303260803, 0.3335757851600647, 0.3337484300136566]","[0.4175141751766205, 0.3698119521141052, 0.7972007393836975, 0.7983267903327942, 0.7963385581970215]","[0.40495574474334717, 0.36372414231300354, 0.7951077222824097, 0.79507976770401, 0.7951077222824097]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3689790368080139, 0.36495164036750793, 0.34047093987464905, 0.33513638377189636, 0.3664979934692383]","[0.3595692217350006, 0.359575480222702, 0.34026899933815, 0.3337099552154541, 0.3596052825450897]","[0.6927101612091064, 0.692598819732666, 0.6928595900535583, 0.6929098963737488, 0.6928619146347046]","[0.6927918195724487, 0.6927686333656311, 0.6927958726882935, 0.6928284168243408, 0.6927964091300964]","[0.3259579837322235, 0.36481142044067383, 0.33538272976875305, 0.33711478114128113, 0.36633992195129395]","[0.32495561242103577, 0.35941699147224426, 0.3335708677768707, 0.33726373314857483, 0.3594168424606323]","[0.8329771757125854, 0.7912384271621704, 0.8293226361274719, 0.8281685709953308, 0.7963387370109558]","[0.8314155340194702, 0.7951078414916992, 0.8314155340194702, 0.8314155340194702, 0.7951078414916992]",batch_normalisation,batch_normalisation
Agaricus Lepiota,26496,21,0.5714285714285714,984,2,46.85714285714285,0.0952380952380952,492.0,0.9294117647058824,0.2857142857142857,0.1606074372127065,-0.0065201578683433,0.6211481031746494,1.1742239217092114,-0.4816376054785026,"[0.37846291065216064, 0.32123053073883057, 0.3180398643016815, 0.3386785089969635, 0.3704203963279724]","[0.3696672320365906, 0.3238052725791931, 0.32709768414497375, 0.33854609727859497, 0.36117273569107056]","[0.32281216979026794, 0.32122108340263367, 0.3180336356163025, 0.33232036232948303, 0.3196209967136383]","[0.32358622550964355, 0.3235034644603729, 0.3330947458744049, 0.3325587213039398, 0.33014535903930664]","[0.3276556432247162, 0.33388078212738037, 0.32765865325927734, 0.3644983768463135, 0.3640975058078766]","[0.3289399743080139, 0.3238753080368042, 0.32679182291030884, 0.35242101550102234, 0.35918498039245605]","[0.7886195182800293, 0.7997457981109619, 0.8180235028266907, 0.7926268577575684, 0.3275686204433441]","[0.7954952120780945, 0.7954928874969482, 0.831028163433075, 0.7954952120780945, 0.3386627733707428]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3293464183807373, 0.32263314723968506, 0.31960007548332214, 0.36522242426872253, 0.32738858461380005]","[0.32621532678604126, 0.3287578821182251, 0.3332422375679016, 0.3602389395236969, 0.33168545365333557]","[0.6924482583999634, 0.692936897277832, 0.6931220889091492, 0.6926574110984802, 0.692209005355835]","[0.6928396821022034, 0.6928055882453918, 0.6929514408111572, 0.692789614200592, 0.6929448843002319]","[0.3275872766971588, 0.3323574960231781, 0.37042033672332764, 0.37835779786109924, 0.3259773254394531]","[0.3235398828983307, 0.3234908878803253, 0.3692130446434021, 0.36920684576034546, 0.3283165395259857]","[0.837904155254364, 0.7997483015060425, 0.818023681640625, 0.8338966965675354, 0.841833233833313]","[0.831028163433075, 0.7954952120780945, 0.831028163433075, 0.831028163433075, 0.831028163433075]",batch_normalisation,batch_normalisation
Agaricus Lepiota,85974,21,0.5714285714285714,1615,2,76.9047619047619,0.0952380952380952,807.5,0.929510155316607,0.238095238095238,0.1744803936542776,5.391844618379851e-05,0.6246308409230196,1.1906273983037716,-0.5228513277746171,"[0.32488909363746643, 0.369417279958725, 0.37033092975616455, 0.37033045291900635, 0.32395729422569275]","[0.32256510853767395, 0.3649294376373291, 0.3628097176551819, 0.3628435730934143, 0.32271161675453186]","[0.3248843252658844, 0.31520336866378784, 0.3268063962459564, 0.35581985116004944, 0.3239053189754486]","[0.32256847620010376, 0.31663909554481506, 0.3256613314151764, 0.3535156548023224, 0.3225567042827606]","[0.37911128997802734, 0.36234205961227417, 0.3712696135044098, 0.3703500032424927, 0.3736443817615509]","[0.36452504992485046, 0.3599120080471039, 0.3628128468990326, 0.3628130853176117, 0.35973381996154785]","[0.7727267742156982, 0.7847030162811279, 0.4090493619441986, 0.7977870106697083, 0.820031464099884]","[0.7705916166305542, 0.7962327003479004, 0.42477574944496155, 0.796233057975769, 0.8302894830703735]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3334581255912781, 0.37008392810821533, 0.37103724479675293, 0.3632694482803345, 0.32493382692337036]","[0.32661229372024536, 0.36372286081314087, 0.3638015389442444, 0.3572632372379303, 0.3243120610713959]","[0.6929384469985962, 0.6922131180763245, 0.6922426223754883, 0.6928776502609253, 0.6930988430976868]","[0.6928143501281738, 0.6930223703384399, 0.6929720044136047, 0.6928305625915527, 0.6929849982261658]","[0.3790973424911499, 0.3694159984588623, 0.3703301250934601, 0.3703303635120392, 0.38290300965309143]","[0.3628055155277252, 0.364023357629776, 0.3628312647342682, 0.3628055155277252, 0.36283424496650696]","[0.8272985219955444, 0.7847041487693787, 0.8413081765174866, 0.8287356495857239, 0.8064919710159302]","[0.8302896618843079, 0.7962338924407959, 0.8302896618843079, 0.8302896618843079, 0.7962338924407959]",batch_normalisation,batch_normalisation
Agaricus Lepiota,6730,21,0.5714285714285714,2852,2,135.8095238095238,0.0952380952380952,1426.0,0.930941096817874,0.238095238095238,0.1874185730274117,0.013721266675443,0.6218296368851872,1.206132033742283,-0.5557728003130509,"[0.36425259709358215, 0.3614850342273712, 0.36148518323898315, 0.3620331883430481, 0.3642246127128601]","[0.37457579374313354, 0.37627020478248596, 0.37470757961273193, 0.37459567189216614, 0.37456703186035156]","[0.32697010040283203, 0.32148289680480957, 0.3235009014606476, 0.3242226839065552, 0.3258688151836395]","[0.3255322277545929, 0.3203200697898865, 0.3253617286682129, 0.32561007142066956, 0.3239894211292267]","[0.36425963044166565, 0.3499900996685028, 0.36150115728378296, 0.3439081311225891, 0.36423414945602417]","[0.37458187341690063, 0.364095002412796, 0.3745718002319336, 0.3553706109523773, 0.3745642602443695]","[0.8346431851387024, 0.8288781046867371, 0.827782154083252, 0.7938095331192017, 0.8310694694519043]","[0.8316503763198853, 0.83165043592453, 0.83165043592453, 0.7948728203773499, 0.8316500782966614]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3646202087402344, 0.3623669147491455, 0.3617666959762573, 0.36233681440353394, 0.3645536005496979]","[0.3748818635940552, 0.37483030557632446, 0.3748445510864258, 0.37487533688545227, 0.3748309016227722]","[0.692635178565979, 0.6928672194480896, 0.6929043531417847, 0.6927118301391602, 0.6928296089172363]","[0.6927580833435059, 0.6927619576454163, 0.692774772644043, 0.6927605867385864, 0.6928144097328186]","[0.35493287444114685, 0.3560057282447815, 0.3614847660064697, 0.36203259229660034, 0.36422470211982727]","[0.3658246099948883, 0.36946621537208557, 0.3746308982372284, 0.3745919466018677, 0.3745950758457184]","[0.791880190372467, 0.8288781642913818, 0.8277822732925415, 0.832713782787323, 0.7954534888267517]","[0.7948729395866394, 0.8316505551338196, 0.8316505551338196, 0.8316505551338196, 0.7948729395866394]",batch_normalisation,batch_normalisation
