RI,Al,K,Ca,Ba,Fe,target
0.8798401714994396,-0.7063704702717293,-0.6734801275421994,-0.14346581626959318,-0.3538076426214914,-0.5883010828478235,1
-0.24381561836392857,-0.18086272384980065,-0.02896223911766833,-0.7902006070721983,-0.3538076426214914,-0.5883010828478235,1
-0.7164120241005114,0.1829503313653806,-0.16707321520863924,-0.8253492370071224,-0.3538076426214914,-0.5883010828478235,1
-0.22729126851296214,-0.3223455786557046,0.10914873697330259,-0.5160412935797892,-0.3538076426214914,-0.5883010828478235,1
-0.3066081477974395,-0.4234047606599218,0.07845740895308696,-0.621487183384562,-0.3538076426214914,-0.5883010828478235,1
-0.7891191634446463,0.34464502257212803,0.21656838504405787,-0.621487183384562,-0.3538076426214914,2.0822000620794276,1
-0.30330327782723154,-0.625523124668356,0.12449440098341048,-0.5511899235147139,-0.3538076426214914,-0.5883010828478235,1
-0.2603399682148216,-0.8074296522759464,0.10914873697330259,-0.5019818416058198,-0.3538076426214914,-0.5883010828478235,1
0.2750489669553456,-0.16065088744895722,0.09380307296319486,-0.45980348568391044,-0.3538076426214914,-0.5883010828478235,1
-0.26364483818502954,-0.18086272384980065,0.10914873697330259,-0.3895062258140623,-0.3538076426214914,0.5415263246213982,1
-0.8717409126993315,0.22337400416706746,0.2626053770743816,-0.6074277314105926,-0.3538076426214914,1.8767768970850234,1
-0.23720587842351265,-0.3627692514573915,0.1551857290036263,-0.2770306100223048,-0.3538076426214914,-0.5883010828478235,1
-0.8122532532359552,-0.10001537824642738,0.2932967050945972,-0.6355466353585314,-0.3538076426214914,1.8767768970850234,1
-0.2867789279763385,-0.3627692514573915,0.06311174494297907,-0.40356567778803165,-0.3538076426214914,1.15779581960461,1
-0.23720587842351265,-0.2819219058540178,0.12449440098341048,-0.31920896594421416,-0.3538076426214914,-0.5883010828478235,1
-0.24381561836392857,-0.4436165970607652,0.12449440098341048,-0.39653595180104695,-0.3538076426214914,-0.5883010828478235,1
-0.16780360904958577,-0.5850994518666692,0.17053139301373418,-0.17861444620451788,-0.3538076426214914,-0.5883010828478235,1
1.1938028186671412,-1.1308190346894411,-0.5353691514512284,0.1377232232098006,-0.3538076426214914,-0.5883010828478235,1
0.2519148771640366,-0.5446757790649823,-0.6734801275421994,-0.04504965245180505,-0.3538076426214914,-0.5883010828478235,1
