Na,Mg,Si,K,Ca,Ba,target
0.2895581349674454,1.2572383177750566,-1.1332478946720979,-0.6734801275421994,-0.14346581626959318,-0.3538076426214914,1
0.596403322768771,0.6393107370112053,0.097036516974997,-0.02896223911766833,-0.7902006070721983,-0.3538076426214914,1
0.15454625233486066,0.6045957043840224,0.4337459348994523,-0.16707321520863924,-0.8253492370071224,-0.3538076426214914,1
-0.2382155880508343,0.7017977957401339,-0.05836782975937829,0.10914873697330259,-0.5160412935797892,-0.3538076426214914,1
-0.1645727429785177,0.6531967500620783,0.5502991949502337,0.07845740895308696,-0.621487183384562,-0.3538076426214914,1
-0.7537155035570634,0.6462537435366417,0.4078452104437292,0.21656838504405787,-0.621487183384562,-0.3538076426214914,1
-0.12775132044235724,0.6393107370112053,0.5632495571781044,0.12449440098341048,-0.5511899235147139,-0.3538076426214914,1
-0.31185843312315303,0.6462537435366417,0.7575049905960552,0.10914873697330259,-0.5019818416058198,-0.3538076426214914,1
0.7805104354495646,0.6254247239603322,-0.744737027836178,0.09380307296319486,-0.45980348568391044,-0.3538076426214914,1
-0.4959655458039488,0.6393107370112053,0.4337459348994523,0.10914873697330259,-0.3895062258140623,-0.3538076426214914,1
-0.8396321561414327,0.5421086456550938,0.705703541684609,0.2626053770743816,-0.6074277314105926,-0.3538076426214914,1
-0.7414416960450084,0.6809687761638245,0.4596466593551938,0.1551857290036263,-0.2770306100223048,-0.3538076426214914,1
-0.6432512359485841,0.5212796260787843,0.8093064395075198,0.2932967050945972,-0.6355466353585314,-0.3538076426214914,1
-0.6677988509726919,0.6115387109094591,0.7186539039124614,0.06311174494297907,-0.40356567778803165,-0.3538076426214914,1
-0.9746440387740175,0.6323677304857686,0.8222568017353905,0.12449440098341048,-0.31920896594421416,-0.3538076426214914,1
-0.7291678885329557,0.5976526978585861,0.7575049905960552,0.12449440098341048,-0.39653595180104695,-0.3538076426214914,1
-0.888727386189646,0.6879117826892609,0.5891502816338275,0.17053139301373418,-0.17861444620451788,-0.3538076426214914,1
1.1732722758352616,0.8128859001471185,-1.677163108242393,-0.5353691514512284,0.1377232232098006,-0.3538076426214914,1
0.6086771302808237,0.7295698218418801,-0.6929355789247134,-0.6734801275421994,-0.04504965245180505,-0.3538076426214914,1
-0.4714179307798433,0.5976526978585861,0.097036516974997,0.06311174494297907,-0.36138732186612355,-0.3538076426214914,1
-0.7168940810209029,0.6045957043840224,0.12293724143072009,0.06311174494297907,-0.30514951397024476,-0.3538076426214914,1
1.6764983838294358,0.7434558348927531,-0.8224392012033657,-0.7195171195725231,0.03227733340502778,-0.3538076426214914,1
-0.7659893110691162,0.6531967500620783,0.17473869034218464,0.1398400649935184,-0.17861444620451788,-0.3538076426214914,1
-0.7291678885329557,0.6184817174348956,0.4725970215830461,0.18587705702384208,-0.2559414320613507,-0.3538076426214914,1
-0.029560860345932964,0.5698806717568399,0.25244086370935387,0.0017290889025474673,-0.3684170478531082,-0.3538076426214914,1
-0.5205131608280543,0.5976526978585861,0.446696297127323,0.23191404905416577,-0.2981197879832601,-0.3538076426214914,1
