RI,Al,Si,K,Ba,Fe,target
0.8798401714994396,-0.7063704702717293,-1.1332478946720979,-0.6734801275421994,-0.3538076426214914,-0.5883010828478235,1
-0.24381561836392857,-0.18086272384980065,0.097036516974997,-0.02896223911766833,-0.3538076426214914,-0.5883010828478235,1
-0.7164120241005114,0.1829503313653806,0.4337459348994523,-0.16707321520863924,-0.3538076426214914,-0.5883010828478235,1
-0.22729126851296214,-0.3223455786557046,-0.05836782975937829,0.10914873697330259,-0.3538076426214914,-0.5883010828478235,1
-0.3066081477974395,-0.4234047606599218,0.5502991949502337,0.07845740895308696,-0.3538076426214914,-0.5883010828478235,1
-0.7891191634446463,0.34464502257212803,0.4078452104437292,0.21656838504405787,-0.3538076426214914,2.0822000620794276,1
-0.30330327782723154,-0.625523124668356,0.5632495571781044,0.12449440098341048,-0.3538076426214914,-0.5883010828478235,1
-0.2603399682148216,-0.8074296522759464,0.7575049905960552,0.10914873697330259,-0.3538076426214914,-0.5883010828478235,1
0.2750489669553456,-0.16065088744895722,-0.744737027836178,0.09380307296319486,-0.3538076426214914,-0.5883010828478235,1
-0.26364483818502954,-0.18086272384980065,0.4337459348994523,0.10914873697330259,-0.3538076426214914,0.5415263246213982,1
-0.8717409126993315,0.22337400416706746,0.705703541684609,0.2626053770743816,-0.3538076426214914,1.8767768970850234,1
-0.23720587842351265,-0.3627692514573915,0.4596466593551938,0.1551857290036263,-0.3538076426214914,-0.5883010828478235,1
-0.8122532532359552,-0.10001537824642738,0.8093064395075198,0.2932967050945972,-0.3538076426214914,1.8767768970850234,1
-0.2867789279763385,-0.3627692514573915,0.7186539039124614,0.06311174494297907,-0.3538076426214914,1.15779581960461,1
-0.23720587842351265,-0.2819219058540178,0.8222568017353905,0.12449440098341048,-0.3538076426214914,-0.5883010828478235,1
-0.24381561836392857,-0.4436165970607652,0.7575049905960552,0.12449440098341048,-0.3538076426214914,-0.5883010828478235,1
-0.16780360904958577,-0.5850994518666692,0.5891502816338275,0.17053139301373418,-0.3538076426214914,-0.5883010828478235,1
1.1938028186671412,-1.1308190346894411,-1.677163108242393,-0.5353691514512284,-0.3538076426214914,-0.5883010828478235,1
0.2519148771640366,-0.5446757790649823,-0.6929355789247134,-0.6734801275421994,-0.3538076426214914,-0.5883010828478235,1
-0.32974223758874843,0.48612787737803154,0.097036516974997,0.06311174494297907,-0.3538076426214914,0.13067999463259033,1
-0.2801691880359226,0.08189114936116346,0.12293724143072009,0.06311174494297907,-0.3538076426214914,1.3632189845990137,1
0.4336827255243003,-2.3435292187400454,-0.8224392012033657,-0.7195171195725231,-0.3538076426214914,-0.5883010828478235,1
-0.3264373676185405,-0.3223455786557046,0.17473869034218464,0.1398400649935184,-0.3538076426214914,-0.5883010828478235,1
-0.276864318065788,-0.20107456025064407,0.4725970215830461,0.18587705702384208,-0.3538076426214914,-0.5883010828478235,1
