RI,Na,Mg,Al,Si,K,target
0.8798401714994396,0.2895581349674454,1.2572383177750566,-0.7063704702717293,-1.1332478946720979,-0.6734801275421994,1
-0.24381561836392857,0.596403322768771,0.6393107370112053,-0.18086272384980065,0.097036516974997,-0.02896223911766833,1
-0.7164120241005114,0.15454625233486066,0.6045957043840224,0.1829503313653806,0.4337459348994523,-0.16707321520863924,1
-0.22729126851296214,-0.2382155880508343,0.7017977957401339,-0.3223455786557046,-0.05836782975937829,0.10914873697330259,1
-0.3066081477974395,-0.1645727429785177,0.6531967500620783,-0.4234047606599218,0.5502991949502337,0.07845740895308696,1
-0.7891191634446463,-0.7537155035570634,0.6462537435366417,0.34464502257212803,0.4078452104437292,0.21656838504405787,1
-0.30330327782723154,-0.12775132044235724,0.6393107370112053,-0.625523124668356,0.5632495571781044,0.12449440098341048,1
-0.2603399682148216,-0.31185843312315303,0.6462537435366417,-0.8074296522759464,0.7575049905960552,0.10914873697330259,1
0.2750489669553456,0.7805104354495646,0.6254247239603322,-0.16065088744895722,-0.744737027836178,0.09380307296319486,1
-0.26364483818502954,-0.4959655458039488,0.6393107370112053,-0.18086272384980065,0.4337459348994523,0.10914873697330259,1
-0.8717409126993315,-0.8396321561414327,0.5421086456550938,0.22337400416706746,0.705703541684609,0.2626053770743816,1
-0.23720587842351265,-0.7414416960450084,0.6809687761638245,-0.3627692514573915,0.4596466593551938,0.1551857290036263,1
-0.8122532532359552,-0.6432512359485841,0.5212796260787843,-0.10001537824642738,0.8093064395075198,0.2932967050945972,1
-0.2867789279763385,-0.6677988509726919,0.6115387109094591,-0.3627692514573915,0.7186539039124614,0.06311174494297907,1
-0.23720587842351265,-0.9746440387740175,0.6323677304857686,-0.2819219058540178,0.8222568017353905,0.12449440098341048,1
-0.24381561836392857,-0.7291678885329557,0.5976526978585861,-0.4436165970607652,0.7575049905960552,0.12449440098341048,1
-0.16780360904958577,-0.888727386189646,0.6879117826892609,-0.5850994518666692,0.5891502816338275,0.17053139301373418,1
1.1938028186671412,1.1732722758352616,0.8128859001471185,-1.1308190346894411,-1.677163108242393,-0.5353691514512284,1
0.2519148771640366,0.6086771302808237,0.7295698218418801,-0.5446757790649823,-0.6929355789247134,-0.6734801275421994,1
-0.32974223758874843,-0.4714179307798433,0.5976526978585861,0.48612787737803154,0.097036516974997,0.06311174494297907,1
-0.2801691880359226,-0.7168940810209029,0.6045957043840224,0.08189114936116346,0.12293724143072009,0.06311174494297907,1
0.4336827255243003,1.6764983838294358,0.7434558348927531,-2.3435292187400454,-0.8224392012033657,-0.7195171195725231,1
-0.3264373676185405,-0.7659893110691162,0.6531967500620783,-0.3223455786557046,0.17473869034218464,0.1398400649935184,1
-0.276864318065788,-0.7291678885329557,0.6184817174348956,-0.20107456025064407,0.4725970215830461,0.18587705702384208,1
-0.3793152871415009,-0.029560860345932964,0.5698806717568399,-0.6053112882675126,0.25244086370935387,0.0017290889025474673,1
-0.23390100845330467,-0.5205131608280543,0.5976526978585861,-0.4840402698624521,0.446696297127323,0.23191404905416577,1
