dataset_name,seed,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline_training_loss,baseline_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,prune_training_loss,prune_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,best_training_technique,best_testing_technique,subset_type
Liver Cirrhosis,57347,18.0,0.6111111111111112,165.0,3.0,9.166666666666666,0.1666666666666666,55.0,0.1276595744680851,0.5,0.0695554325094312,0.0002039865772658,0.2144923479882408,1.0720314849531525,-0.2980058030109991,"[0.6730300188064575, 0.6718755960464478, 0.6524554491043091, 0.6529434323310852, 0.673570454120636]","[0.9362704157829285, 0.9093198180198669, 0.9158060550689697, 0.8921866416931152, 0.9446925520896912]","[0.6734586954116821, 0.6433181166648865, 0.6344780325889587, 0.6540544033050537, 0.6256669759750366]","[0.9305222630500793, 0.9508556127548218, 0.9218720197677612, 0.9016003012657166, 0.9182829856872559]","[0.6659178733825684, 0.6747103929519653, 0.6755163669586182, 0.665076494216919, 0.6937271952629089]","[0.9179844856262207, 0.945187509059906, 0.9805033206939697, 0.9248096942901611, 0.9752991795539856]","[1.0276353359222412, 0.9895396828651428, 0.966539204120636, 0.9571051001548767, 0.9759730100631714]","[0.9756872057914734, 0.9756874442100525, 0.9756872057914734, 0.9756872057914734, 0.9756872057914734]","[0.9956053495407104, 0.9728735685348511, 0.6716772317886353, 0.953356146812439, 0.7432811856269836]","[0.967166006565094, 0.9622126221656799, 0.8839762210845947, 0.9645156860351562, 0.8882426619529724]","[0.6623514890670776, 0.6705669164657593, 0.6632704734802246, 0.6444029211997986, 0.672641396522522]","[0.9969650506973267, 0.9089349508285522, 0.8936299681663513, 0.8735535740852356, 0.9470961689949036]",batch_normalisation,baseline,
Liver Cirrhosis,87609,18.0,0.6111111111111112,264.0,3.0,14.666666666666666,0.1666666666666666,88.0,0.5315315315315315,0.5555555555555556,0.0364903163698136,0.000956942399853,0.1058995445110206,1.03716426045398,0.6242506957301154,"[0.8934783935546875, 0.7896642088890076, 0.8287935853004456, 0.8055745363235474, 0.8227189779281616]","[1.039482593536377, 1.0294311046600342, 1.0462638139724731, 1.0436313152313232, 1.080842137336731]","[0.6173990964889526, 0.6159471273422241, 0.6208301186561584, 0.5819283723831177, 0.6158690452575684]","[0.9995837807655334, 1.0227819681167603, 1.0268559455871582, 1.0638636350631714, 1.04195237159729]","[0.8598493337631226, 0.9030441045761108, 0.8553369641304016, 0.8784858584403992, 0.8713911771774292]","[0.9473934173583984, 1.037065863609314, 1.0204746723175049, 1.0279812812805176, 1.036803960800171]","[0.8490827083587646, 0.6929890513420105, 0.8946822881698608, 1.1608940362930298, 1.1135057210922241]","[1.0040801763534546, 1.0288724899291992, 1.0579867362976074, 1.1363348960876465, 1.1081054210662842]","[1.0523139238357544, 1.0726536512374878, 1.0630145072937012, 1.0794717073440552, 1.0689159631729126]","[1.074448823928833, 1.0712058544158936, 1.0705838203430176, 1.072802186012268, 1.0709975957870483]","[0.7983410358428955, 0.7824670076370239, 0.8272157311439514, 0.8583915829658508, 0.8195076584815979]","[0.9785997271537781, 1.0202174186706543, 0.9847908616065979, 1.0666182041168213, 1.0792913436889648]",batch_normalisation,dropout,
Liver Cirrhosis,6945,18.0,0.6111111111111112,170.0,2.0,9.444444444444445,0.1111111111111111,85.0,0.5315315315315315,0.5,0.0121908639250247,0.0,0.079708741355327,1.0122654753911222,1.9421253606759945,"[0.3512401282787323, 0.360120564699173, 0.406657874584198, 0.34165140986442566, 0.33284157514572144]","[0.68833327293396, 0.6502423882484436, 0.6799076795578003, 0.752865731716156, 0.715103030204773]","[0.3412123918533325, 0.3685608506202698, 0.3684920370578766, 0.3685368299484253, 0.3410165011882782]","[0.8194517493247986, 0.6866211295127869, 0.7528316378593445, 0.7575984001159668, 0.780159592628479]","[0.4503271281719208, 0.4271189868450165, 0.4979422092437744, 0.4316570460796356, 0.39802661538124084]","[0.6772755980491638, 0.6825911402702332, 0.6668992042541504, 0.6481338739395142, 0.7332369685173035]","[0.6651133894920349, 0.6710596084594727, 0.6527026295661926, 0.6710571646690369, 0.6343624591827393]","[0.66620272397995, 0.6662026643753052, 0.6661916375160217, 0.6662004590034485, 0.6662024855613708]","[0.6486389636993408, 0.6521843671798706, 0.6407210230827332, 0.6521818041801453, 0.6278773546218872]","[0.6492809057235718, 0.6494378447532654, 0.6494146585464478, 0.6494325995445251, 0.6504229307174683]","[0.3697119355201721, 0.35140731930732727, 0.36948761343955994, 0.370095431804657, 0.35109254717826843]","[0.670920193195343, 0.6555343866348267, 0.7499340176582336, 0.6603546142578125, 0.7364124059677124]",batch_normalisation,prune,
Liver Cirrhosis,81311,14.0,0.6428571428571429,276.0,4.0,19.714285714285715,0.2857142857142857,69.0,0.1081081081081081,0.5,0.0455969468289941,0.0,0.0860374627025293,1.0466524693334889,0.8787438050645843,"[1.0516810417175293, 1.0518064498901367, 1.0712703466415405, 1.0572865009307861, 1.0445290803909302]","[1.2103604078292847, 1.3109081983566284, 1.2354867458343506, 1.2678582668304443, 1.1846156120300293]","[0.9756098985671997, 1.0466909408569336, 1.1595627069473267, 0.910292387008667, 0.9074363708496094]","[1.1868237257003784, 1.2604128122329712, 1.2373533248901367, 1.2282309532165527, 1.2341941595077515]","[1.0840997695922852, 1.1069211959838867, 1.1100558042526245, 1.0712106227874756, 1.1012672185897827]","[1.1928846836090088, 1.226394534111023, 1.2124799489974976, 1.196021556854248, 1.228190302848816]","[1.3175313472747803, 1.3288955688476562, 1.328856110572815, 1.3686662912368774, 0.8736685514450073]","[1.3329533338546753, 1.3329540491104126, 1.332916021347046, 1.3329527378082275, 1.1824461221694946]","[1.2925665378570557, 1.2978583574295044, 1.2968920469284058, 1.2975183725357056, 1.2999343872070312]","[1.29640531539917, 1.2943949699401855, 1.2948083877563477, 1.2974071502685547, 1.2994186878204346]","[1.0441309213638306, 1.0573383569717407, 1.0577201843261719, 1.0705175399780273, 1.0316011905670166]","[1.201979637145996, 1.2703170776367188, 1.2120693922042847, 1.2049365043640137, 1.2118116617202759]",SMOTE,dropout,
Liver Cirrhosis,64384,14.0,0.5714285714285714,276.0,4.0,19.714285714285715,0.2857142857142857,69.0,0.1081081081081081,0.5,0.0468805900473619,0.0011150370487329,0.1337593830516323,1.047996860352343,0.8273016892126859,"[1.0863538980484009, 1.0921874046325684, 1.067399024963379, 1.0748770236968994, 1.0687334537506104]","[1.25785231590271, 1.2627321481704712, 1.2632538080215454, 1.2876240015029907, 1.2650835514068604]","[1.1606887578964233, 0.8568978905677795, 1.0609992742538452, 0.9676793813705444, 0.8871492147445679]","[1.2133604288101196, 1.235737681388855, 1.2040421962738037, 1.2234827280044556, 1.1998209953308105]","[1.1206896305084229, 1.0939871072769165, 1.1004832983016968, 1.1339236497879028, 1.0812201499938965]","[1.2507976293563843, 1.2007070779800415, 1.229169487953186, 1.2447261810302734, 1.2169055938720703]","[1.3402496576309204, 1.3913804292678833, 1.3402544260025024, 1.306160569190979, 1.0787932872772217]","[1.332945704460144, 1.4043642282485962, 1.3329501152038574, 1.3329453468322754, 1.1900603771209717]","[1.301437497138977, 1.3108876943588257, 1.292122483253479, 1.2862569093704224, 1.2972795963287354]","[1.2942036390304565, 1.2989592552185059, 1.2927842140197754, 1.2962515354156494, 1.2959431409835815]","[1.0926302671432495, 1.0003166198730469, 1.0696215629577637, 1.0756251811981201, 1.059434175491333]","[1.291804552078247, 1.2260069847106934, 1.2437658309936523, 1.2934679985046387, 1.233068823814392]",SMOTE,batch_normalisation,
Liver Cirrhosis,52391,9.0,0.5555555555555556,276.0,4.0,30.666666666666668,0.4444444444444444,69.0,0.1081081081081081,0.5555555555555556,0.0458185061961456,0.0022577984714441,0.0792028409482051,1.0468843906834466,1.9083584073927853,"[1.1032394170761108, 1.1258140802383423, 1.1294482946395874, 1.079406976699829, 1.082573413848877]","[1.2116889953613281, 1.1670974493026733, 1.175089716911316, 1.1640489101409912, 1.1696064472198486]","[1.0590758323669434, 1.034537672996521, 1.0054473876953125, 1.0479021072387695, 1.0589042901992798]","[1.2148417234420776, 1.2164690494537354, 1.1267213821411133, 1.1658337116241455, 1.2055965662002563]","[1.2046985626220703, 1.1778537034988403, 1.1619712114334106, 1.1224006414413452, 1.1134040355682373]","[1.1849294900894165, 1.1826022863388062, 1.1815097332000732, 1.1553161144256592, 1.1787852048873901]","[1.1258832216262817, 1.2566200494766235, 1.1281187534332275, 1.0777225494384766, 1.1631731986999512]","[1.2080923318862915, 1.2891191244125366, 1.1885426044464111, 1.1899645328521729, 1.1545517444610596]","[1.309914231300354, 1.309205174446106, 1.3074785470962524, 1.2718985080718994, 1.289808750152588]","[1.2953704595565796, 1.2961491346359253, 1.2952831983566284, 1.294104814529419, 1.2927955389022827]","[1.1497236490249634, 1.1437305212020874, 1.0950348377227783, 1.0750727653503418, 1.0709891319274902]","[1.1659159660339355, 1.1578620672225952, 1.1881256103515625, 1.1670958995819092, 1.1548832654953003]",SMOTE,weight_normalisation,
Liver Cirrhosis,49590,10.0,0.5,276.0,4.0,27.6,0.4,69.0,0.1081081081081081,0.4,0.0543342122852234,0.0,0.1337593830516323,1.0558374170302331,1.207282831472663,"[1.1379120349884033, 1.059954285621643, 1.0690864324569702, 1.044677495956421, 1.0824371576309204]","[1.3250486850738525, 1.193458914756775, 1.1789387464523315, 1.2374399900436401, 1.1458468437194824]","[1.0112489461898804, 1.0423948764801025, 1.0325961112976074, 1.0139728784561157, 1.0423353910446167]","[1.2624187469482422, 1.184008240699768, 1.20885169506073, 1.2475131750106812, 1.2349133491516113]","[1.1700130701065063, 1.191594123840332, 1.110378623008728, 1.0992279052734375, 1.0983959436416626]","[1.1898847818374634, 1.1622521877288818, 1.195003867149353, 1.2347286939620972, 1.130908489227295]","[1.3459402322769165, 1.3402557373046875, 0.8999522924423218, 1.3345308303833008, 0.9985890984535217]","[1.3329533338546753, 1.332950472831726, 1.1692214012145996, 1.332911491394043, 1.2293709516525269]","[1.3047256469726562, 1.3013216257095337, 1.3057502508163452, 1.296064853668213, 1.2845488786697388]","[1.2957220077514648, 1.2937612533569336, 1.298027753829956, 1.2932186126708984, 1.2924822568893433]","[1.0941028594970703, 1.067753791809082, 1.070322871208191, 1.0449408292770386, 1.0734108686447144]","[1.2697733640670776, 1.1603163480758667, 1.198488712310791, 1.214799165725708, 1.1725901365280151]",SMOTE,dropout,
Liver Cirrhosis,45431,14.0,0.5714285714285714,276.0,4.0,19.714285714285715,0.2857142857142857,69.0,0.1081081081081081,0.5,0.0399713732101636,0.0,0.1337593830516323,1.0407809795475609,1.1431583281969795,"[1.031171441078186, 1.0353816747665405, 1.0443912744522095, 1.0527732372283936, 1.0489691495895386]","[1.2350804805755615, 1.148688554763794, 1.1994479894638062, 1.1784690618515015, 1.2401708364486694]","[0.9973982572555542, 1.0229030847549438, 1.0078407526016235, 1.0364347696304321, 1.0449665784835815]","[1.2147594690322876, 1.1742165088653564, 1.2684192657470703, 1.181510329246521, 1.2406435012817383]","[1.0969845056533813, 1.1926467418670654, 1.185259461402893, 1.121577262878418, 1.2590998411178589]","[1.1532623767852783, 1.2118648290634155, 1.1967170238494873, 1.210172176361084, 1.270745873451233]","[0.8945881724357605, 1.106091022491455, 1.351597785949707, 1.3516167402267456, 1.3345661163330078]","[1.3557409048080444, 1.1908183097839355, 1.3329355716705322, 1.3329483270645142, 1.3329416513442993]","[1.2984604835510254, 1.2962535619735718, 1.3038816452026367, 1.2986083030700684, 1.2979522943496704]","[1.2941614389419556, 1.29409921169281, 1.294649600982666, 1.2937482595443726, 1.2934279441833496]","[1.0576701164245605, 1.0360050201416016, 1.0649213790893555, 1.0532379150390625, 1.043382167816162]","[1.1976046562194824, 1.171618938446045, 1.2273192405700684, 1.1961997747421265, 1.269831895828247]",SMOTE,baseline,
Liver Cirrhosis,59664,15.0,0.6666666666666666,276.0,4.0,18.4,0.2666666666666666,69.0,0.1081081081081081,0.5333333333333333,0.0405697471244517,0.0003252063507837,0.1337593830516323,1.0414039420998915,0.9707784320315404,"[1.0343533754348755, 1.0016423463821411, 1.011010766029358, 1.0562617778778076, 1.0356645584106445]","[1.1983743906021118, 1.1264952421188354, 1.2088489532470703, 1.1449989080429077, 1.1676886081695557]","[0.9277560710906982, 0.833385169506073, 0.9783746600151062, 0.8516101837158203, 1.0123612880706787]","[1.2680552005767822, 1.1557657718658447, 1.226731777191162, 1.2457002401351929, 1.2161521911621094]","[1.0709635019302368, 1.0991311073303223, 1.0842715501785278, 1.115618109703064, 1.1112494468688965]","[1.1617145538330078, 1.1421935558319092, 1.1266295909881592, 1.143601417541504, 1.1810630559921265]","[1.0789111852645874, 1.39138662815094, 1.0367395877838135, 0.9138535857200623, 1.0379753112792969]","[1.2036808729171753, 1.4043734073638916, 1.1599056720733643, 1.2244830131530762, 1.0722954273223877]","[1.3041726350784302, 1.3106886148452759, 1.2842450141906738, 1.3013895750045776, 1.2914855480194092]","[1.2948122024536133, 1.2983890771865845, 1.2951005697250366, 1.2941488027572632, 1.292660117149353]","[1.0419559478759766, 1.0974146127700806, 1.0156275033950806, 1.0508034229278564, 1.0443239212036133]","[1.182638168334961, 1.1760303974151611, 1.169769287109375, 1.1598563194274902, 1.1992418766021729]",SMOTE,dropout,
Liver Cirrhosis,49726,18.0,0.6111111111111112,102.0,3.0,5.666666666666667,0.1666666666666666,34.0,0.5348837209302325,0.4444444444444444,0.0557919201245893,0.0,0.1698493248027284,1.0573776418362844,0.0630514288756382,"[0.6945425868034363, 0.7138324975967407, 0.617569625377655, 0.663317084312439, 0.7829922437667847]","[1.0195444822311401, 1.0536986589431763, 0.9504494667053223, 0.9583920240402222, 0.9516809582710266]","[0.6609615087509155, 0.6119127869606018, 0.5977690815925598, 0.6593421101570129, 0.5980926752090454]","[0.9915454983711243, 1.0554012060165405, 0.9793640375137329, 0.9812434315681458, 0.9806424379348755]","[0.7969653606414795, 0.7963848114013672, 0.8321864008903503, 0.8260353803634644, 0.8131644129753113]","[0.9859667420387268, 1.035901427268982, 0.9694631695747375, 0.9553829431533813, 0.9967591762542725]","[1.1295661926269531, 0.9515033960342407, 1.151408076286316, 1.1324321031570435, 1.2129589319229126]","[1.1228699684143066, 0.9800118207931519, 1.218052625656128, 1.1192271709442139, 1.218087911605835]","[1.0670299530029297, 1.0693761110305786, 1.074408769607544, 1.0723693370819092, 1.0508785247802734]","[1.0720642805099487, 1.0717633962631226, 1.0819671154022217, 1.072297215461731, 1.0715429782867432]","[0.6930062770843506, 0.7389231324195862, 0.6135224103927612, 0.660127580165863, 0.8641359210014343]","[1.056303858757019, 1.0326902866363525, 0.9555226564407349, 0.9778114557266235, 0.9465789794921875]",batch_normalisation,baseline,
