dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,batch_normalisation,layer_normalisation,dropout,prune,weight_decay,weight_normalisation,weight_perturbation,baseline
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3343457092_20260528_183135.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,16.0,-1.4741470207512453,1.2697439665988766,-1.2662121658801861,1.02448669314532,-1.3121916795412478,1.5776173559609334,0.9306083650190116,0.25,0.5999733873342386,0.10515296464422853,1.0894124907533609,0.5439559277918076,-1.2273508794761996,0.9422330261486681,-1.176551080926223,-1.311111500171104,-1.265477342627283,1.6324757423315885,0.2951707732108492,-0.3646949001821572,-0.35000685039245016,0.39602191620017063,-0.24620386782663994,-0.37023167296798526,-0.7211792571238339,1,2,2,3,3,4,4,4
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3019454163_20260528_183136.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,14.0,-0.9237907773320146,1.2697439665988766,-1.2662121658801861,1.1316888827010338,-1.1667366199393898,1.5776173559609334,0.9306083650190116,0.2857142857142857,0.6936528739834302,-0.25518197532538367,1.0880231868487915,0.6443264237337891,-1.187584168536237,1.0822082410766225,-1.4396556089026642,-1.1094216386251419,-1.3290106794796355,1.5223633269595254,-0.78789053797088,-0.7965751358172908,-1.743563238926427,0.44204477812064863,0.3755796992078344,-0.4553501646824032,-0.5710741485574731,2,1,3,4,4,4,4,5
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3358867399_20260528_183136.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,18.0,-1.3687317229893867,1.2697439665988766,-1.2662121658801861,0.9299645144528977,-1.4311900823483943,1.5776173559609334,0.9306083650190116,0.2777777777777778,0.5287062268285224,-0.25518197532538367,1.0880231868487915,0.4685620151604962,-1.2666395842595168,0.8853080313612517,-0.8837732464529715,-1.2694126423981895,-1.122954382182408,1.3809316982201922,0.8184753703497489,-0.5408202607993264,-0.7742036128643283,0.39860468053766684,0.09707050025637286,-0.4138981400498907,-0.5131096109754074,2,1,4,2,3,3,5,4
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1417593125_20260528_183136.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,11.0,-1.545500056133776,1.2697439665988766,-1.2662121658801861,1.325401472412553,-0.8761882510596596,1.5776173559609334,0.9306083650190116,0.2727272727272727,0.42833969119364523,-0.25518197532538367,0.31747088679773117,0.36377709625791127,-0.8212448283526832,0.869971869871587,-1.1680758348368097,-1.2416706415926235,-1.2962674471889526,1.630789232298717,1.4860109799657908,-0.24598259201467865,-0.9287719052876845,0.24350958789209956,0.4224300514209229,-0.16936743034899354,-0.5361843928070061,1,2,3,6,5,6,4,5
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\323501216_20260528_183137.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,13.0,-1.5353132600309956,1.2697439665988766,-1.2662121658801861,1.1912024525016336,-1.081206802843591,1.5776173559609334,0.9306083650190116,0.2307692307692307,0.30887628040122594,-0.25518197532538367,0.3122182412615287,0.2411388751705345,-0.8859117989679955,1.0704307720622166,-1.1846127288468773,-0.8467193192922999,-1.2651417568695078,0.7470046218489276,1.2705835873420905,-0.6378308588180224,-0.8369427028445335,0.3650697344639864,0.455386557438214,-0.3196245393390709,-0.6731284484964097,2,1,6,3,4,6,5,6
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1491135366_20260528_183137.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,18.0,-1.2398589375138258,1.2697439665988766,-1.2662121658801861,0.9299645144528977,-1.4311900823483943,1.5776173559609334,0.9306083650190116,0.2777777777777778,0.5696211107870512,-0.25518197532538367,1.0855763218596712,0.5117448484380812,-1.286773359923675,0.9286665003674465,-1.3875167863061977,-1.3327287771192495,-1.4625987709909676,1.2664676837846576,1.187240330460076,-0.4946726494574264,-0.7891641506772235,0.37330081616457805,0.22247599768998183,-0.42428701206334185,-0.9533610946080051,2,1,6,3,5,6,2,4
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\633354518_20260528_183137.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.9589477410135052,15.0,-1.2677008624952422,1.2697439665988766,-1.2662121658801861,1.0762944224891857,-1.2432882542568686,1.5776173559609334,0.9306083650190116,0.2666666666666666,0.7682020474769815,-0.25518197532538367,1.089153139106774,0.7252356560056621,-1.2717607077437632,1.1053817954971266,-0.61778752465119,-1.053963364551393,-0.9488200832574608,1.3358706844672885,1.0698668209515276,-0.6888779131693876,-0.9287719052876845,0.5401705667136405,1.1701517429197115,-0.5050533382387276,-0.12380408349300201,2,1,3,3,4,4,4,4
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3657231526_20260528_183138.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,0.847046986835632,21.0,-1.3344754758686572,-1.2097316754778105,-1.2662121658801861,-1.7081087365754597,-1.5738969290137519,-0.6366226249360695,0.930635838150289,0.3333333333333333,0.41990995359133265,-0.7435812636487937,1.0763571962843763,0.35504962436297133,-1.3077610236642498,-0.15005856308191046,-1.1086815119215243,-0.9841883496410776,-0.27180815752512316,2.143660633457996,-3.6766769755842925,1.7959096291644325,0.537982480603797,0.7721023584629415,-0.08606906242825696,-0.8281060148708335,-0.9684237623053824,1,3,3,4,2,1,3,2
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1047136087_20260528_183138.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.5025385646703109,21.0,-1.3344754758686572,-0.025341606449601258,-1.2662121658801861,-0.45982043400201567,-1.5738969290137519,0.4937532305694044,0.9314750290360048,0.2857142857142857,0.5313542585001242,-0.36626793370921373,1.0974212851625709,0.47134859762309284,-1.358749838408965,0.056148229653579636,-0.7388901698571838,-1.2689881849159252,-1.273765585468191,1.7123301126229227,2.3101947740863964,0.8154570508260933,0.2899237963098769,0.6043316382877987,-0.17836754310593075,-0.6628014069957433,-1.1304248260805136,2,1,3,4,4,4,4,5
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3195705393_20260528_183138.csv,64.0,-0.9324749765366483,200.0,-0.988184896104378,112.0,0.3090434378781607,176.0,-0.5074735266713447,-0.8809016074846352,-0.6364544642150437,21.0,-1.3344754758686572,0.19990344816574526,-1.2662121658801861,-0.23153208159710478,-1.5738969290137519,0.6927454893977387,0.931184668989547,0.238095238095238,0.555698087091647,-0.13147068679328613,1.0786325861713986,0.49701948913060645,-1.369370795651527,0.25113480623587947,-0.6107223419761353,-1.1634218381282682,-1.1778085434873977,1.9841718067639227,2.007002063295802,0.5003637884406942,0.15781924191020102,0.598419017348106,0.5790780574287424,-0.6670584505037053,-0.4909079077468368,2,1,3,4,4,5,3,3
