column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,-0.0973,1.0359,-0.9734,-0.9734,-0.598,0.153,1.6549,0.8152
learning_rate,135.0,0.5013,1.3405,-0.9751,-0.9751,1.4437,1.5059,2.0129,-0.1569
number_of_epochs,135.0,-0.4858,0.8636,-1.5399,-1.2609,-0.9818,0.4134,0.9715,0.3954
number_of_hidden_layers,135.0,-0.197,0.9699,-1.0275,-1.0275,-1.0275,0.9056,1.3368,0.4353
avg_number_of_neurons,135.0,0.3099,0.6511,-1.0301,-0.1919,0.6463,0.7987,0.8749,-0.9579
min_number_of_neurons,135.0,0.1772,1.007,-1.1338,-1.1338,0.711,0.9305,1.4267,-0.3389
max_number_of_neurons,135.0,0.3802,0.821,-0.934,-0.0413,0.8514,0.8514,1.2977,-0.5676
total_number_of_neurons,135.0,0.1455,0.8052,-1.1859,-0.1965,-0.0446,0.6016,1.4927,0.0882
depth_to_width_ratio,135.0,-0.5527,0.6813,-1.412,-1.2637,-0.5846,0.1164,0.4762,0.1478
batch_size_to_dataset_ratio,135.0,0.6575,1.1271,-0.9383,-0.5818,0.7234,1.7584,2.1228,-0.1083
number_of_features,135.0,-0.3254,1.0728,-2.1422,-1.1959,-0.2497,0.8858,1.4535,0.1436
proportion_of_numeric_features,135.0,0.3741,0.8547,-1.8096,0.8093,0.8093,0.8093,0.8093,-1.6421
number_of_instances,135.0,-0.8815,0.7264,-2.036,-1.4012,-1.0125,-0.5068,0.6331,0.7997
number_of_classes,135.0,0.5964,0.8702,-1.1429,-0.2521,0.3141,1.6841,1.7901,-0.0403
ratio_of_instances_to_features,135.0,-0.7366,0.7228,-2.2633,-1.2691,-0.8059,-0.2933,0.8169,0.3034
ratio_of_classes_to_features,135.0,0.731,1.3033,-1.3986,-0.4681,0.7424,2.0472,2.8191,0.0205
ratio_of_instances_to_classes,135.0,-1.0644,0.7628,-2.6186,-1.4795,-1.1582,-0.7872,0.7523,0.6328
ratio_of_min_to_max_instances_per_class,135.0,0.8365,0.847,-1.1159,0.8038,1.2475,1.4015,1.476,-1.3512
proportion_of_features_with_outliers,135.0,-0.1984,0.8941,-1.2268,-1.2268,-0.1163,0.2716,1.2718,0.2756
average_mutual_information,135.0,0.1413,0.8429,-1.4103,-0.7362,0.367,0.9307,1.4529,-0.0714
minimum_mutual_information,135.0,-0.1904,0.8441,-0.7488,-0.7488,-0.7488,0.2038,1.9771,1.3007
maximum_mutual_information,135.0,-0.0714,0.7124,-1.4259,-0.7922,-0.026,0.4815,1.3238,0.2026
equivalent_number_of_features,135.0,0.1189,0.828,-1.2893,-0.7391,0.2865,0.889,1.4999,0.0186
noise_to_signal_ratio_of_features,135.0,0.3593,1.0885,-1.3211,-0.7446,0.6007,1.238,2.1439,-0.0313
avg_learning_slope,135.0,-0.638,1.2551,-2.1168,-1.6645,-1.01,0.02,2.2655,0.827
std_learning_slope,135.0,0.5648,0.7766,-1.1357,-0.015,0.5763,1.1782,1.9982,-0.2655
avg_validation_gap,135.0,0.6736,0.8827,-1.1712,0.1196,0.7613,1.4137,1.9159,-0.4005
std_validation_gap,135.0,0.8427,0.829,-1.4571,0.333,0.7937,1.4917,2.077,-0.3307
avg_first_overfit_epoch,135.0,-0.0908,0.8297,-2.422,-0.5941,-0.0628,0.4607,1.7352,-0.3735
std_first_overfit_epoch,135.0,-0.0832,1.0096,-1.8291,-0.6642,-0.3991,0.2164,2.5292,1.1662
avg_first_stay_epoch,135.0,0.7576,0.6869,-1.1771,0.3199,0.897,1.3061,2.0654,-0.5441
std_first_stay_epoch,135.0,0.6227,0.7141,-0.9249,0.1819,0.7449,1.0869,2.0926,-0.3394
avg_percentage_weights_near_zero,135.0,-0.2852,1.0377,-2.1196,-0.8977,-0.2193,0.5229,1.4983,-0.0273
std_percentage_weights_near_zero,135.0,-0.3325,1.0981,-2.3039,-1.1494,-0.5269,0.3004,2.2708,0.5426
avg_avg_weights,135.0,0.129,0.9249,-1.4671,-0.6042,0.2504,0.9896,1.6439,-0.1898
std_avg_weights,135.0,0.0593,1.2112,-1.3587,-0.9737,-0.4909,1.2449,2.0255,0.5155
