gender,self_study_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,internet_quality,target,focus_index,burnout_level
2,-0.7799947677391298,-0.4266950314223225,-0.2049859865620158,0.1505870315431143,-1.4840637098980343,1,10,1.3670460507795772,-0.9719313762337813
2,-0.21966223764029194,-0.8993758949252134,-0.3739344593597396,0.8494316182477475,0.6087090217497317,1,3,-1.356328422847392,-0.6047892929063939
1,-2.1044171116091097,1.180419904487508,0.2576110222888949,-0.15224562269556008,0.10115948882519048,1,8,-0.20494231107071145,-0.7894133233368011
2,-0.3385206531158031,-0.6071731793052445,1.8867570099812319,0.8960212573613897,1.589044420960147,2,3,-0.7148848958854925,2.2249425195079433
2,-0.6441565786242601,0.8538403987946008,1.2230308668473167,1.0823798138159586,-1.5814019764863025,1,8,0.8711570017667787,-0.4271851875874092
1,0.8670432752786659,1.1374489168963355,0.43460466045793905,0.8261367986909264,0.2541196220353262,0,8,0.10925459650217506,-0.8406587766501838
2,-0.09231393534510164,0.5100724980652259,1.7540117813544487,-1.2936917809797943,-0.8930813770406918,2,6,0.38430236862668266,1.1508939774603282
1,1.1047601062296877,0.5186666955834601,0.11682062829079144,1.408507287611454,0.8868183548590695,1,1,0.25581289843713184,0.025599982099330162
0,-1.3912666187560438,1.094477929305163,0.5070111487998206,0.6164834226795364,0.39317428858999504,0,10,0.08014370091235498,0.2684893909545425
0,-1.96857892249424,-1.3634625609098703,0.32599492794511636,1.5715710245092018,1.1371167546574734,0,9,-0.920668812985945,1.064548898589834
2,0.17936244288463773,-0.5298254016411345,-0.8204411374680095,1.6647503027364863,-1.5814019764863025,2,8,-1.0260703315008113,0.18495228212861706
1,0.10295346150752362,0.05458002959880341,0.28174651840285525,1.2920331898273485,-0.6566884438977547,1,2,-0.4408409477468405,-0.6651606488646259
2,-0.7035857863620156,-1.767389844266886,0.7322757791967859,0.4301248662249676,-0.4063900440993508,1,10,0.3551914730368626,0.43345763107296714
2,-0.34701053993548264,-0.7274919445605257,1.5689729778140848,-0.38519381826377114,0.32364695531266063,2,7,0.17048785963938293,0.34219860462447715
2,-1.0771408064279073,0.1491162022993819,-0.015924600335991242,1.5016865658387384,-1.511874643208968,0,6,0.16446491572424787,-1.2365825529344028
2,0.518957915671812,-1.6556652765298392,0.1650916205187126,0.523304144452252,1.1232112880020064,0,4,-0.7801334549661237,-0.25589901486870475
2,-0.7715048809194504,0.8452462012763666,-0.5428829321574634,0.08070257287265098,0.3166942219849272,2,4,0.28592761801280797,0.8736069355591468
