model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.22666666666666666, 0.23666666666666666, 0.2733333333333333, 0.23, 0.25333333333333335]",[0.4888888888888889],"[77.33333333333333, 76.33333333333333, 72.66666666666667, 77.0, 74.66666666666667]","[0.7670267321331151, 0.7594412024756853, 0.6116344916344917, 0.7694474453336597, 0.6383715012722646]",[51.11111111111111],0.5845679012345678,50.0,3.0,16.0,66.0
Decision tree,batch normalisation,"[0.016666666666666666, 0.01, 0.016666666666666666, 0.013333333333333334, 0.006666666666666667]",[0.45925925925925926],"[96.66666666666667, 99.0, 96.66666666666667, 98.33333333333333, 99.33333333333333]","[0.9829487440225696, 0.9899310717664548, 0.9829487440225696, 0.9864963973237262, 0.9933009410172826]",[54.074074074074076],0.5660035749293664,39.0,10.0,23.0,63.0
Decision tree,dropout,"[0.15, 0.16333333333333333, 0.17, 0.17, 0.16]",[0.2222222222222222],"[85.0, 83.66666666666667, 83.0, 83.0, 84.0]","[0.7810810810810812, 0.7622625529340593, 0.752896174863388, 0.752896174863388, 0.7669565217391304]",[77.77777777777779],0.6805555555555556,0.0,0.0,30.0,105.0
Decision tree,layer normalisation,"[0.15666666666666668, 0.18, 0.18, 0.18, 0.17666666666666667]",[0.4888888888888889],"[81.33333333333333, 82.0, 79.66666666666666, 80.0, 82.33333333333334]","[0.8306875565280817, 0.805375, 0.8171621621621622, 0.8046126785337367, 0.8172966945440062]",[51.11111111111111],0.38580246913580246,4.0,3.0,62.0,66.0
Decision tree,prune,"[0.2, 0.19333333333333333, 0.18333333333333332, 0.18333333333333332, 0.18]",[0.3111111111111111],"[77.33333333333333, 79.0, 80.66666666666666, 81.66666666666667, 79.66666666666666]","[0.7952044297226479, 0.8007490938380991, 0.8129262022697348, 0.8125229503007281, 0.8152072072072072]",[67.4074074074074],0.6570618689530772,11.0,11.0,29.0,84.0
Decision tree,weight normalisation,"[0.19, 0.19333333333333333, 0.18666666666666668, 0.20333333333333334, 0.19666666666666666]",[0.5037037037037037],"[81.0, 80.33333333333333, 81.33333333333333, 78.33333333333333, 80.33333333333333]","[0.8061155555555556, 0.8074177777777778, 0.8135740160864492, 0.7868684271338837, 0.8027929567468766]",[49.629629629629626],0.5517115454842492,50.0,7.0,18.0,60.0
Decision tree,weight decay,"[0.2633333333333333, 0.24, 0.25666666666666665, 0.26666666666666666, 0.27]",[0.37037037037037035],"[73.66666666666667, 76.0, 69.66666666666667, 70.0, 71.33333333333334]","[0.7197146584429294, 0.755322434634432, 0.7195584140361253, 0.716725797354584, 0.7062328353174324]",[62.96296296296296],0.6109374680803253,19.0,12.0,31.0,73.0
Decision tree,weight perturbation,"[0.19333333333333333, 0.22, 0.18666666666666668, 0.23666666666666666, 0.22666666666666666]",[0.42962962962962964],"[80.33333333333333, 77.0, 73.66666666666667, 76.33333333333333, 77.33333333333333]","[0.8094369029663148, 0.7746288288288289, 0.77757150997151, 0.7638199306983365, 0.7771863364092603]",[57.03703703703704],0.6288237776572014,46.0,9.0,12.0,68.0
KNN,baseline,"[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0, 0.0033333333333333335]",[0.23703703703703705],"[99.66666666666667, 99.66666666666667, 99.66666666666667, 100.0, 99.66666666666667]","[0.996658835417456, 0.9966591764758405, 0.9966591764758405, 1.0, 0.9966596592968467]",[76.29629629629629],0.7573915796138019,15.0,2.0,17.0,101.0
KNN,batch normalisation,"[0.013333333333333334, 0.013333333333333334, 0.023333333333333334, 0.01, 0.016666666666666666]",[0.4444444444444444],"[98.66666666666667, 98.66666666666667, 97.66666666666667, 99.0, 98.33333333333333]","[0.9867962359308691, 0.9865370974024643, 0.976995108315863, 0.9899295187571049, 0.9835205881039897]",[55.55555555555556],0.5851851851851851,42.0,15.0,18.0,60.0
