column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,92.4444,88.8624,32.0,32.0,64.0,64.0,256.0,1.2627
learning_rate,135.0,0.0017,0.0023,0.0005,0.0005,0.0005,0.0005,0.0068,1.4599
number_of_epochs,135.0,142.2222,69.8257,60.0,100.0,120.0,160.0,300.0,1.0592
number_of_hidden_layers,135.0,3.4444,1.0697,2.0,3.0,3.0,4.0,5.0,0.1467
avg_number_of_neurons,135.0,107.8815,35.1099,48.0,85.3333,115.2,136.0,154.6667,-0.2847
min_number_of_neurons,135.0,32.0,25.1087,16.0,16.0,16.0,32.0,96.0,1.764
max_number_of_neurons,135.0,186.6667,67.7132,80.0,144.0,208.0,256.0,256.0,-0.5287
total_number_of_neurons,135.0,376.8889,186.5358,128.0,256.0,352.0,464.0,752.0,0.642
depth_to_width_ratio,135.0,0.0362,0.0189,0.0147,0.0256,0.0332,0.04,0.0833,1.5033
batch_size_to_dataset_ratio,135.0,0.0834,0.1623,0.0039,0.0077,0.0239,0.1153,1.5515,6.225
number_of_features,135.0,15.8667,5.193,4.0,12.0,17.0,19.0,24.0,-0.3674
proportion_of_numeric_features,135.0,0.7616,0.3269,0.0,0.7368,0.8889,1.0,1.0,-1.406
number_of_instances,135.0,3173.7407,3078.6585,165.0,1009.5,2010.0,4500.5,12205.0,1.6108
number_of_classes,135.0,5.7111,2.919,2.0,3.0,5.0,9.0,10.0,0.2941
ratio_of_instances_to_features,135.0,221.3826,235.3078,9.1667,67.4167,136.0,284.1889,1356.1111,2.2679
ratio_of_classes_to_features,135.0,0.448,0.4316,0.1111,0.1791,0.3636,0.5263,2.5,2.9616
ratio_of_instances_to_classes,135.0,897.0349,1473.6765,23.5714,204.675,319.9,842.6667,6102.5,2.7663
ratio_of_min_to_max_instances_per_class,135.0,0.5648,0.4176,0.0101,0.0884,0.8793,0.9305,0.9954,-0.2917
proportion_of_features_with_outliers,135.0,0.4925,0.3716,0.0,0.0458,0.5263,0.8235,1.0,-0.1406
average_mutual_information,135.0,0.1931,0.2056,0.0123,0.0648,0.1309,0.2077,0.8033,1.8221
minimum_mutual_information,135.0,0.0082,0.0174,0.0,0.0,0.0,0.0123,0.105,3.4251
maximum_mutual_information,135.0,0.4858,0.3386,0.0395,0.257,0.3531,0.6599,1.303,1.0479
equivalent_number_of_features,135.0,1.2421,0.3075,1.0124,1.0669,1.1399,1.2308,2.2329,2.1176
noise_to_signal_ratio_of_features,135.0,0.2407,1.5048,-0.9069,-0.6774,-0.1404,0.5494,11.38,3.8005
avg_learning_slope,135.0,-0.003,0.0018,-0.0072,-0.0042,-0.0028,-0.0016,-0.0,-0.6096
std_learning_slope,135.0,0.0002,0.0001,0.0,0.0001,0.0001,0.0002,0.0004,0.7159
avg_validation_gap,135.0,0.1112,0.0966,-0.0261,0.0271,0.0847,0.1704,0.4108,0.8418
std_validation_gap,135.0,0.0164,0.0098,0.0,0.0084,0.0156,0.022,0.0436,0.6369
avg_first_overfit_epoch,135.0,34.8993,34.1237,6.0,15.0,20.9,36.5,164.3,2.1887
std_first_overfit_epoch,135.0,11.3776,8.102,2.2825,6.7021,9.2461,13.0774,56.1004,2.9342
avg_first_stay_epoch,135.0,9.2615,7.6007,2.0,3.95,6.3,13.0,33.6,1.4164
std_first_stay_epoch,135.0,2.2038,2.5447,0.0,0.6817,1.4,2.5298,12.8125,2.394
avg_percentage_weights_near_zero,135.0,33.6705,14.4143,8.9484,18.1369,34.1823,46.5445,59.0363,-0.0558
std_percentage_weights_near_zero,135.0,1.1567,1.3454,0.1874,0.4845,0.7435,1.0601,7.1752,2.8173
avg_avg_weights,135.0,0.1191,0.0701,0.0474,0.066,0.0949,0.1586,0.3759,1.6503
std_avg_weights,135.0,0.0046,0.005,0.0001,0.0011,0.0027,0.0062,0.0202,1.5847
