area code,international plan,voice mail plan,number vmail messages,total day calls,total eve minutes,total eve calls,total eve charge,total night minutes,total intl minutes,total intl calls,target
1,0,1,1.2731451272966834,0.5028237579830703,-0.06403164963806283,-0.060077137581151324,-0.06384906711767693,0.876998818941238,-0.09480936779139987,-0.5842357749619053,1
1,0,1,1.3469728972503323,1.1584221024939234,-0.10162098347161445,0.1416932657140668,-0.10108942968002482,1.0689915874362728,1.2452267725867114,-0.5842357749619053,1
1,0,0,-0.5725491215445375,0.7045463255248713,-1.5715617749626025,0.4947914714806985,-1.572083750892765,-0.7480121391455997,0.7019688778388283,0.22991664276650228,1
0,1,0,-0.5725491215445375,-1.463971275549489,-2.7447446677676575,-0.6149457466430012,-2.745155171606722,-0.06910987529202417,-1.326193929219935,1.0440690604949099,1
1,1,0,-0.5725491215445375,0.6541156836394211,-1.0354191713366834,1.1001026813663528,-1.034426016398868,-0.26704056446216273,-0.058592174808207796,-0.5842357749619053,1
2,1,0,-0.5725491215445375,-0.10234394464233247,0.3949539003295133,0.04080806406645774,0.39467289693123064,0.06944160712707285,-1.4348455081695115,0.6369928516307061,1
2,0,1,1.1993173573430345,-0.6066503634968349,2.925309583124902,0.39390626983308946,2.924690028510738,0.2416413067050932,-1.0002391923712048,1.0440690604949099,1
1,1,0,-0.5725491215445375,-1.060526140465887,-1.9296496393769618,-0.312290141700174,-1.930522240555363,0.22580685157148245,-1.1451079643039739,0.6369928516307061,1
0,0,0,-0.5725491215445375,-0.15277458652778272,2.9866395488533284,-1.0184865532334375,2.9875331403347,0.3049791272395379,-0.5656328765728987,-0.1771595660977015,1
1,1,1,2.1590783667404696,-0.8083729310386357,0.42265130420686714,0.545234072304503,0.42260316885299176,2.49409254946127,0.3397969480069063,0.22991664276650228,1
1,0,0,-0.5725491215445375,1.8644510888902266,0.5512463936374381,-0.8671587507620239,0.5506169151610627,0.16642764482044087,0.8830548427547893,0.6369928516307061,2
1,0,0,-0.5725491215445375,1.3601446700357243,-0.736682886659511,2.4116103027852707,-0.7365031159000851,-0.08692363731733675,-0.4207641046401298,0.22991664276650228,1
0,0,0,-0.5725491215445375,-0.20320522841323294,-1.8940386915346497,-1.472469960647678,-1.8932818779930152,-1.1735631208613977,0.3397969480069063,-0.9913119838261091,1
2,0,0,-0.5725491215445375,-0.6066503634968349,0.9291181179641926,-1.27069955735246,0.9300031087649812,-0.1601579923102878,0.738186070822021,0.22991664276650228,1
1,0,0,-0.5725491215445375,-1.514401917434939,2.1082361687429665,-1.2202569565286556,2.1077295747992317,0.051627845101760265,1.0279236146875583,0.6369928516307061,1
1,0,0,-0.5725491215445375,-1.6656938430912898,2.3179450838143594,-0.16096233922876038,2.317206614212439,-0.7875982769796275,-1.760800245018241,1.8582214782233173,2
0,0,1,1.420800667203981,1.9653123726611272,1.5879206530469636,-0.5140605449953921,1.5886920215865084,-2.198844090762716,1.2814439655699041,-0.1771595660977015,1
