dataset_name,seed,subset_type,file_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features
Agaricus Lepiota,2106330360,features,Data\Input\Subsets\Agaricus Lepiota\2106330360_20260527_155248.csv,17,0.6470588235294118,8124,2,477.88235294117646,0.1176470588235294,4062.0,0.9306083650190116,0.2941176470588235,0.1585583328856407,0.0052102297135727,0.6276405543939957,1.171820277889809,-0.7430891341924419
Agaricus Lepiota,1879754862,features,Data\Input\Subsets\Agaricus Lepiota\1879754862_20260527_155248.csv,11,0.6363636363636364,8124,2,738.5454545454545,0.1818181818181818,4062.0,0.9306083650190116,0.2727272727272727,0.1694614725873929,0.0052102297135727,0.6288599774832568,1.1846667040109655,-0.6285017230107245
Agaricus Lepiota,633024616,features,Data\Input\Subsets\Agaricus Lepiota\633024616_20260527_155249.csv,12,0.6666666666666666,8124,2,677.0,0.1666666666666666,4062.0,0.9306083650190116,0.4166666666666667,0.169765817576929,0.0052102297135727,0.6296933985296416,1.1850273062575616,-0.6600704106254612
Agaricus Lepiota,489066277,features,Data\Input\Subsets\Agaricus Lepiota\489066277_20260527_155249.csv,13,0.6923076923076923,8124,2,624.9230769230769,0.1538461538461538,4062.0,0.9306083650190116,0.3846153846153846,0.1838613964525743,0.0052102297135727,0.6295543313187866,1.201849230984554,-0.710274608496387
Agaricus Lepiota,2807801486,features,Data\Input\Subsets\Agaricus Lepiota\2807801486_20260527_155250.csv,18,0.6111111111111112,8124,2,451.3333333333333,0.1111111111111111,4062.0,0.9306083650190116,0.2777777777777778,0.1489396570980848,0.0098184487013197,0.6276405543939957,1.160602952945859,-0.7416921466355814
Agaricus Lepiota,3412661653,features,Data\Input\Subsets\Agaricus Lepiota\3412661653_20260527_155250.csv,18,0.5555555555555556,8124,2,451.3333333333333,0.1111111111111111,4062.0,0.9306083650190116,0.2222222222222222,0.1574097112458741,0.0052102297135727,0.6289489142322715,1.17047507247463,-0.7555914257047005
Agaricus Lepiota,4133970849,features,Data\Input\Subsets\Agaricus Lepiota\4133970849_20260527_155250.csv,19,0.5263157894736842,8124,2,427.578947368421,0.1052631578947368,4062.0,0.9306083650190116,0.2631578947368421,0.140659739031787,0.0052102297135727,0.6289489142322715,1.151032929766186,-0.7408823139361018
Agaricus Lepiota,1440866665,instances,Data\Input\Subsets\Agaricus Lepiota\1440866665_20260527_155251.csv,21,0.5714285714285714,378,2,18.0,0.0952380952380952,189.0,0.9285714285714286,0.2857142857142857,0.1439402985563742,0.0035201641805785,0.6088324546802295,1.1548151623345284,-0.7709165471292914
Agaricus Lepiota,1639175940,instances,Data\Input\Subsets\Agaricus Lepiota\1639175940_20260527_155251.csv,21,0.5714285714285714,1238,2,58.95238095238095,0.0952380952380952,619.0,0.9313572542901716,0.2857142857142857,0.1428273258002982,0.0,0.6108496912065176,1.1535305994948684,-0.7691133230595225
Agaricus Lepiota,1504690319,instances,Data\Input\Subsets\Agaricus Lepiota\1504690319_20260527_155251.csv,21,0.5714285714285714,2877,2,137.0,0.0952380952380952,1438.5,0.9308724832214764,0.2857142857142857,0.1416027619257931,0.0059378794378545,0.6202494968000511,1.1521188921339198,-0.7671197625360084
Agaricus Lepiota,1213492158,instances,Data\Input\Subsets\Agaricus Lepiota\1213492158_20260527_155251.csv,21,0.5714285714285714,3490,2,166.1904761904762,0.0952380952380952,1745.0,0.9303097345132744,0.238095238095238,0.1435155429004926,0.0042412723079315,0.6285261608214827,1.1543247522224365,-0.7702272035607037
Agaricus Lepiota,3161263511,instances,Data\Input\Subsets\Agaricus Lepiota\3161263511_20260527_155251.csv,21,0.5714285714285714,4176,2,198.8571428571429,0.0952380952380952,2088.0,0.9306518723994452,0.238095238095238,0.1432405916543808,0.004623021660677,0.629403500575689,1.1540074128218265,-0.769783954100581
Agaricus Lepiota,3885631988,instances,Data\Input\Subsets\Agaricus Lepiota\3885631988_20260527_155252.csv,21,0.5714285714285714,5402,2,257.23809523809524,0.0952380952380952,2701.0,0.9306647605432452,0.2857142857142857,0.1435650819144879,0.003683371201015,0.6263258252228076,1.1543819377489375,-0.7703042131454965
Agaricus Lepiota,299880278,instances,Data\Input\Subsets\Agaricus Lepiota\299880278_20260527_155252.csv,21,0.5714285714285714,6802,2,323.9047619047619,0.0952380952380952,3401.0,0.9307408458699972,0.2857142857142857,0.1461763831140609,0.0050816978915003,0.62815710260043,1.1574003159198494,-0.7744070310495692
Agaricus Lepiota,1284633930,instances,Data\Input\Subsets\Agaricus Lepiota\1284633930_20260527_155253.csv,21,0.5714285714285714,7311,2,348.1428571428572,0.0952380952380952,3655.5,0.9305518880380248,0.2857142857142857,0.1446741717484795,0.0049970993038157,0.6243751402975449,1.1556629612744094,-0.7720658058796752
