dataset_name,seed,subset_type,file_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features
Agaricus Lepiota,3817340111,features,Data\Input\Subsets\Agaricus Lepiota\3817340111_20260613_164654.csv,20,0.55,8124,2,406.2,0.1,4062.0,0.9306083650190116,0.3,0.118802499479047,0.0052102297135727,0.3299514488328341,1.1261474816091084,-0.708549441745022
Agaricus Lepiota,54145196,features,Data\Input\Subsets\Agaricus Lepiota\54145196_20260613_164654.csv,16,0.5,8124,2,507.75,0.125,4062.0,0.9306083650190116,0.3125,0.124144697722434,0.0052102297135727,0.3375655270270099,1.1321796829687916,-0.6513639383065859
Agaricus Lepiota,2919981755,features,Data\Input\Subsets\Agaricus Lepiota\2919981755_20260613_164655.csv,13,0.6153846153846154,8124,2,624.9230769230769,0.1538461538461538,4062.0,0.9306083650190116,0.3076923076923077,0.1171489246727399,0.0052102297135727,0.3375655270270099,1.124286851275017,-0.5452854969140095
Agaricus Lepiota,1992681765,features,Data\Input\Subsets\Agaricus Lepiota\1992681765_20260613_164655.csv,13,0.6153846153846154,8124,2,624.9230769230769,0.1538461538461538,4062.0,0.9306083650190116,0.2307692307692307,0.1503021538643417,0.0052102297135727,0.6277127904646411,1.162185348475756,-0.645585151642588
Agaricus Lepiota,2757520500,features,Data\Input\Subsets\Agaricus Lepiota\2757520500_20260613_164656.csv,16,0.625,8124,2,507.75,0.125,4062.0,0.9306083650190116,0.3125,0.1552805108923203,0.0052102297135727,0.6314991666255025,1.167985547825393,-0.7212701178959781
Agaricus Lepiota,27004362,features,Data\Input\Subsets\Agaricus Lepiota\27004362_20260613_164656.csv,11,0.6363636363636364,8124,2,738.5454545454545,0.1818181818181818,4062.0,0.9306083650190116,0.2727272727272727,0.1396041589045273,0.0052102297135727,0.3423125116826255,1.1498185633230047,-0.5490489282247291
Agaricus Lepiota,4148820815,features,Data\Input\Subsets\Agaricus Lepiota\4148820815_20260613_164656.csv,14,0.5,8124,2,580.2857142857143,0.1428571428571428,4062.0,0.9306083650190116,0.2142857142857142,0.1641905950141016,0.0052102297135727,0.6288599774832568,1.178438898268259,-0.6987381403363989
Agaricus Lepiota,701227204,instances,Data\Input\Subsets\Agaricus Lepiota\701227204_20260613_164656.csv,21,0.5714285714285714,622,2,29.61904761904762,0.0952380952380952,311.0,0.9316770186335404,0.2857142857142857,0.1479242091600594,0.0062634123732495,0.6016832625574191,1.1594250192368194,-0.7770668076716786
Agaricus Lepiota,3599497524,instances,Data\Input\Subsets\Agaricus Lepiota\3599497524_20260613_164657.csv,21,0.5714285714285714,1846,2,87.9047619047619,0.0952380952380952,923.0,0.9309623430962344,0.2857142857142857,0.1454923947919507,0.0059215041758118,0.6225847771233188,1.156608938297133,-0.773345080847592
Agaricus Lepiota,3831601175,instances,Data\Input\Subsets\Agaricus Lepiota\3831601175_20260613_164657.csv,21,0.5714285714285714,2770,2,131.9047619047619,0.0952380952380952,1385.0,0.9303135888501742,0.2857142857142857,0.1436547816840639,0.0046626139509988,0.6315268563738516,1.154485490187002,-0.7704498882922993
