column name,count,mean,std,min,25%,50%,75%,max,skewness
depth_to_width_ratio,135.0,0.0872,0.994,-1.3359,-0.7148,0.3171,0.6881,1.9254,0.1746
batch_size_to_dataset_ratio,135.0,-0.1967,0.8015,-1.0114,-0.9557,-0.5096,0.3552,1.9475,0.6448
number_of_features,135.0,0.4245,0.8903,-1.5171,-0.2385,0.4922,1.0402,1.7708,-0.2153
proportion_of_numeric_features,135.0,-0.2859,0.9792,-1.8186,-0.9852,-0.215,0.6809,0.6809,-0.3561
number_of_instances,135.0,0.0858,0.7776,-1.5851,-0.4827,-0.0168,0.7614,1.5642,0.1508
number_of_classes,135.0,0.5841,1.0056,-1.1977,-0.2532,0.7375,1.5818,1.8039,-0.5023
ratio_of_instances_to_features,135.0,-0.0636,0.7814,-2.0129,-0.5952,-0.0734,0.5171,1.7106,-0.0217
ratio_of_classes_to_features,135.0,0.1361,1.0619,-1.4259,-0.7921,0.245,0.9263,2.1798,0.1826
ratio_of_instances_to_classes,135.0,-0.1309,0.8679,-1.9841,-0.7526,-0.27,0.4385,1.8224,0.514
ratio_of_min_to_max_instances_per_class,135.0,0.2094,1.1305,-1.287,-1.0802,1.0218,1.2525,1.3289,-0.2897
proportion_of_features_with_outliers,135.0,0.1744,0.8582,-1.1232,-0.5384,0.1804,0.9166,1.3536,-0.2517
average_mutual_information,135.0,0.6957,1.0457,-1.3316,-0.0575,0.9668,1.559,2.0469,-0.5992
minimum_mutual_information,135.0,-0.3463,0.6886,-0.766,-0.766,-0.766,0.1044,1.9135,1.5496
maximum_mutual_information,135.0,0.8118,0.7686,-1.3115,0.2815,0.8395,1.5088,1.83,-0.4827
equivalent_number_of_features,135.0,0.7111,1.0639,-1.2471,-0.1169,0.9367,1.6193,2.1323,-0.4803
noise_to_signal_ratio_of_features,135.0,-0.4656,0.8592,-1.7711,-1.2297,-0.4712,0.1191,1.6399,0.3377
avg_learning_slope,135.0,-0.8125,0.7903,-1.9281,-1.449,-0.9837,-0.3353,1.3011,0.8192
std_learning_slope,135.0,-0.0574,0.8026,-1.4857,-0.6504,-0.147,0.5707,1.9661,0.2347
avg_validation_gap,135.0,0.2532,0.9262,-2.0373,-0.563,0.2138,1.139,1.8285,0.0161
std_validation_gap,135.0,0.0457,0.6443,-1.3701,-0.4651,0.0574,0.5035,1.3223,-0.0491
avg_first_overfit_epoch,135.0,0.2022,0.8232,-2.1362,-0.4008,0.0386,0.7237,2.0124,0.4859
std_first_overfit_epoch,135.0,-0.0261,0.6119,-1.5586,-0.453,-0.0922,0.2972,1.7586,0.7783
avg_first_stay_epoch,135.0,0.7018,1.1067,-1.4301,-0.1416,0.8808,1.5668,2.4861,-0.3421
std_first_stay_epoch,135.0,0.4191,1.08,-1.6577,-0.4523,0.4792,1.0706,2.8547,0.2036
avg_percentage_weights_near_zero,135.0,0.46,0.6955,-0.7968,-0.2149,0.5491,1.0873,1.5254,-0.2882
std_percentage_weights_near_zero,135.0,-0.2489,1.1182,-2.2712,-1.0263,-0.4254,0.2341,2.2132,0.5563
avg_avg_weights,135.0,-0.5135,0.6558,-1.491,-1.1198,-0.6228,0.0476,0.9977,0.4596
std_avg_weights,135.0,-0.5149,0.8296,-1.329,-1.1023,-0.7951,-0.2294,1.8946,1.5313
