model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,0.188,0.2074074074074074,81.2,0.29694809700995134,79.25925925925927,0.0,0.0,107.0,0.0,28.0
Decision tree,batch normalisation,0.27066666666666667,0.2518518518518518,71.6,0.2765575369426143,74.81481481481481,0.0,0.0,101.0,14.0,20.0
Decision tree,dropout,0.16599999999999998,0.17037037037037037,83.4,0.33606676624220483,82.96296296296296,0.30303030303030304,5.0,107.0,8.0,15.0
Decision tree,layer normalisation,0.24733333333333335,0.5407407407407407,75.26666666666668,0.5025024509841802,45.925925925925924,0.35398230088495575,20.0,42.0,40.0,33.0
Decision tree,prune,0.14866666666666667,0.5037037037037037,83.46666666666667,0.7967188636895648,49.629629629629626,0.19047619047619047,8.0,59.0,40.0,28.0
Decision tree,weight normalisation,0.13466666666666666,0.42962962962962964,85.86666666666667,0.7998905688901129,57.03703703703704,0.35555555555555557,16.0,61.0,32.0,26.0
Decision tree,weight decay,0.11200000000000002,0.31851851851851853,86.33333333333334,0.8377384018643271,68.14814814814815,0.410958904109589,15.0,77.0,20.0,23.0
Decision tree,weight perturbation,0.15666666666666665,0.4074074074074074,82.26666666666668,0.5650741175554008,58.51851851851851,0.12698412698412698,4.0,76.0,24.0,31.0
KNN,baseline,0.002666666666666667,0.362962962962963,99.73333333333335,0.9941727172735888,63.70370370370371,0.26865671641791045,9.0,77.0,30.0,19.0
KNN,batch normalisation,0.015333333333333334,0.3111111111111111,98.46666666666667,0.9718462425260024,68.88888888888889,0.25,7.0,86.0,29.0,13.0
KNN,dropout,0.14033333333333334,0.1814814814814815,83.4,0.4115770519733701,79.25925925925927,0.35294117647058826,6.0,107.0,8.0,14.0
KNN,layer normalisation,0.002666666666666667,0.43703703703703706,99.73333333333335,0.9950427865777616,56.2962962962963,0.09230769230769231,3.0,73.0,9.0,50.0
KNN,prune,0.1813333333333333,0.31851851851851853,81.86666666666667,0.7517206391501137,68.14814814814815,0.45569620253164556,18.0,74.0,25.0,18.0
KNN,weight normalisation,0.22200000000000003,0.5555555555555556,77.8,0.6516221068772612,44.44444444444444,0.336283185840708,19.0,41.0,52.0,23.0
KNN,weight decay,0.018666666666666668,0.25925925925925924,97.73333333333333,0.9736689140968465,74.07407407407408,0.38596491228070173,11.0,89.0,8.0,27.0
