lenght,area,eccen,p_and,mean_tr,blackpix,blackand,target
-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,-0.7390357722771455,-0.055429165798810576,-0.27892243835267694,-0.3844487181359507,1
-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,0.5763794889291826,-0.03715417873870258,-0.2757912019833619,-0.37704607816885144,1
-0.6310517776172657,-0.22657626599843236,-0.35205851398832355,-0.24575504932477238,-0.025210683258474528,-0.26561468378308806,-0.35430939826990365,1
-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,-0.23401027020685872,-0.026649658617538145,-0.2797052474450057,-0.38286243814300086,1
-0.7614405556158339,-0.24502986692267864,-0.4330784774248578,0.9463400311434629,-0.056580346086061474,-0.2828364838143207,-0.3876212781218504,1
-0.7179776296163112,-0.24051898669675179,-0.39742969351278273,1.2751938464450454,-0.0538462929038406,-0.2726599656140469,-0.3754597981759016,1
-0.7527479704159293,-0.24379962686106224,-0.4276663438672973,-0.43954390477034777,-0.05298290768840242,-0.28205367472199194,-0.3876212781218504,1
-0.7353628000161202,-0.2425693867994458,-0.4103928876626282,-2.6416899893791568,0.0549402442413692,-0.28205367472199194,-0.39132259810540004,1
-0.7440553852160248,-0.24359458685079283,-0.41687448473755095,-1.5435531418542305,0.0549402442413692,-0.28205367472199194,-0.3897363181124502,1
-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.7701683443747586,0.03335561385541488,-0.27657401107569063,-0.3796898781571012,1
-0.7701331408157385,-0.24667018700483387,-0.4363192759623192,1.2751938464450454,0.026160737060096768,-0.28361929290664945,-0.39132259810540004,1
-0.7614405556158339,-0.24564498695348685,-0.42983767888739643,-0.292734165796427,0.026160737060096768,-0.28361929290664945,-0.3907938381077501,1
-0.7353628000161202,-0.2425693867994458,-0.4103928876626282,-0.292734165796427,0.09810950501327785,-0.2797052474450057,-0.38497747813360067,1
-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.4354421395142193,-0.01700852371181188,-0.27813962926034813,-0.38074739815240105,1
-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,0.5763794889291826,-0.027800838904789044,-0.27657401107569063,-0.37704607816885144,1
-0.7179776296163112,-0.24051898669675179,-0.39742969351278273,-1.807810672007288,0.1268890121945503,-0.27813962926034813,-0.3865637581265505,1
-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,0.9933191476151175,-0.027800838904789044,-0.27657401107569063,-0.3754597981759016,1
-0.6223591924173612,-0.2292417861319346,-0.3261321256886326,-2.2482398889290494,-0.009813646916493774,-0.2726599656140469,-0.3765173181712015,1
-0.7440553852160248,-0.24359458685079283,-0.41687448473755095,-1.3086575594959573,-0.01700852371181188,-0.28205367472199194,-0.38920755811480023,1
-0.7353628000161202,-0.24379962686106224,-0.4006704920502441,-1.6610009330333673,0.0549402442413692,-0.28205367472199194,-0.39026507811010014,1
-0.7353628000161202,-0.24379962686106224,-0.4006704920502441,0.053736818182025976,-0.009813646916493774,-0.2812708656296632,-0.3865637581265505,1
-0.6310517776172657,-0.23395770636813087,-0.30344653592640297,-1.496574025382576,-0.05197562493705789,-0.2757912019833619,-0.3765173181712015,1
-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,-1.37912623420344,0.01896586026477866,-0.27813962926034813,-0.3844487181359507,1
-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.6057414367239667,-0.05298290768840242,-0.27813962926034813,-0.3802186381547511,1
-0.7527479704159293,-0.24461978690213984,-0.42335608181247364,0.10071593465368062,0.0549402442413692,-0.28205367472199194,-0.38815003811950033,1
-0.5702036812179339,-0.18208258376997186,-0.3869619142367825,-2.917692298650128,0.06731543232931633,-0.2303882746282941,-0.3474355183004543,1
-0.5702036812179339,-0.18208258376997186,-0.3869619142367825,-0.6039708124211384,-0.0026187701211756653,-0.2006415291198014,-0.279754238601261,1
-0.6484369480170747,-0.22575610595735474,-0.37519781554579773,-0.821249226102541,-0.05197562493705789,-0.2617006383214443,-0.35853947825110327,1
0.10781796437462068,-0.10088673970328818,0.0275686266899014,-0.5393745272726139,-0.06363132534547322,-0.12314342897925465,-0.13328771925222538,1
-0.7092850444164066,-0.228421626090857,-0.4227727380757306,-0.9210798486048072,-0.04003212945682983,-0.2632662565061018,-0.36382707822760274,1
-0.7179776296163112,-0.23067706620382042,-0.4257218647448205,1.2751938464450454,-0.015569548352748265,-0.24995850193651298,-0.3500793182887041,1
-0.7179776296163112,-0.23067706620382042,-0.4257218647448205,-1.7960658928893742,0.42907383759791085,-0.2617006383214443,-0.3744022781806017,1
-0.7179776296163112,-0.23067706620382042,-0.4257218647448205,1.2751938464450454,-0.004201643016145654,-0.24839288375185548,-0.3500793182887041,1
-0.4832778292188884,-0.16978018315380766,-0.3461602606501438,-0.7390357722771455,-0.0007481021543929585,-0.17480882907295248,-0.26283391867646266,1
0.19474381637366614,-0.1792120236262002,0.7714291149934098,-1.8254278406841584,0.11106028324485046,-0.18107130181158254,-0.3120085984579078,2
-0.2746557844211793,-0.21242850528984353,0.18808537825036312,-1.807810672007288,1.1197820099484492,-0.22412580188966405,-0.3521943582793039,2
