height,eccen,p_black,p_and,blackand,wb_trans,target
-0.2900081446947646,-0.4039112905877055,0.22279607994271486,-0.7390357722771455,-0.3844487181359507,-0.6071274731931563,1
-0.23751771914836384,-0.41146235117999047,0.39514527533671634,0.5763794889291826,-0.37704607816885144,-0.6130825868566789,1
-0.23751771914836384,-0.35205851398832355,-0.4487714745235678,-0.24575504932477238,-0.35430939826990365,-0.6011723595296335,1
-0.2900081446947646,-0.4039112905877055,0.050446884548713024,-0.23401027020685872,-0.38286243814300086,-0.6249928141837243,1
-0.23751771914836384,-0.4330784774248578,0.8171036502668585,0.9463400311434629,-0.3876212781218504,-0.6190377005202016,1
-0.2900081446947646,-0.39742969351278273,1.1142574354289305,1.2751938464450454,-0.3754597981759016,-0.5892621322025883,1
-0.23751771914836384,-0.4276663438672973,0.3238283668978191,-0.43954390477034777,-0.3876212781218504,-0.6190377005202016,1
-0.2900081446947646,-0.4103928876626282,-0.17538999217446147,-2.6416899893791568,-0.39132259810540004,-0.6369030415107696,1
-0.2900081446947646,-0.41687448473755095,0.22279607994271486,-1.5435531418542305,-0.3897363181124502,-0.6369030415107696,1
-0.2900081446947646,-0.4039112905877055,0.7339005904214783,0.7701683443747586,-0.3796898781571012,-0.630947927847247,1
-0.2900081446947646,-0.4363192759623192,2.6000263612392898,1.2751938464450454,-0.39132259810540004,-0.6369030415107696,1
-0.2900081446947646,-0.42983767888739643,1.0132251484738255,-0.292734165796427,-0.3907938381077501,-0.6369030415107696,1
-0.2900081446947646,-0.4103928876626282,0.4189175781496821,-0.292734165796427,-0.38497747813360067,-0.6369030415107696,1
-0.2900081446947646,-0.4039112905877055,0.39514527533671634,0.4354421395142193,-0.38074739815240105,-0.6249928141837243,1
-0.23751771914836384,-0.41146235117999047,0.2525114584589221,0.5763794889291826,-0.37704607816885144,-0.6190377005202016,1
-0.2900081446947646,-0.39742969351278273,0.07421918736167879,-1.807810672007288,-0.3865637581265505,-0.6369030415107696,1
-0.23751771914836384,-0.41146235117999047,0.2525114584589221,0.9933191476151175,-0.3754597981759016,-0.6190377005202016,1
-0.2900081446947646,-0.3261321256886326,-0.7756406382018467,-2.2482398889290494,-0.3765173181712015,-0.6190377005202016,1
-0.2900081446947646,-0.41687448473755095,0.22279607994271486,-1.3086575594959573,-0.38920755811480023,-0.630947927847247,1
-0.3424985702411653,-0.4006704920502441,0.3238283668978191,-1.6610009330333673,-0.39026507811010014,-0.6369030415107696,1
-0.3424985702411653,-0.4006704920502441,0.5674944707307182,0.053736818182025976,-0.3865637581265505,-0.630947927847247,1
-0.3424985702411653,-0.30344653592640297,-0.6686652755435009,-1.496574025382576,-0.3765173181712015,-0.6011723595296335,1
-0.23751771914836384,-0.41146235117999047,-0.03275617529666717,-1.37912623420344,-0.3844487181359507,-0.630947927847247,1
-0.2900081446947646,-0.4039112905877055,0.39514527533671634,0.6057414367239667,-0.3802186381547511,-0.6071274731931563,1
-0.2900081446947646,-0.42335608181247364,0.8171036502668585,0.10071593465368062,-0.38815003811950033,-0.6369030415107696,1
0.12991525967644135,-0.3869619142367825,-0.7637544867953637,-2.917692298650128,-0.3474355183004543,-0.6011723595296335,1
0.12991525967644135,-0.3869619142367825,-0.06841462951611582,-0.6039708124211384,-0.279754238601261,-0.5297109955673616,1
-0.1850272936019631,-0.37519781554579773,-0.24670690061335876,-0.821249226102541,-0.35853947825110327,-0.5594865638849749,1
