height,lenght,area,eccen,mean_tr,blackpix,target
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,-0.055429165798810576,-0.27892243835267694,1
-0.23751771914836384,-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,-0.03715417873870258,-0.2757912019833619,1
-0.23751771914836384,-0.6310517776172657,-0.22657626599843236,-0.35205851398832355,-0.025210683258474528,-0.26561468378308806,1
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,-0.026649658617538145,-0.2797052474450057,1
-0.23751771914836384,-0.7614405556158339,-0.24502986692267864,-0.4330784774248578,-0.056580346086061474,-0.2828364838143207,1
-0.2900081446947646,-0.7179776296163112,-0.24051898669675179,-0.39742969351278273,-0.0538462929038406,-0.2726599656140469,1
-0.23751771914836384,-0.7527479704159293,-0.24379962686106224,-0.4276663438672973,-0.05298290768840242,-0.28205367472199194,1
-0.2900081446947646,-0.7353628000161202,-0.2425693867994458,-0.4103928876626282,0.0549402442413692,-0.28205367472199194,1
-0.2900081446947646,-0.7440553852160248,-0.24359458685079283,-0.41687448473755095,0.0549402442413692,-0.28205367472199194,1
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.03335561385541488,-0.27657401107569063,1
-0.2900081446947646,-0.7701331408157385,-0.24667018700483387,-0.4363192759623192,0.026160737060096768,-0.28361929290664945,1
-0.2900081446947646,-0.7614405556158339,-0.24564498695348685,-0.42983767888739643,0.026160737060096768,-0.28361929290664945,1
-0.2900081446947646,-0.7353628000161202,-0.2425693867994458,-0.4103928876626282,0.09810950501327785,-0.2797052474450057,1
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,-0.01700852371181188,-0.27813962926034813,1
-0.23751771914836384,-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,-0.027800838904789044,-0.27657401107569063,1
-0.2900081446947646,-0.7179776296163112,-0.24051898669675179,-0.39742969351278273,0.1268890121945503,-0.27813962926034813,1
-0.23751771914836384,-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,-0.027800838904789044,-0.27657401107569063,1
-0.2900081446947646,-0.6223591924173612,-0.2292417861319346,-0.3261321256886326,-0.009813646916493774,-0.2726599656140469,1
-0.2900081446947646,-0.7440553852160248,-0.24359458685079283,-0.41687448473755095,-0.01700852371181188,-0.28205367472199194,1
-0.3424985702411653,-0.7353628000161202,-0.24379962686106224,-0.4006704920502441,0.0549402442413692,-0.28205367472199194,1
-0.3424985702411653,-0.7353628000161202,-0.24379962686106224,-0.4006704920502441,-0.009813646916493774,-0.2812708656296632,1
