height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,wb_trans,target
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.22279607994271486,-0.7390357722771455,-0.055429165798810576,-0.27892243835267694,-0.6071274731931563,1
-0.23751771914836384,-0.7266702148162157,-0.24010890667621299,-0.41146235117999047,0.39514527533671634,0.5763794889291826,-0.03715417873870258,-0.2757912019833619,-0.6130825868566789,1
-0.23751771914836384,-0.6310517776172657,-0.22657626599843236,-0.35205851398832355,-0.4487714745235678,-0.24575504932477238,-0.025210683258474528,-0.26561468378308806,-0.6011723595296335,1
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.050446884548713024,-0.23401027020685872,-0.026649658617538145,-0.2797052474450057,-0.6249928141837243,1
-0.23751771914836384,-0.7614405556158339,-0.24502986692267864,-0.4330784774248578,0.8171036502668585,0.9463400311434629,-0.056580346086061474,-0.2828364838143207,-0.6190377005202016,1
-0.2900081446947646,-0.7179776296163112,-0.24051898669675179,-0.39742969351278273,1.1142574354289305,1.2751938464450454,-0.0538462929038406,-0.2726599656140469,-0.5892621322025883,1
-0.23751771914836384,-0.7527479704159293,-0.24379962686106224,-0.4276663438672973,0.3238283668978191,-0.43954390477034777,-0.05298290768840242,-0.28205367472199194,-0.6190377005202016,1
-0.2900081446947646,-0.7353628000161202,-0.2425693867994458,-0.4103928876626282,-0.17538999217446147,-2.6416899893791568,0.0549402442413692,-0.28205367472199194,-0.6369030415107696,1
-0.2900081446947646,-0.7440553852160248,-0.24359458685079283,-0.41687448473755095,0.22279607994271486,-1.5435531418542305,0.0549402442413692,-0.28205367472199194,-0.6369030415107696,1
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.7339005904214783,0.7701683443747586,0.03335561385541488,-0.27657401107569063,-0.630947927847247,1
-0.2900081446947646,-0.7701331408157385,-0.24667018700483387,-0.4363192759623192,2.6000263612392898,1.2751938464450454,0.026160737060096768,-0.28361929290664945,-0.6369030415107696,1
-0.2900081446947646,-0.7614405556158339,-0.24564498695348685,-0.42983767888739643,1.0132251484738255,-0.292734165796427,0.026160737060096768,-0.28361929290664945,-0.6369030415107696,1
-0.2900081446947646,-0.7353628000161202,-0.2425693867994458,-0.4103928876626282,0.4189175781496821,-0.292734165796427,0.09810950501327785,-0.2797052474450057,-0.6369030415107696,1
-0.2900081446947646,-0.7266702148162157,-0.2415441867480988,-0.4039112905877055,0.39514527533671634,0.4354421395142193,-0.01700852371181188,-0.27813962926034813,-0.6249928141837243,1
