column name,count,mean,std,min,25%,50%,75%,max
number_of_features,510.0,13.169,5.247,3.0,9.0,12.5,18.0,24.0
proportion_of_numeric_features,510.0,0.825,0.271,0.0,0.689,1.0,1.0,1.0
number_of_instances,510.0,2.296,1.181,0.0,1.25,2.0,3.0,4.0
number_of_classes,510.0,4.459,2.759,2.0,2.0,3.0,7.0,11.0
ratio_of_instances_to_features,510.0,2.063,0.999,0.0,1.0,2.0,3.0,4.0
ratio_of_classes_to_features,510.0,0.971,0.902,0.0,0.0,1.0,1.0,4.0
ratio_of_instances_to_classes,510.0,2.229,1.073,0.0,2.0,2.0,3.0,4.0
ratio_of_min_to_max_instances_per_class,510.0,0.497,0.388,0.003,0.088,0.531,0.921,1.0
proportion_of_features_with_outliers,510.0,0.483,0.393,0.0,0.056,0.5,0.905,1.0
average_mutual_information,510.0,1.5,1.121,0.0,0.25,1.5,2.75,3.0
minimum_mutual_information,510.0,0.982,1.158,0.0,0.0,0.0,2.0,3.0
maximum_mutual_information,510.0,1.5,1.121,0.0,0.25,1.5,2.75,3.0
equivalent_number_of_features,510.0,1.5,1.121,0.0,0.25,1.5,2.75,3.0
noise_to_signal_ratio_of_features,510.0,1.349,1.4,0.0,0.0,1.0,2.75,4.0
