dataset_name,meta_learner_testing_f1_scores,baseline testing f1 scores mean,baseline testing f1 scores std,baseline testing f1 scores better,batch normalisation testing f1 scores mean,batch normalisation testing f1 scores std,batch normalisation testing f1 scores better,dropout testing f1 scores mean,dropout testing f1 scores std,dropout testing f1 scores better,layer normalisation testing f1 scores mean,layer normalisation testing f1 scores std,layer normalisation testing f1 scores better,prune testing f1 scores mean,prune testing f1 scores std,prune testing f1 scores better,weight decay testing f1 scores mean,weight decay testing f1 scores std,weight decay testing f1 scores better,weight normalisation testing f1 scores mean,weight normalisation testing f1 scores std,weight normalisation testing f1 scores better,weight perturbation testing f1 scores mean,weight perturbation testing f1 scores std,weight perturbation testing f1 scores better
Mushroom,"[0.9109677419354839, 0.9109677419354839, 0.9158045968185322, 0.9158045968185322, 0.9109677419354839, 0.9109677419354839, 0.9158045968185322, 0.9109677419354839, 0.9109677419354839, 0.9109677419354839]",0.9114514274237887,0.0014510564649144909,0,0.9873461354351942,0.025459464499903495,-1,0.9109677419354838,1.1102230246251565e-16,0,0.9274272373393109,0.03305648818220497,0,0.9138698548653128,0.002369565284671509,0,0.9124187984003983,0.0022165253627085624,0,0.9119351129120934,0.0019347419532193212,0,0.9124187984003983,0.0022165253627085624,0
Mushroom,"[0.8166780931967296, 0.817895659943771, 0.841500421729016, 0.8722768325554471, 0.8307576811905311, 0.8374426369265743, 0.8738751839800525, 0.8272985796812076, 0.8230983132439137, 0.8383305942018203]",0.8565201251253706,0.03584371641361846,0,0.8379153996649062,0.01929344823366333,0,0.8535282002254398,0.021291114925507813,0,0.8602196726397583,0.021500211407829734,0,0.8816998838513472,0.010830099387209515,-1,0.8614129046182896,0.027297900158116697,0,0.8648655056399814,0.03499754727201772,0,0.8596589339716287,0.03713946216135113,0
Mushroom,"[0.7254869283522827, 0.7555414538753956, 0.7416571344590352, 0.7280038663428638, 0.7700566421227771, 0.7254945937933939, 0.7470729019897999, 0.7581698167407707, 0.7512017738662591, 0.7297313154680386]",0.7265585387988416,0.0622790556178281,0,0.7432416427010616,0.014895097274499959,0,0.7678394249663011,0.04859139148345848,0,0.750295159381895,0.023302049744405712,0,0.8104993061762686,0.035509632389975516,-1,0.7326264192255948,0.03156259801207791,0,0.7144521548439199,0.05849448779821125,0,0.7324563016297928,0.06275663575285456,0
Mushroom,"[0.8856496903653496, 0.8925569362440386, 0.8950204982183514, 0.8891299028415968, 0.8913882684781208, 0.8859020935752322, 0.8839553655613138, 0.8904413204437426, 0.8969885727503162, 0.8899929128003865]",0.8972174123043866,0.012794781619447611,0,0.8901025561278448,0.00394478270231872,0,0.9028770616156854,0.006866371368757268,-1,0.8929970899934286,0.012376531467515727,0,0.9074105288133858,0.012719991454531716,-1,0.899540556456102,0.011751522757862901,-1,0.9064489970613243,0.01434250135362588,-1,0.8901390410926607,0.018266535010278924,0
Mushroom,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,0,1.0,0.0,0,0.9996581660633519,0.0010255018099444846,0,1.0,0.0,0,0.9987659672851281,0.0037020981446158727,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0
Mushroom,"[0.8649723742548151, 0.7658545723354654, 0.7741616746513553, 0.8556236604927141, 0.850630472955477, 0.7736631965802315, 0.8605188814145242, 0.8525662466253783, 0.7605653893103588, 0.8473139769573405]",0.8131288103634301,0.03725746463385578,0,0.8205870445577659,0.04288028044179969,0,0.8461368485905348,0.030760719641505507,0,0.7901617722818137,0.037830336081078705,0,0.8066974280705368,0.021456366121771386,0,0.8108017313943037,0.03823962666374212,0,0.8116062220195485,0.03911392802983694,0,0.8264385594654927,0.03649418728680682,0
Mushroom,"[0.8483512625769265, 0.8540489557914447, 0.8497099318703247, 0.8532684048614472, 0.852395848471762, 0.853783913468381, 0.8534355508395728, 0.8508037107634242, 0.848348341571213, 0.7934183963972491]",0.8565353299172125,0.0182012922056809,0,0.8457564316611744,0.01756847505877864,0,0.8583743407346793,0.016015903235248756,0,0.8432851923325899,0.026935163260007524,0,0.8673108475521605,0.010691529393642204,-1,0.8698447864038987,0.020855795850632554,-1,0.8227631421240978,0.0755228318669773,0,0.8545435423328402,0.015510924601094999,0
Mushroom,"[0.8565575399615619, 0.8534369332171949, 0.8757957772311742, 0.855967421744719, 0.881531898935921, 0.7922556016254567, 0.8635939774432361, 0.7990354901785315, 0.8522165686986132, 0.8619413993454212]",0.7819992794319219,0.012050648828026438,1,0.849233260838183,0.02829899480447914,0,0.8426916422358749,0.029830696058459602,0,0.8276737730911512,0.032000963877184,0,0.7903988852103626,0.10851101725947183,0,0.8045859256929658,0.010354108990368035,1,0.7994440825633193,0.020203408222065823,1,0.7996464303576957,0.021727479428453624,1
Mushroom,"[0.8530190784231003, 0.8467554304245126, 0.8510297559176488, 0.7918582159562619, 0.7821898021012983, 0.849957802093269, 0.8478702594260056, 0.8506231180322551, 0.850166424333452, 0.858249997641073]",0.8202549430338465,0.03193430738902362,0,0.8381719884348877,0.025832905156611484,0,0.8380330996496583,0.026842952745210782,0,0.8146223783121282,0.03584893418956761,0,0.8411770743038971,0.02816180532969581,0,0.8449184574982793,0.027064327521898385,0,0.842931035794441,0.028386281525298006,0,0.8277251447181774,0.040822732746515066,0
Mushroom,"[0.8628382941247893, 0.7618860869879592, 0.8041630609209411, 0.7873933271364106, 0.8084785257040265, 0.7848829497834272, 0.8473795849926641, 0.7869365580186016, 0.849957802093269, 0.7762044569410869]",0.8511296872753734,0.030992566045152745,-1,0.8070120646703176,0.03296026303963349,0,0.83958589323708,0.035837918645853,0,0.8290315016429008,0.033110882967848664,0,0.8544690711107243,0.022195295773885314,-1,0.8507209039325897,0.03281975738701988,-1,0.8422834341515463,0.029610722813746444,-1,0.8354653855966172,0.04151375135229316,0
