model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,0.21867153617895457,0.22962962962962963,78.13284638210453,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Decision tree,batch normalisation,0.015406563306586133,0.31851851851851853,97.86657419275544,0.9647884729636711,68.14814814814815,0.2711864406779661,8.0,84.0,12.0,31.0
Decision tree,dropout,0.15999420574859974,0.22962962962962963,84.00057942514002,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Decision tree,layer normalisation,0.002666233561006444,0.5925925925925926,99.73337664389935,0.9941532956737806,40.74074074074074,0.2857142857142857,16.0,39.0,26.0,54.0
Decision tree,prune,0.297775358629045,0.4,68.62483100100083,0.37833058973770334,60.0,0.0,0.0,81.0,0.0,54.0
Decision tree,weight normalisation,0.2571787263181922,0.4666666666666667,73.83702351061402,0.5982203917804874,53.333333333333336,0.136986301369863,5.0,67.0,25.0,38.0
Decision tree,weight decay,0.20622706442154057,0.562962962962963,78.87284251927028,0.6998114921694746,43.7037037037037,0.09523809523809523,4.0,55.0,42.0,34.0
Decision tree,weight perturbation,0.1887354485277334,0.2518518518518518,80.2369497655962,0.4969252873244197,74.81481481481481,0.19047619047619047,4.0,97.0,5.0,29.0
KNN,baseline,0.002667111477885274,0.28888888888888886,99.73328885221147,0.9938950677469256,71.11111111111111,0.09302325581395349,2.0,94.0,10.0,29.0
KNN,batch normalisation,0.015998279282917492,0.4666666666666667,97.92618474882798,0.9639768538817517,53.333333333333336,0.2222222222222222,9.0,63.0,33.0,30.0
KNN,dropout,0.010369954172738926,0.2518518518518518,98.72596702544203,0.9663570866929619,74.81481481481481,0.32,8.0,93.0,11.0,23.0
KNN,layer normalisation,0.002666233561006444,0.48148148148148145,99.73337664389935,0.9941395491146257,51.85185185185185,0.2696629213483146,12.0,58.0,7.0,58.0
KNN,prune,0.002667111477885274,0.4666666666666667,99.73328885221147,0.9959503761632762,53.333333333333336,0.3076923076923077,14.0,58.0,23.0,40.0
KNN,weight normalisation,0.2557064597123944,0.43703703703703706,74.42935402876056,0.5998278112752929,56.2962962962963,0.16901408450704225,6.0,70.0,22.0,37.0
KNN,weight decay,0.013037065650624199,0.3925925925925926,98.45925587765352,0.9818158395265819,60.74074074074074,0.03636363636363636,1.0,81.0,16.0,37.0
KNN,weight perturbation,0.005037487050726037,0.32592592592592595,99.25921373764331,0.9886475656047761,67.4074074074074,0.08333333333333333,2.0,89.0,13.0,31.0
Neural Network,baseline,0.5653333333333334,0.7703703703703704,43.46666666666666,0.20899196451563737,22.962962962962962,0.37349397590361444,31.0,0.0,104.0,0.0
Neural Network,batch normalisation,0.10400000000000001,0.3851851851851852,89.6,0.7245093531067301,61.48148148148148,0.1875,6.0,77.0,19.0,33.0
Neural Network,dropout,0.16,0.7703703703703704,84.00000000000001,0.0,22.962962962962962,0.37349397590361444,31.0,0.0,104.0,0.0
Neural Network,layer normalisation,0.134,0.4888888888888889,86.6,0.6112732950590617,51.11111111111111,0.25,11.0,58.0,7.0,59.0
Neural Network,prune,0.14466666666666667,0.37037037037037035,85.53333333333333,0.7513419873718846,62.96296296296296,0.4186046511627907,18.0,67.0,14.0,36.0
Neural Network,weight normalisation,0.12866666666666665,0.5185185185185185,87.13333333333334,0.7980766599495319,48.148148148148145,0.2222222222222222,10.0,55.0,37.0,33.0
Neural Network,weight decay,0.238,0.4,76.2,0.5190009963661162,60.0,0.20588235294117646,7.0,74.0,23.0,31.0
Neural Network,weight perturbation,0.336,0.24444444444444444,66.4,0.07213114754098361,75.55555555555556,0.0,0.0,102.0,0.0,33.0
Random forest,baseline,0.21866539076080277,0.22962962962962963,78.13346092391973,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,batch normalisation,0.22666057977630677,0.28888888888888886,77.33394202236931,0.0,71.11111111111111,0.0,0.0,96.0,0.0,39.0
Random forest,dropout,0.15999859533299388,0.22962962962962963,84.00014046670061,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,layer normalisation,0.09954962864116025,0.5259259259259259,90.04503713588397,0.7407126261005867,47.40740740740741,0.16470588235294117,7.0,57.0,8.0,63.0
Random forest,prune,0.20178568293154003,0.4074074074074074,79.82143170684598,0.6321823662488204,59.25925925925925,0.2028985507246377,7.0,73.0,8.0,47.0
Random forest,weight normalisation,0.11763471634505644,0.45185185185185184,88.23652836549437,0.8283668285348937,54.81481481481482,0.18666666666666668,7.0,67.0,25.0,36.0
Random forest,weight decay,0.052747001913858796,0.5333333333333333,94.72529980861411,0.9260347545207491,46.666666666666664,0.12195121951219512,5.0,58.0,39.0,33.0
Random forest,weight perturbation,0.22399697996593684,0.24444444444444444,77.60030200340633,0.0,75.55555555555556,0.0,0.0,102.0,0.0,33.0
svm,baseline,0.07792565799870069,0.5703703703703704,92.20743420012994,0.8129886112970766,42.96296296296296,0.15384615384615385,7.0,51.0,53.0,24.0
svm,batch normalisation,0.12889575614980778,0.4962962962962963,87.11042438501923,0.6598820163313049,50.37037037037037,0.26373626373626374,12.0,56.0,40.0,27.0
svm,dropout,0.2574807297245097,0.2740740740740741,74.25192702754903,0.17770556117200725,72.5925925925926,0.2127659574468085,5.0,93.0,11.0,26.0
svm,layer normalisation,0.1111056485171984,0.4888888888888889,88.88943514828017,0.7146704108178226,51.11111111111111,0.26666666666666666,12.0,57.0,8.0,58.0
svm,prune,0.052142117184344985,0.5333333333333333,94.78578828156552,0.9197420777490575,46.666666666666664,0.41935483870967744,26.0,37.0,44.0,28.0
svm,weight normalisation,0.17867100942882727,0.5259259259259259,82.13289905711727,0.7401042174267687,47.40740740740741,0.21978021978021978,10.0,54.0,38.0,33.0
svm,weight decay,0.20266447772724877,0.4222222222222222,79.73355222727511,0.6823358769903494,57.77777777777777,0.14925373134328357,5.0,73.0,24.0,33.0
svm,weight perturbation,0.15437378189033063,0.37777777777777777,84.56262181096695,0.5398569135497262,62.22222222222222,0.2608695652173913,9.0,75.0,27.0,24.0
