column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,0.0,1.001,-2.074,-0.739,0.023,0.786,1.93
proportion_of_numeric_features,375.0,0.0,1.001,-1.859,-0.956,0.813,0.813,0.813
number_of_instances,375.0,-0.0,1.001,-2.211,-0.682,-0.001,0.784,2.159
number_of_classes,375.0,-0.0,1.001,-1.12,-1.12,-0.19,1.014,1.603
ratio_of_instances_to_features,375.0,-0.0,1.001,-2.429,-0.665,0.022,0.698,2.863
ratio_of_classes_to_features,375.0,-0.0,1.001,-1.579,-0.847,-0.175,0.762,2.245
ratio_of_instances_to_classes,375.0,-0.0,1.001,-2.636,-0.616,-0.096,0.79,2.158
ratio_of_min_to_max_instances_per_class,375.0,-0.0,1.001,-1.372,-1.102,-0.013,0.999,1.184
proportion_of_features_with_outliers,375.0,-0.0,1.001,-1.147,-1.035,-0.327,1.013,1.476
average_mutual_information,375.0,0.0,1.001,-1.576,-0.787,-0.095,0.807,1.987
minimum_mutual_information,375.0,0.0,1.001,-0.718,-0.718,-0.718,0.631,2.133
maximum_mutual_information,375.0,0.0,1.001,-1.626,-0.797,-0.292,1.022,1.764
equivalent_number_of_features,375.0,0.0,1.001,-1.461,-0.79,-0.15,0.774,2.045
noise_to_signal_ratio_of_features,375.0,-0.0,1.001,-1.753,-0.913,0.032,0.714,2.154
batch_size,375.0,0.0,1.001,-1.303,-0.754,-0.022,1.442,1.442
learning_rate,375.0,0.0,1.001,-0.91,-0.91,-0.197,0.525,1.97
number_of_epochs,375.0,0.0,1.001,-1.491,-0.939,-0.11,0.718,1.822
number_of_hidden_layers,375.0,-0.0,1.001,-1.099,-1.099,0.165,0.894,1.694
avg_number_of_neurons,375.0,0.0,1.001,-1.973,-0.542,0.173,0.411,2.408
min_number_of_neurons,375.0,-0.0,1.001,-1.096,-1.096,0.054,0.919,1.649
max_number_of_neurons,375.0,0.0,1.001,-2.07,-0.925,-0.009,0.907,1.365
total_number_of_neurons,375.0,-0.0,1.001,-2.191,-0.786,0.021,0.654,1.76
