Ethnicity,ParentalEducation,Absences,Tutoring,Sports,Music,Volunteering,GPA,target
0,2,-0.8908223715622926,1,0,1,0,1.1180863116664626,3
0,1,-1.7176935833500317,0,0,0,0,1.2423744574038993,2
2,3,1.3535423461472853,0,0,0,0,-1.9602771889382216,5
0,3,-0.06395115977455339,0,0,0,0,0.16178970455436958,4
0,2,0.2904222167059063,1,0,0,0,-0.6755727871499934,5
0,1,-1.7176935833500317,0,0,0,0,1.2874787000437125,2
1,1,-0.536448995081833,0,1,0,0,0.9203101403015941,3
1,4,0.8810445108400057,1,0,0,0,-0.5967921020958057,5
0,0,-1.599569124523212,0,1,0,1,1.0827008929211555,3
0,1,-1.7176935833500317,0,0,0,0,1.822243265286167,1
0,1,-0.41832453625501304,0,0,0,0,0.26338215408197463,4
0,1,0.0541732990522665,0,0,0,1,-0.37880352921992977,5
1,1,0.7629200520131858,0,0,0,0,-0.4219928594510517,5
1,2,0.7629200520131858,0,1,0,0,-0.16897414436442817,5
0,1,-0.6545734539086528,1,0,0,0,0.5361976465777527,4
0,2,0.2904222167059063,1,1,0,0,-0.617144799578235,5
3,1,-0.06395115977455339,0,1,0,0,0.3562859248982236,4
0,0,0.17229775787908638,1,0,0,0,-0.570275812950926,5
1,3,1.7079157226277448,0,0,0,1,-1.5701515973121711,5
0,1,-0.6545734539086528,0,0,1,0,0.5351003115572424,4
0,3,-1.481444665696392,0,0,0,1,0.9532883431248744,3
0,2,1.2354178873204653,0,0,0,0,-1.704210662965307,5
1,0,1.7079157226277448,1,0,0,0,-1.741750705211649,5
3,4,0.6447955931863659,0,0,0,0,-0.1486991300440165,5
0,1,0.0541732990522665,0,0,0,0,-0.43830189958700966,5
0,3,-1.1270712892159325,0,0,1,0,1.1712646878447261,3
0,1,-1.481444665696392,0,1,0,0,1.1394227461761934,3
0,3,-0.7726979127354727,0,0,1,0,0.2612324482298757,4
0,0,-0.536448995081833,0,0,0,0,1.036780794061806,3
0,2,0.6447955931863659,0,0,0,0,-0.4226880657197581,5
2,2,-0.30020007742819316,1,1,0,0,-0.19570813095326517,5
0,3,0.2904222167059063,0,0,0,1,-0.06410175613751597,5
0,3,1.2354178873204653,0,1,0,0,-1.6629818109863723,5
3,3,0.7629200520131858,0,1,0,0,-1.0457019911442749,5
0,3,1.471666804974105,1,1,0,0,-0.8363459783903939,5
3,1,0.9991689696668256,0,0,0,0,-1.7975714175819315,5
0,1,1.3535423461472853,1,0,0,0,-1.844772596407541,5
2,1,0.7629200520131858,1,1,0,0,-0.9163445651784037,5
1,1,-1.3633202068695722,1,1,0,0,1.2161341225367255,2
2,1,0.7629200520131858,1,1,0,0,-0.4145717880551482,5
3,2,0.9991689696668256,1,0,0,0,-0.9267014165077311,5
0,1,-0.8908223715622926,0,0,0,0,0.7857592189732577,3
3,2,-0.30020007742819316,1,0,0,0,0.986451948855004,3
0,1,-0.6545734539086528,0,1,0,0,1.074036600267239,3
0,1,-1.599569124523212,1,1,0,0,2.288409752881429,1
0,2,-0.8908223715622926,0,0,1,0,0.6657241522028583,3
1,2,-1.1270712892159325,0,0,0,0,0.7186935925282812,3
0,2,0.0541732990522665,0,0,0,0,-0.22140148425392314,5
1,2,0.2904222167059063,0,0,1,0,0.21170094893310668,4
1,1,0.17229775787908638,0,0,0,0,0.6064286177433794,4
2,2,-1.1270712892159325,0,0,0,0,1.1249517146314414,3
2,0,-0.30020007742819316,1,0,1,0,0.08764466384780215,5
0,1,0.8810445108400057,0,0,1,0,-0.36574327137287543,5
0,2,-0.18207561860137328,0,1,0,0,-0.2643551872088441,5
0,0,1.7079157226277448,1,1,0,0,-1.2567997223920924,5
0,1,1.2354178873204653,0,1,0,0,-1.2059667421016655,5
0,4,0.6447955931863659,0,1,1,0,-0.6161978104675876,5
0,4,1.7079157226277448,0,0,0,0,-1.7701397214966468,5
0,1,-0.6545734539086528,1,1,0,0,0.7734205938198012,3
3,0,0.9991689696668256,0,1,0,0,-1.0679908811013334,5
1,1,-0.536448995081833,0,0,1,0,-0.014675549404836173,5
0,1,-0.30020007742819316,0,0,1,0,0.46458113310363514,4
1,3,-0.41832453625501304,0,1,0,0,0.3585408701693228,4
0,1,-0.7726979127354727,0,1,0,0,0.5242191512526659,4
0,2,-1.3633202068695722,1,0,0,0,1.5751107639341961,2
1,1,-1.0089468303891125,1,0,0,0,1.4816629463552367,2
0,4,0.9991689696668256,0,1,0,0,-0.9470994980024533,5
0,1,1.589791263800925,0,1,0,0,-2.052940488170607,5
3,2,0.7629200520131858,1,0,1,0,-0.6297749929812888,5
2,1,-1.599569124523212,0,0,1,0,1.5057744987032906,2
1,2,-1.0089468303891125,0,0,0,0,1.12711244393948,3
1,1,1.589791263800925,0,0,1,1,-1.2758069775039758,5
1,1,-0.7726979127354727,0,1,0,0,0.7110826227671712,3
0,3,-1.2451957480427522,1,0,0,0,1.5243676211429684,2
0,3,-0.06395115977455339,0,0,1,0,0.32186674144801114,4
0,3,0.2904222167059063,0,1,0,0,-0.0549974663187006,5
0,2,-1.3633202068695722,0,0,0,0,0.905188329135438,3
1,3,0.40854667553272617,1,1,0,0,0.2465133818582196,4
0,0,0.526671134359546,0,0,0,0,-1.0125162087396513,5
3,1,1.2354178873204653,0,1,0,0,-0.9966083645631314,5
3,1,-1.0089468303891125,0,1,0,0,0.18417509432813098,4
2,2,1.2354178873204653,0,0,0,0,-1.5363199981098339,5
1,1,-0.8908223715622926,0,1,0,0,0.6844550922926096,3
2,1,0.17229775787908638,0,1,0,0,-0.4839622350562952,5
0,2,-0.30020007742819316,0,1,0,0,0.4772321417680488,4
2,3,0.9991689696668256,0,0,0,0,-0.8167966779221003,5
0,1,0.6447955931863659,1,0,1,1,-0.4179807586121636,5
2,1,1.471666804974105,0,0,1,0,-2.083344536168013,5
0,1,0.8810445108400057,0,0,1,0,-0.9263357031360974,5
2,1,-0.536448995081833,0,0,1,1,0.3536245172399691,4
3,1,1.3535423461472853,0,0,0,1,-1.8705020929523215,5
0,2,-1.7176935833500317,0,1,0,0,1.7495036796724708,1
0,2,-1.599569124523212,1,0,0,0,1.7990868839641925,1
3,2,0.17229775787908638,1,1,0,0,0.36318900861158854,4
0,1,-1.2451957480427522,0,1,0,0,0.8768493603390104,3
2,3,1.7079157226277448,0,0,0,1,-1.2823208574085034,5
1,1,1.7079157226277448,0,0,1,0,-1.028131530852507,5
0,2,-1.1270712892159325,0,1,0,0,0.7093680175705959,3
0,3,1.2354178873204653,0,0,1,1,-1.269845984389061,5
0,1,1.1172934284936455,0,0,0,0,-1.294181047005312,5
2,1,0.9991689696668256,1,1,0,1,-0.6939687488098382,5
0,3,-1.0089468303891125,0,0,1,1,0.6775736492075949,3
1,1,1.471666804974105,0,1,0,0,-1.0533423994857076,5
0,2,0.6447955931863659,1,1,0,0,-0.4268441039031453,5
1,0,1.7079157226277448,0,0,0,0,-1.374820956276648,5
2,2,-0.06395115977455339,0,1,1,1,0.1559227473844531,4
3,1,0.40854667553272617,0,0,0,1,-1.1627667493176175,5
0,0,0.0541732990522665,0,1,0,0,-0.48307707732576705,5
2,2,1.1172934284936455,1,1,0,0,-0.457110013747078,5
2,1,-0.30020007742819316,1,0,0,0,0.7447059309522265,3
1,1,-1.2451957480427522,1,0,0,0,1.4367996441129387,2
3,0,-1.481444665696392,1,0,1,0,1.7912969516662596,1
0,1,-1.481444665696392,0,0,0,0,1.293397332468676,2
0,1,0.40854667553272617,1,1,1,0,0.01504991408211782,5
2,0,-0.18207561860137328,1,0,0,0,0.31958275998021657,4
0,3,0.0541732990522665,0,0,0,1,-1.1235120926605122,5
2,0,0.7629200520131858,0,0,1,0,-0.6184039402505718,5
2,2,0.17229775787908638,0,0,0,0,-0.09473041469767308,5
0,1,1.3535423461472853,0,1,0,0,-1.4064320134005233,5
2,1,-1.3633202068695722,0,0,1,1,1.8725038591143,1
0,3,-0.30020007742819316,1,1,0,0,0.2936906207310289,4
1,1,-0.8908223715622926,1,1,1,0,1.1674985270974407,3
1,4,0.40854667553272617,0,0,0,0,-1.0114605033346749,5
3,1,-1.2451957480427522,0,0,0,0,1.3065944082805132,2
0,2,-1.599569124523212,1,0,1,0,1.7400358483560403,2
0,2,-0.06395115977455339,0,0,0,0,0.7479712474375347,3
1,3,-1.599569124523212,0,0,0,0,1.7801974242440346,1
2,2,-0.536448995081833,1,1,0,0,0.9986567100243061,3
1,2,-0.30020007742819316,1,1,0,0,0.12067186340220112,4
0,1,0.8810445108400057,1,0,0,0,-0.5847235174541913,5
0,1,-0.6545734539086528,0,0,0,0,0.21706774865193,4
0,3,-1.481444665696392,0,0,0,0,1.2287392347600135,2
2,1,-1.2451957480427522,1,1,0,0,1.832022510198073,1
0,1,-1.481444665696392,0,0,0,0,0.5687219562584536,4
0,2,-1.1270712892159325,1,0,0,0,1.371911107346605,2
3,1,-0.30020007742819316,0,0,0,0,0.23656898783363828,4
0,4,-0.6545734539086528,0,1,0,0,0.3264326392647532,4
3,2,0.40854667553272617,0,0,1,1,-0.790411866369458,5
1,2,-0.8908223715622926,0,0,0,0,0.9099909437708301,3
2,3,0.2904222167059063,1,0,0,0,0.3625441165919919,4
0,0,-1.481444665696392,0,0,0,0,1.347915942776996,2
0,1,0.9991689696668256,1,1,0,0,-0.9400818575412242,5
2,2,0.9991689696668256,1,0,0,0,-1.191005827332211,5
2,1,0.17229775787908638,0,0,1,0,0.13919481801620887,4
2,2,-0.8908223715622926,1,1,0,0,0.5747678921515557,4
0,3,-0.6545734539086528,0,0,0,0,0.8236221323411863,3
2,2,-1.599569124523212,1,0,0,1,1.8390895247283638,1
2,1,-0.41832453625501304,0,1,0,0,0.44635756114786806,4
1,4,0.8810445108400057,0,1,0,1,-0.982508586277506,5
2,2,-1.1270712892159325,0,0,0,0,1.0660807202626787,3
2,2,-1.599569124523212,0,1,1,0,0.9818070767394768,3
1,1,0.6447955931863659,1,1,0,0,-0.156580039783149,5
0,3,0.8810445108400057,0,0,0,1,-0.8593503193709027,5
0,2,0.9991689696668256,0,0,0,0,-0.956899193375042,5
0,2,-1.481444665696392,0,0,0,0,1.2781184890451982,2
0,3,0.17229775787908638,1,1,0,0,0.7926512539716076,3
0,1,1.589791263800925,0,1,1,1,-1.5335233087206008,5
0,2,-1.0089468303891125,0,0,0,0,0.9596563903976979,3
0,3,1.589791263800925,0,0,0,0,-1.8127036930803575,5
0,1,0.6447955931863659,0,0,0,1,-0.7832408022644094,5
2,2,-1.2451957480427522,1,0,0,1,1.6064095357792454,2
3,3,0.8810445108400057,1,0,0,0,-0.6695481002696314,5
0,2,-1.7176935833500317,1,0,1,1,1.980842525836893,1
3,2,-0.8908223715622926,0,0,0,0,0.8354130763946904,3
1,3,-0.41832453625501304,1,0,0,0,0.5065351804159524,4
0,3,-0.18207561860137328,0,1,0,0,-0.30788023021538985,5
0,1,0.0541732990522665,1,1,0,0,0.6899617651722357,3
1,0,-0.6545734539086528,0,1,0,0,0.42868507307934883,4
2,2,-0.06395115977455339,0,0,0,0,0.3864825856677713,4
2,2,0.6447955931863659,0,1,0,0,-0.6391974754468466,5
0,2,0.9991689696668256,0,1,0,0,-1.045081059596287,5
0,2,1.2354178873204653,0,0,0,1,-1.1884610610096031,5
0,1,-0.06395115977455339,1,0,0,0,0.47328416300201537,4
0,2,-0.6545734539086528,0,1,0,0,0.8487651496979903,3
0,1,0.6447955931863659,1,0,0,0,-0.3960250147145601,5
0,2,1.471666804974105,0,0,0,0,-1.8681437237852017,5
2,2,-1.0089468303891125,0,0,0,0,0.9207176343129759,3
3,1,1.2354178873204653,1,0,1,0,-0.875763497337684,5
0,1,-1.481444665696392,0,0,0,0,0.7074083257093954,3
3,2,-1.599569124523212,0,0,0,1,1.4951915055573062,2
0,2,-1.1270712892159325,1,0,0,0,1.3988237445475145,2
0,1,0.6447955931863659,0,0,0,0,-0.20117780682953984,5
