cap-surface,bruises?,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-below-ring,ring-number,ring-type,population,habitat,target
2,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,2.0300280920660976,2
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,-0.2957296600062443,1
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,0.8671492160299267,1
3,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,2.0300280920660976,2
2,0,1,2.278612115023465,0,1,1.7814601887614623,2,2,0.6319913825853262,1,-1.2722157358170676,-2.9105462303202203,-0.2957296600062443,1
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,-0.2957296600062443,1
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,0.8671492160299267,1
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,0.8671492160299267,1
3,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,0.2843298100961381,-0.2957296600062443,2
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,0.8671492160299267,1
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,-0.2957296600062443,1
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,0.8671492160299267,1
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,-0.2957296600062443,1
3,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,0.2843298100961381,2.0300280920660976,2
0,0,1,2.278612115023465,0,1,1.7814601887614623,2,0,0.6319913825853262,1,-1.2722157358170676,-2.9105462303202203,-0.2957296600062443,1
0,0,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,1.0830488202002277,2.0300280920660976,1
0,0,1,2.278612115023465,0,1,1.7814601887614623,2,2,0.6319913825853262,1,-1.2722157358170676,-2.9105462303202203,-0.2957296600062443,1
2,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,-0.2957296600062443,2
3,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,2.0300280920660976,2
2,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,2.0300280920660976,2
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,0.8671492160299267,1
3,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,0.2843298100961381,-0.2957296600062443,2
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,0.8671492160299267,1
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,0.8671492160299267,1
2,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-0.5143892000079515,0.8671492160299267,1
2,1,1,-0.4388636369510842,1,0,1.7814601887614623,2,2,0.6319913825853262,1,0.9480808566164142,0.2843298100961381,-0.2957296600062443,2
3,1,1,-0.4388636369510842,0,0,0.8389893256787506,2,2,0.6319913825853262,1,0.9480808566164142,-1.313108210112041,0.8671492160299267,1
