column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,405.0,-0.0,1.0012,-1.2213,-1.0202,0.1862,0.1862,1.7947,0.6719
learning_rate,405.0,0.0,1.0012,-0.9682,-0.9682,0.027,0.7845,1.8741,0.519
number_of_epochs,405.0,0.0,1.0012,-1.2957,-0.9967,-0.0997,0.7973,1.9934,0.1968
number_of_hidden_layers,405.0,-0.0,1.0012,-0.9186,-0.9186,-0.9186,1.1133,1.6569,0.3338
avg_number_of_neurons,405.0,-0.0,1.0012,-2.0398,-0.9234,0.193,0.9372,1.6815,-0.2678
min_number_of_neurons,405.0,0.0,1.0012,-1.1408,-1.1408,-0.095,0.997,1.6367,0.1238
max_number_of_neurons,405.0,0.0,1.0012,-2.0187,-0.8879,0.0168,0.9214,1.3737,-0.2213
total_number_of_neurons,405.0,0.0,1.0012,-2.0567,-0.7731,0.098,0.5624,1.8465,-0.0847
depth_to_width_ratio,405.0,-0.0,1.0012,-1.6125,-0.8161,-0.0391,0.7595,2.1212,0.2048
batch_size_to_dataset_ratio,405.0,0.0151,1.0051,-1.0896,-0.8802,-0.2317,0.7423,1.9956,0.6032
number_of_features,405.0,-0.0196,0.9995,-2.1037,-0.786,-0.2213,0.908,2.0374,0.0996
proportion_of_numeric_features,405.0,0.0003,1.0013,-1.8519,-1.1436,0.7235,0.7235,0.7235,-0.8151
number_of_instances,405.0,-0.0215,1.0013,-2.0595,-0.7952,-0.0388,0.841,2.0622,0.0033
number_of_classes,405.0,-0.0134,0.9962,-1.2516,-1.2516,-0.3394,0.6385,1.7275,0.1649
ratio_of_instances_to_features,405.0,-0.0154,1.0074,-2.4367,-0.7615,-0.0241,0.7467,2.6941,0.0242
ratio_of_classes_to_features,405.0,0.0005,1.0004,-1.5621,-0.7491,-0.1655,0.7394,2.1356,0.2924
ratio_of_instances_to_classes,405.0,-0.0135,1.0008,-2.3948,-0.7758,-0.0649,0.7537,1.9915,0.0302
ratio_of_min_to_max_instances_per_class,405.0,0.0023,0.9996,-1.5627,-1.0734,0.4232,0.9245,1.1106,-0.3644
proportion_of_features_with_outliers,405.0,-0.0038,1.0007,-1.4565,-0.9156,0.046,0.9776,1.2481,-0.1562
average_mutual_information,405.0,-0.0015,1.001,-1.6948,-0.8331,-0.2841,0.8537,2.0829,0.3849
minimum_mutual_information,405.0,-0.0006,0.999,-0.8147,-0.8147,-0.6758,0.8025,1.8854,0.8082
maximum_mutual_information,405.0,-0.0041,1.0011,-1.9144,-0.8249,-0.1758,0.8316,1.8891,0.2936
equivalent_number_of_features,405.0,-0.0015,1.0007,-1.5588,-0.8307,-0.3303,0.8216,2.1544,0.5191
noise_to_signal_ratio_of_features,405.0,0.0051,1.0009,-1.7675,-0.9337,0.0911,0.7441,2.297,0.2408
avg_learning_slope,405.0,-0.0021,1.0009,-2.0019,-0.7651,0.078,0.946,1.9462,-0.1801
std_learning_slope,405.0,-0.0069,1.0009,-1.8969,-0.811,-0.1027,0.7985,2.3021,0.2264
avg_validation_gap,405.0,0.0053,1.0042,-2.0211,-0.8646,-0.2188,0.9352,1.9736,0.3502
std_validation_gap,405.0,0.0132,1.0048,-1.5693,-0.8686,-0.0318,0.7364,2.0448,0.3512
avg_first_overfit_epoch,405.0,0.0005,1.0183,-3.1964,-0.6414,-0.0261,0.6431,2.4478,-0.0132
std_first_overfit_epoch,405.0,-0.0142,1.012,-3.499,-0.5907,-0.16,0.3756,2.2922,-0.0708
avg_first_stay_epoch,405.0,0.0065,1.0053,-1.5509,-0.8508,-0.0206,0.8338,2.502,0.0565
std_first_stay_epoch,405.0,-0.0019,1.0083,-1.8292,-0.6571,-0.0359,0.7573,2.8258,0.0326
avg_percentage_weights_near_zero,405.0,0.0071,1.0008,-2.0006,-0.7438,0.0512,0.7986,1.8889,-0.0414
std_percentage_weights_near_zero,405.0,-0.0051,1.0045,-2.2083,-0.8146,-0.0356,0.7798,2.3814,0.1087
avg_avg_weights,405.0,-0.0079,0.9996,-1.6741,-0.7839,-0.0833,0.8432,2.1965,0.212
std_avg_weights,405.0,-0.0054,1.0022,-1.2544,-0.88,-0.2924,0.7938,1.9096,0.542
