model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.24666666666666667, 0.25666666666666665, 0.23666666666666666, 0.23666666666666666, 0.26]","[0.43703703703703706, 0.15185185185185185, 0.2074074074074074, 0.14074074074074075, 0.14074074074074075]","[75.33333333333333, 70.0, 76.33333333333333, 76.33333333333333, 74.0]","[0.7402186492430551, 0.628169014084507, 0.7150842026876542, 0.6608821676118463, 0.6294252873563217]","[0.6288521883135632, 0.7830346475507766, 0.7683950617283951, 0.794215729673897, 0.794215729673897]","[56.2962962962963, 83.7037037037037, 79.25925925925927, 85.92592592592592, 85.92592592592592]","[76.0, 113.0, 107.0, 116.0, 116.0]","[76.0, 116.0, 107.0, 116.0, 116.0]","[59.0, 19.0, 28.0, 19.0, 19.0]","[59.0, 22.0, 28.0, 19.0, 19.0]"
Decision tree,batch normalisation,"[0.01, 0.016666666666666666, 0.01, 0.016666666666666666, 0.01]","[0.45185185185185184, 0.5037037037037037, 0.4740740740740741, 0.562962962962963, 0.5185185185185185]","[99.0, 96.66666666666667, 98.66666666666667, 98.0, 99.0]","[0.9899229083571125, 0.982955830940352, 0.989906093906094, 0.9830688003661507, 0.9899340698240386]","[0.567546673246155, 0.5164526436365828, 0.5552859229300079, 0.4722222222222222, 0.5178001277139208]","[54.81481481481482, 49.629629629629626, 52.59259259259259, 43.7037037037037, 48.148148148148145]","[74.0, 67.0, 71.0, 59.0, 65.0]","[74.0, 67.0, 71.0, 59.0, 65.0]","[61.0, 68.0, 64.0, 76.0, 70.0]","[61.0, 68.0, 64.0, 76.0, 70.0]"
Decision tree,dropout,"[0.12, 0.13333333333333333, 0.13666666666666666, 0.14333333333333334, 0.13]","[0.2222222222222222, 0.21481481481481482, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[88.0, 86.66666666666667, 86.33333333333333, 85.66666666666667, 87.0]","[0.8467438605420538, 0.8288427621760955, 0.8321239954075775, 0.8258053074216162, 0.841313354622124]","[0.6805555555555556, 0.7095426842262286, 0.6805555555555556, 0.6805555555555556, 0.6805555555555556]","[77.77777777777779, 78.51851851851852, 77.77777777777779, 77.77777777777779, 77.77777777777779]","[105.0, 106.0, 105.0, 105.0, 105.0]","[105.0, 106.0, 105.0, 105.0, 105.0]","[30.0, 29.0, 30.0, 30.0, 30.0]","[30.0, 29.0, 30.0, 30.0, 30.0]"
Decision tree,layer normalisation,"[0.17666666666666667, 0.18333333333333332, 0.18666666666666668, 0.14666666666666667, 0.18333333333333332]","[0.6296296296296297, 0.6296296296296297, 0.6444444444444445, 0.6296296296296297, 0.6296296296296297]","[82.33333333333334, 81.66666666666667, 81.33333333333333, 85.33333333333334, 81.66666666666667]","[0.7908552188552188, 0.8093060036692605, 0.7765433504078922, 0.829195189639223, 0.7841098767479135]","[0.35078077678795666, 0.35078077678795666, 0.341969950334755, 0.35078077678795666, 0.35078077678795666]","[37.03703703703704, 37.03703703703704, 35.55555555555556, 37.03703703703704, 37.03703703703704]","[50.0, 50.0, 48.0, 50.0, 50.0]","[50.0, 50.0, 48.0, 50.0, 50.0]","[85.0, 85.0, 87.0, 85.0, 85.0]","[85.0, 85.0, 87.0, 85.0, 85.0]"
Decision tree,prune,"[0.04666666666666667, 0.06666666666666667, 0.06333333333333334, 0.05333333333333334, 0.056666666666666664]","[0.4703703703703704, 0.6259259259259259, 0.537037037037037, 0.4222222222222222, 0.4111111111111111]","[94.0, 91.66666666666666, 91.0, 93.0, 92.33333333333333]","[0.9526581948517433, 0.9325207586184613, 0.9348633011911515, 0.9457402415892981, 0.9417390307584538]","[0.5475387698763723, 0.31857506361323157, 0.4761720726938118, 0.5903660886319846, 0.5614227540929112]","[52.59259259259259, 30.37037037037037, 45.18518518518518, 57.03703703703704, 55.55555555555556]","[71.0, 41.0, 61.0, 77.0, 75.0]","[72.0, 60.0, 64.0, 79.0, 84.0]","[63.0, 75.0, 71.0, 56.0, 51.0]","[64.0, 94.0, 74.0, 58.0, 60.0]"
Decision tree,weight normalisation,"[0.2866666666666667, 0.30666666666666664, 0.2866666666666667, 0.2833333333333333, 0.29]","[0.674074074074074, 0.45185185185185184, 0.5481481481481482, 0.674074074074074, 0.6666666666666666]","[71.33333333333334, 69.33333333333334, 71.33333333333334, 71.66666666666667, 71.0]","[0.7140163734115348, 0.681568550497122, 0.7125370370370371, 0.7067417381483209, 0.6987724606359987]","[0.33206698823295056, 0.596780092439182, 0.5050029176535201, 0.32592592592592595, 0.3364062042727539]","[32.592592592592595, 54.81481481481482, 45.18518518518518, 32.592592592592595, 33.33333333333333]","[44.0, 74.0, 61.0, 44.0, 45.0]","[44.0, 74.0, 61.0, 44.0, 45.0]","[91.0, 61.0, 74.0, 91.0, 90.0]","[91.0, 61.0, 74.0, 91.0, 90.0]"
Decision tree,weight decay,"[0.23, 0.27, 0.23, 0.23, 0.24666666666666667]","[0.3333333333333333, 0.5185185185185185, 0.4962962962962963, 0.4888888888888889, 0.5]","[77.0, 73.0, 74.66666666666667, 77.0, 71.66666666666667]","[0.7637219177536857, 0.7251253862093783, 0.7476175747131516, 0.7661208449320452, 0.7077809484984373]","[0.5451851851851852, 0.465693257359924, 0.46998267288450596, 0.4962250712250712, 0.45901019860440156]","[66.66666666666666, 48.148148148148145, 50.37037037037037, 51.11111111111111, 49.629629629629626]","[90.0, 65.0, 68.0, 69.0, 67.0]","[90.0, 65.0, 68.0, 69.0, 68.0]","[45.0, 70.0, 67.0, 66.0, 67.0]","[45.0, 70.0, 67.0, 66.0, 68.0]"
Decision tree,weight perturbation,"[0.25, 0.22333333333333333, 0.21666666666666667, 0.23, 0.24]","[0.3851851851851852, 0.25925925925925924, 0.25925925925925924, 0.25925925925925924, 0.3925925925925926]","[75.0, 77.66666666666666, 78.33333333333333, 77.0, 76.0]","[0.7286315789473684, 0.7501049711374801, 0.7575645242378537, 0.7417731958762886, 0.7571363636363636]","[0.6503634475597093, 0.7431843276531321, 0.7431843276531321, 0.7431843276531321, 0.6452406446476128]","[61.48148148148148, 74.07407407407408, 74.07407407407408, 74.07407407407408, 60.74074074074074]","[83.0, 100.0, 100.0, 100.0, 82.0]","[83.0, 100.0, 100.0, 100.0, 82.0]","[52.0, 35.0, 35.0, 35.0, 53.0]","[52.0, 35.0, 35.0, 35.0, 53.0]"
KNN,baseline,"[0.0, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335]","[0.17037037037037037, 0.15555555555555556, 0.14074074074074075, 0.14074074074074075, 0.14814814814814814]","[100.0, 99.66666666666667, 99.66666666666667, 99.66666666666667, 99.66666666666667]","[1.0, 0.996658835417456, 0.9966596592968467, 0.9966586586280239, 0.99665934109156]","[0.7898533635676492, 0.7867916108879964, 0.794215729673897, 0.8070971717558064, 0.7905185185185185]","[82.96296296296296, 84.44444444444444, 85.92592592592592, 85.92592592592592, 85.18518518518519]","[112.0, 114.0, 116.0, 116.0, 115.0]","[112.0, 114.0, 116.0, 116.0, 115.0]","[23.0, 21.0, 19.0, 19.0, 20.0]","[23.0, 21.0, 19.0, 19.0, 20.0]"
KNN,batch normalisation,"[0.14666666666666667, 0.13333333333333333, 0.15, 0.15666666666666668, 0.17]","[0.48148148148148145, 0.3925925925925926, 0.45925925925925926, 0.4148148148148148, 0.4666666666666667]","[85.33333333333334, 86.66666666666667, 85.0, 84.33333333333334, 83.0]","[0.8408359456635319, 0.8559237600173274, 0.842985725679129, 0.8349558090159482, 0.8201800159507805]","[0.5439937291789143, 0.6162990224990366, 0.5660035749293664, 0.5991419991419992, 0.5580246913580247]","[51.85185185185185, 60.74074074074074, 54.074074074074076, 58.51851851851851, 53.333333333333336]","[70.0, 82.0, 73.0, 79.0, 72.0]","[70.0, 82.0, 73.0, 79.0, 72.0]","[65.0, 53.0, 62.0, 56.0, 63.0]","[65.0, 53.0, 62.0, 56.0, 63.0]"
