column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,405.0,113.1852,79.6737,16.0,32.0,128.0,128.0,256.0,0.6719
learning_rate,405.0,0.007,0.0092,0.0005,0.0005,0.0044,0.0091,0.035,1.7237
number_of_epochs,405.0,146.6667,66.9713,60.0,80.0,140.0,200.0,280.0,0.1968
number_of_hidden_layers,405.0,2.963,1.2028,2.0,2.0,2.0,4.0,6.0,0.9721
avg_number_of_neurons,405.0,103.7037,43.0493,16.0,64.0,112.0,144.0,176.0,-0.2678
min_number_of_neurons,405.0,51.5556,42.7935,16.0,16.0,32.0,80.0,160.0,1.235
max_number_of_neurons,405.0,158.8148,70.8322,16.0,96.0,160.0,224.0,256.0,-0.2213
total_number_of_neurons,405.0,316.4444,187.8023,32.0,160.0,304.0,400.0,736.0,0.5996
depth_to_width_ratio,405.0,0.036,0.0244,0.0114,0.0194,0.0296,0.0446,0.125,1.989
batch_size_to_dataset_ratio,405.0,0.2142,0.3809,0.003,0.0173,0.0712,0.2029,2.6122,3.1562
number_of_features,405.0,13.0716,5.3099,2.0,9.0,12.0,18.0,24.0,0.0996
proportion_of_numeric_features,405.0,0.8593,0.2272,0.0,0.7368,1.0,1.0,1.0,-1.5532
number_of_instances,405.0,2857.6691,3593.6511,88.0,501.0,1359.0,4191.0,18905.0,2.3341
number_of_classes,405.0,4.3432,2.5781,2.0,2.0,3.0,5.0,11.0,1.1746
ratio_of_instances_to_features,405.0,249.4019,415.4618,5.4444,45.0,112.0,294.95,3781.0,4.8463
ratio_of_classes_to_features,405.0,0.434,0.4457,0.0952,0.1875,0.2778,0.5,3.3333,3.341
ratio_of_instances_to_classes,405.0,1078.7553,1803.6985,13.4,113.3333,313.6667,1109.0,9452.5,2.7728
ratio_of_min_to_max_instances_per_class,405.0,0.5866,0.3729,0.0028,0.1853,0.7436,0.9306,1.0,-0.3644
proportion_of_features_with_outliers,405.0,0.5371,0.37,0.0,0.2,0.5556,0.9,1.0,-0.1562
average_mutual_information,405.0,0.1209,0.1427,0.0022,0.0365,0.0648,0.158,0.8033,2.8396
minimum_mutual_information,405.0,0.0146,0.0242,0.0,0.0,0.001,0.0167,0.103,1.8014
maximum_mutual_information,405.0,0.3123,0.3013,0.0069,0.1067,0.1923,0.4155,1.303,1.6872
equivalent_number_of_features,405.0,1.1418,0.2031,1.0022,1.0371,1.0669,1.1712,2.2329,3.5428
noise_to_signal_ratio_of_features,405.0,1.9484,6.7798,-0.9069,-0.5605,0.1323,1.276,72.4841,6.2542
avg_learning_slope,405.0,-0.0022,0.002,-0.0085,-0.0032,-0.0017,-0.0005,0.0005,-1.1295
std_learning_slope,405.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0003,0.0011,1.7386
avg_validation_gap,405.0,0.1076,0.1255,-0.0269,0.0196,0.0558,0.1647,0.6283,1.8008
std_validation_gap,405.0,0.0226,0.0248,0.0,0.0059,0.0152,0.028,0.1423,2.0234
avg_first_overfit_epoch,405.0,35.6563,41.4229,3.6,14.8,22.4,37.4,280.0,3.32
std_first_overfit_epoch,405.0,16.2068,19.0056,0.0,6.0008,8.8119,14.2745,95.7455,2.2678
avg_first_stay_epoch,405.0,6.6936,4.6412,2.0,3.1,5.2,9.1,33.6,1.6027
std_first_stay_epoch,405.0,1.6633,1.6286,0.0,0.6325,1.1874,2.3152,12.7472,2.3937
avg_percentage_weights_near_zero,405.0,27.6758,15.9663,5.4399,14.7841,24.816,38.3328,67.5389,0.6305
std_percentage_weights_near_zero,405.0,1.2339,1.0572,0.1874,0.5621,0.9157,1.5471,8.4945,2.721
avg_avg_weights,405.0,0.1677,0.1221,0.0434,0.0866,0.132,0.2228,0.7261,2.1708
std_avg_weights,405.0,0.0113,0.0143,0.0001,0.0018,0.0051,0.0144,0.0641,1.811
