Administrative_Duration,Informational,Informational_Duration,ProductRelated,Month,OperatingSystems,Browser,TrafficType,VisitorType,Weekend,target
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.6962181738562767,2,-1.2397757402907557,-0.7940171892718674,-0.7653211228175031,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.673792537265417,2,-0.1369798135909032,-0.20923684923667896,-0.5163474760976794,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.6962181738562767,2,2.068612039808802,-0.7940171892718674,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.673792537265417,2,0.9658161131089493,-0.20923684923667896,-0.01840018265803205,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.4943874445385388,2,0.9658161131089493,0.37554349079850946,-0.01840018265803205,2,1,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.2925567152208009,2,-0.1369798135909032,-0.20923684923667896,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.6962181738562767,2,-0.1369798135909032,0.9603238308336979,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.7186438104471365,2,-1.2397757402907557,-0.20923684923667896,0.2305734640617916,2,1,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.673792537265417,2,-0.1369798135909032,-0.20923684923667896,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.6513669006745572,2,-0.1369798135909032,0.9603238308336979,-0.5163474760976794,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.6513669006745572,2,-1.2397757402907557,-0.7940171892718674,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.3598336249933802,2,-1.2397757402907557,-0.7940171892718674,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.5616643543111182,2,-1.2397757402907557,-0.7940171892718674,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.5840899909019779,2,-0.1369798135909032,1.5451041708688862,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.673792537265417,2,0.9658161131089493,-0.20923684923667896,-0.2673738293778557,2,0,1
-0.16140180635669346,-0.39882420493502,-0.24625722697292296,-0.20285416885736182,2,-1.2397757402907557,-0.7940171892718674,-0.2673738293778557,2,0,1
-0.46001930761763143,-0.39882420493502,-0.24625722697292296,-0.6962181738562767,2,-1.2397757402907557,-0.7940171892718674,-0.2673738293778557,2,0,1
