column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,405.0,0.0,1.0012,-1.0786,-0.8832,-0.4923,0.2896,1.8532,0.8902
learning_rate,405.0,-0.0,1.0012,-0.9343,-0.9343,-0.2149,0.9159,2.013,0.6116
number_of_epochs,405.0,0.0,1.0012,-1.2569,-0.9854,-0.1709,0.915,2.001,0.3723
number_of_hidden_layers,405.0,-0.0,1.0012,-0.921,-0.921,-0.921,1.1332,1.4843,0.3173
avg_number_of_neurons,405.0,-0.0,1.0012,-2.0746,-0.7775,-0.0208,0.6818,2.4653,-0.0284
min_number_of_neurons,405.0,-0.0,1.0012,-1.3419,-1.3419,0.0633,0.9021,1.8682,0.027
max_number_of_neurons,405.0,0.0,1.0012,-2.2286,-1.0759,0.0768,0.7685,1.2296,-0.5156
total_number_of_neurons,405.0,0.0,1.0012,-2.1767,-0.7156,0.0705,0.695,1.9907,-0.0543
depth_to_width_ratio,405.0,-0.0,1.0012,-1.8125,-1.0454,0.0351,0.6017,2.2395,0.173
batch_size_to_dataset_ratio,405.0,0.0154,1.0049,-0.9992,-0.8711,-0.3826,0.7375,2.0933,0.8268
number_of_features,405.0,-0.0185,0.9996,-2.0934,-0.8485,0.0408,0.7521,1.8192,-0.1445
proportion_of_numeric_features,405.0,0.0003,1.0014,-1.8588,-0.9304,0.81,0.81,0.81,-0.6772
number_of_instances,405.0,-0.0223,0.9997,-2.0233,-0.8062,-0.0259,0.7155,1.9389,-0.0351
number_of_classes,405.0,-0.0146,0.9966,-1.3216,-0.6124,-0.1026,0.8664,1.6,0.0829
ratio_of_instances_to_features,405.0,-0.0157,1.0064,-2.4167,-0.7388,-0.0105,0.72,2.5089,0.017
ratio_of_classes_to_features,405.0,-0.0012,1.002,-1.4759,-0.942,0.0463,0.7814,2.172,0.2403
ratio_of_instances_to_classes,405.0,-0.0135,0.9998,-2.2426,-0.8093,-0.0951,0.8692,1.9796,0.0098
ratio_of_min_to_max_instances_per_class,405.0,0.0032,0.9995,-1.5408,-1.1161,0.4864,0.8675,1.0476,-0.428
proportion_of_features_with_outliers,405.0,-0.0032,1.0004,-1.3081,-1.0058,0.0519,0.9319,1.4119,0.0903
average_mutual_information,405.0,-0.0022,1.0008,-1.5962,-0.8128,-0.2528,0.8441,1.9293,0.3604
minimum_mutual_information,405.0,-0.0036,1.0016,-0.7741,-0.7741,-0.54,0.6273,2.0534,1.0041
maximum_mutual_information,405.0,-0.0034,1.0003,-1.7647,-0.9177,-0.1161,0.9528,1.7945,0.2035
equivalent_number_of_features,405.0,-0.0021,1.0006,-1.4615,-0.816,-0.3096,0.8163,1.9918,0.5082
noise_to_signal_ratio_of_features,405.0,0.0047,1.0015,-1.5894,-0.8907,0.0515,0.7313,2.2286,0.2926
avg_learning_slope,405.0,-0.0038,1.0008,-1.9835,-0.7593,0.0712,0.9069,1.983,-0.1882
std_learning_slope,405.0,-0.0085,1.0028,-1.8948,-0.7883,-0.0675,0.7887,2.3071,0.2412
avg_validation_gap,405.0,0.0049,0.9999,-2.1192,-0.8391,-0.2567,0.9,1.9634,0.4092
std_validation_gap,405.0,0.0156,1.0057,-1.5786,-0.8696,-0.0453,0.6864,2.1348,0.3398
avg_first_overfit_epoch,405.0,0.0019,1.0199,-2.9567,-0.616,-0.0345,0.624,2.4151,-0.0144
std_first_overfit_epoch,405.0,-0.0063,1.0163,-4.1653,-0.605,-0.1361,0.4608,2.6819,-0.0746
avg_first_stay_epoch,405.0,0.0014,1.0091,-1.5778,-0.8543,-0.039,0.8324,2.4696,0.0682
std_first_stay_epoch,405.0,-0.0066,1.0125,-1.8979,-0.6863,-0.0383,0.7773,2.8403,0.0343
avg_percentage_weights_near_zero,405.0,0.0108,1.0023,-2.1256,-0.7692,0.0556,0.8036,1.9083,-0.0715
std_percentage_weights_near_zero,405.0,-0.0082,1.0018,-2.0744,-0.8051,-0.1197,0.7061,2.2021,0.2039
avg_avg_weights,405.0,-0.0114,1.0005,-1.695,-0.7399,-0.0893,0.6513,2.1731,0.2567
std_avg_weights,405.0,-0.013,0.9963,-1.3846,-0.8705,-0.2851,0.7995,1.9762,0.4505
