dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0.21402336109506728,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.27271757857470164,3,2,3,3,0.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.3755803214214401,2,1,3,2,0.0,0,1,0,0,0,0,0,0
Agaricus Lepiota,-0.35789179622548034,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.49130090712402064,3,1,3,3,0.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.16725341045196446,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.5417432137123251,2,1,3,2,0.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.5485301819989962,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.6701418123007363,3,2,3,3,0.0,0,1,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.3755803214214401,2,2,3,2,0.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.7859385184156149,0,4.0,-0.8568119620232334,3,0,4.0,1.0060660037487223,-0.27271757857470164,2,2,3,2,0.0,0,1,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,0,0.0,-0.8568119620232334,0,0,1.0,0.9940622896416454,-0.3976223377457411,2,0,3,2,0.0,0,1,0,1,0,0,0,1
Agaricus Lepiota,1.3578536757361626,0,2.0,-0.8568119620232334,1,0,3.0,1.0029984469105668,-0.3976223377457411,2,1,3,2,0.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,0,3.0,-0.8568119620232334,1,0,3.0,1.006561598226656,-0.3976223377457411,2,1,3,2,0.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,0,3.0,-0.8568119620232334,2,0,3.0,1.0059689496733317,-0.5225270969167807,2,1,3,2,0.0,0,0,0,1,0,0,0,0
