dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0.21402336109506728,-1.2030245678201315,1.2284230921636305,-0.8568119620232334,1.0532118982851228,-1.0666182802646245,1.54404046666794,1.0060660037487223,-0.27271757857470164,0.9242860776558497,0.24747076290103157,1.1377783191101423,0.902189307453401,-0.4581851159614943,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,-1.3703305580750869,1.2284230921636305,-0.8568119620232334,0.9432462396254753,-1.21730209174935,1.54404046666794,1.0060660037487223,-0.3755803214214401,0.742481535571439,-0.15533198615762792,1.1408324659045623,0.7041982203178344,-0.4571488859676777,0,1,0,0,0,0,0,0
Agaricus Lepiota,-0.35789179622548034,-1.2460496391021871,1.2284230921636305,-0.8568119620232334,1.2511997490345919,-0.7736087824065351,1.54404046666794,1.0060660037487223,-0.49130090712402064,1.0719421552858934,-0.15533198615762792,1.1388656760749274,1.066278565737119,-0.45260451794802137,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.16725341045196446,-1.1612289042273316,1.2284230921636305,-0.8568119620232334,1.1798941049380658,-0.8821619189937336,1.54404046666794,1.0060660037487223,-0.5417432137123251,0.6151356392048677,-0.15533198615762792,1.1376093153272717,0.5682688706573318,-0.4334738609333605,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.5485301819989962,-1.1008681628944863,1.2284230921636305,-0.8568119620232334,1.3290779936427728,-0.6515318156739525,1.54404046666794,1.0060660037487223,-0.6701418123007363,1.0281599388664153,0.24747076290103157,1.139618749307208,1.017330110192559,-0.4450163207515552,0,1,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,-1.068540757871818,1.2284230921636305,-0.8568119620232334,0.9432462396254753,-1.21730209174935,1.54404046666794,1.0060660037487223,-0.3755803214214401,0.7622526431932009,0.24747076290103157,1.1374826109314153,0.7255064248044105,-0.45797173916707423,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.7859385184156149,-1.1730439052123693,1.2284230921636305,-0.8568119620232334,0.8932871454052229,-1.2827143351113353,1.54404046666794,1.0060660037487223,-0.27271757857470164,0.776101517860992,0.24747076290103157,1.1368270271085064,0.7404646407455133,-0.461417994750854,0,1,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,-1.275400035725271,-0.8859778807730099,-0.8568119620232334,-2.2360755181983114,-1.448395608305088,-0.6485125211681582,0.9940622896416454,-0.3976223377457411,0.7035264837323517,-0.718357016874347,1.1561510646924127,0.6623753658207637,-0.46594259465709253,0,1,0,1,0,0,0,1
Agaricus Lepiota,1.3578536757361626,-1.275400035725271,-0.5357006111600122,-0.8568119620232334,-0.6435580035365223,-1.448395608305088,-0.2852883816169973,1.0029984469105668,-0.3976223377457411,0.6266558047011249,-0.25444274871551564,1.1262891152701997,0.5804717411598355,-0.46317803001271113,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,-1.275400035725271,-0.320227018034441,-0.8568119620232334,-0.29695566223378944,-1.448395608305088,-0.06185050183249535,1.006561598226656,-0.3976223377457411,0.6689249761399019,-0.46409274185338106,1.1413802629253738,0.6254055574377191,-0.46471358433701915,0,0,0,1,0,0,0,0
