column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,0.0,1.001,-2.074,-0.739,0.023,0.786,1.93
proportion_of_numeric_features,375.0,2.08,1.156,0.0,1.0,3.0,3.0,3.0
number_of_instances,375.0,-0.0,1.001,-2.211,-0.682,-0.001,0.784,2.159
number_of_classes,375.0,-0.0,1.001,-1.12,-1.12,-0.19,1.014,1.603
ratio_of_instances_to_features,375.0,-0.0,1.001,-2.429,-0.665,0.022,0.698,2.863
ratio_of_classes_to_features,375.0,-0.0,1.001,-1.579,-0.847,-0.175,0.762,2.245
ratio_of_instances_to_classes,375.0,-0.0,1.001,-2.636,-0.616,-0.096,0.79,2.158
ratio_of_min_to_max_instances_per_class,375.0,-0.0,1.001,-1.372,-1.102,-0.013,0.999,1.184
proportion_of_features_with_outliers,375.0,-0.0,1.001,-1.147,-1.035,-0.327,1.013,1.476
average_mutual_information,375.0,0.0,1.001,-1.576,-0.787,-0.095,0.807,1.987
minimum_mutual_information,375.0,0.504,0.501,0.0,0.0,1.0,1.0,1.0
maximum_mutual_information,375.0,0.0,1.001,-1.626,-0.797,-0.292,1.022,1.764
equivalent_number_of_features,375.0,-0.0,1.001,-2.719,-0.58,0.044,0.679,2.187
noise_to_signal_ratio_of_features,375.0,-0.0,1.001,-1.753,-0.913,0.032,0.714,2.154
