column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,13.877,5.253,3.0,10.0,14.0,18.0,24.0
proportion_of_numeric_features,375.0,0.813,0.271,0.0,0.682,1.0,1.0,1.0
number_of_instances,375.0,3494.757,3773.478,87.0,894.5,2087.0,5000.0,18905.0
number_of_classes,375.0,4.211,2.584,2.0,2.0,3.0,6.0,10.0
ratio_of_instances_to_features,375.0,302.473,479.528,5.389,68.409,161.333,360.455,3781.0
ratio_of_classes_to_features,375.0,0.381,0.4,0.083,0.158,0.25,0.455,3.333
ratio_of_instances_to_classes,375.0,1256.386,1819.487,10.875,233.175,483.0,1607.25,9452.5
ratio_of_min_to_max_instances_per_class,375.0,0.538,0.391,0.003,0.108,0.533,0.928,1.0
proportion_of_features_with_outliers,375.0,0.437,0.382,0.0,0.043,0.312,0.824,1.0
average_mutual_information,375.0,0.129,0.154,0.003,0.037,0.077,0.16,0.736
minimum_mutual_information,375.0,0.019,0.046,0.0,0.0,0.0,0.015,0.266
maximum_mutual_information,375.0,0.347,0.335,0.01,0.106,0.185,0.566,1.265
equivalent_number_of_features,375.0,1.153,0.214,1.003,1.037,1.08,1.173,2.088
noise_to_signal_ratio_of_features,375.0,1.571,5.045,-0.929,-0.59,-0.009,0.995,36.239
batch_size,375.0,129.92,87.556,16.0,64.0,128.0,256.0,256.0
learning_rate,375.0,0.006,0.008,0.0,0.0,0.002,0.005,0.035
number_of_epochs,375.0,168.0,72.54,60.0,100.0,160.0,220.0,300.0
number_of_hidden_layers,375.0,3.16,1.224,2.0,2.0,3.0,4.0,6.0
avg_number_of_neurons,375.0,104.267,44.807,16.0,80.0,112.0,122.667,212.0
min_number_of_neurons,375.0,46.08,38.0,16.0,16.0,32.0,64.0,144.0
max_number_of_neurons,375.0,160.64,69.979,16.0,96.0,160.0,224.0,256.0
