work_year,target,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location
0.933090760892103,4,84,-0.16136692109042466,7,342,26,1.0282812738738005,25
0.933090760892103,3,66,-0.22325721148881794,19,89,75,1.0282812738738005,70
0.933090760892103,3,66,-0.22882733762467333,19,75,75,1.0282812738738005,70
0.933090760892103,4,47,-0.04377536933347743,19,757,11,1.0282812738738005,12
0.933090760892103,4,47,-0.11185468877171004,19,509,11,1.0282812738738005,12
0.933090760892103,4,8,0.014649064802605825,19,914,75,-1.04837274073339,70
0.933090760892103,4,8,-0.09204979584422418,19,591,75,-1.04837274073339,70
0.933090760892103,4,47,0.010688086217108655,19,906,11,-1.04837274073339,12
0.933090760892103,4,47,-0.08586076680438486,19,619,11,-1.04837274073339,12
0.933090760892103,4,47,-0.07831015137578087,19,649,75,-1.04837274073339,70
0.933090760892103,4,47,-0.1481223989451685,19,357,75,-1.04837274073339,70
0.933090760892103,4,25,-0.09947663069203137,19,563,75,1.0282812738738005,70
0.933090760892103,4,25,-0.13661080493106734,19,402,75,1.0282812738738005,70
0.933090760892103,1,8,0.004078203202560254,19,893,75,-1.04837274073339,70
0.933090760892103,1,8,-0.0985358982779758,19,569,75,-1.04837274073339,70
0.933090760892103,4,38,-0.07831015137578087,19,649,75,-1.04837274073339,70
0.933090760892103,4,38,-0.1481223989451685,19,357,75,-1.04837274073339,70
0.933090760892103,4,47,-0.04996439837331675,19,738,75,-1.04837274073339,70
0.933090760892103,4,47,-0.07472051453267407,19,663,75,-1.04837274073339,70
0.933090760892103,3,25,-0.07472051453267407,19,663,75,1.0282812738738005,70
0.933090760892103,3,25,-0.12423274685138869,19,460,75,1.0282812738738005,70
0.933090760892103,4,88,0.08000521146330912,19,984,20,-1.04837274073339,20
0.933090760892103,4,88,-0.045013175141445295,19,755,20,-1.04837274073339,20
0.933090760892103,4,4,0.024303950104755178,19,927,29,1.0282812738738005,28
0.933090760892103,4,4,-0.08313759402685555,19,632,29,1.0282812738738005,28
0.933090760892103,4,18,0.01811492106491585,19,919,75,-1.04837274073339,70
0.933090760892103,4,18,-0.06679855736167972,19,691,75,-1.04837274073339,70
0.933090760892103,4,69,-0.012830224134280789,19,851,75,-1.04837274073339,70
0.933090760892103,4,69,-0.09947663069203137,19,563,75,-1.04837274073339,70
0.933090760892103,4,50,-0.148988863010746,19,355,11,-1.04837274073339,12
0.933090760892103,4,50,-0.17126936755416758,19,277,11,-1.04837274073339,12
0.933090760892103,4,33,0.05302104484960966,19,963,75,-1.04837274073339,70
