target,salary_currency,employee_residence,remote_ratio,company_location,company_size
4,7,26,1.0282812738738005,25,0
3,19,75,1.0282812738738005,70,2
3,19,75,1.0282812738738005,70,2
4,19,11,1.0282812738738005,12,1
4,19,11,1.0282812738738005,12,1
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,0
4,19,11,-1.04837274073339,12,1
4,19,11,-1.04837274073339,12,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
1,19,75,-1.04837274073339,70,0
1,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,1.0282812738738005,70,1
3,19,75,1.0282812738738005,70,1
4,19,20,-1.04837274073339,20,1
4,19,20,-1.04837274073339,20,1
4,19,29,1.0282812738738005,28,1
4,19,29,1.0282812738738005,28,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,11,-1.04837274073339,12,1
4,19,11,-1.04837274073339,12,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
1,19,56,1.0282812738738005,53,0
1,19,56,1.0282812738738005,53,0
3,12,39,-0.010045733429794819,38,0
1,19,75,-1.04837274073339,70,0
1,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
3,9,32,-1.04837274073339,31,0
4,19,63,1.0282812738738005,70,1
3,7,39,1.0282812738738005,20,2
1,19,39,-0.010045733429794819,38,0
3,7,57,1.0282812738738005,54,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,7,26,-1.04837274073339,25,1
4,7,26,-1.04837274073339,25,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
1,19,75,-1.04837274073339,70,1
1,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
1,19,75,-0.010045733429794819,70,0
1,3,13,1.0282812738738005,14,2
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,0
3,19,75,1.0282812738738005,70,1
3,19,75,1.0282812738738005,70,1
1,19,75,-1.04837274073339,70,1
1,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
1,19,75,-1.04837274073339,70,1
1,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,-0.010045733429794819,70,0
3,12,39,1.0282812738738005,38,0
3,8,29,-1.04837274073339,28,1
3,8,29,-1.04837274073339,28,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,8,12,1.0282812738738005,13,1
4,8,12,1.0282812738738005,13,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
3,8,29,-1.04837274073339,28,1
3,8,29,-1.04837274073339,28,1
2,19,56,-1.04837274073339,12,1
3,8,29,1.0282812738738005,28,1
3,8,29,1.0282812738738005,28,1
1,19,75,1.0282812738738005,70,1
1,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,7,28,-0.010045733429794819,27,2
2,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
3,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,11,-1.04837274073339,12,1
4,19,11,-1.04837274073339,12,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
1,12,39,1.0282812738738005,38,0
4,0,5,1.0282812738738005,26,1
3,16,27,-1.04837274073339,26,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
3,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,7,26,1.0282812738738005,28,0
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,1
4,19,75,-1.04837274073339,70,0
4,19,75,-1.04837274073339,70,0
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,-1.04837274073339,70,0
2,19,75,-1.04837274073339,70,1
2,19,75,-1.04837274073339,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
4,19,75,1.0282812738738005,70,1
