work_year,target,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0.858770767940709,3,0,10,-0.13180456948315594,8,84,15,1.0618170695213294,15,1
0.858770767940709,3,0,7,-0.11775330653017568,8,90,15,1.0618170695213294,15,1
-0.5649807683818324,2,0,10,-0.20043958467655945,8,51,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,2,-0.14963886476963087,8,76,15,1.0618170695213294,15,0
0.858770767940709,2,0,7,-0.2761002313464531,8,14,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,7,-0.2670209537460659,8,16,15,1.0618170695213294,15,1
-0.5649807683818324,2,0,20,-0.2011961911432584,8,50,15,-0.9807623313899303,15,1
0.858770767940709,1,0,7,-0.25988723563147587,8,19,15,-0.9807623313899303,15,1
-1.9887323047043737,1,1,6,-0.21124824848654425,1,2,3,0.04052736906569952,4,0
-0.5649807683818324,3,0,8,-0.19719698553356402,8,52,10,-0.9807623313899303,11,0
-0.5649807683818324,2,0,1,-0.24907857182149107,8,29,15,1.0618170695213294,15,1
-0.5649807683818324,3,0,1,-0.21530149741528856,8,42,15,1.0618170695213294,15,1
-0.5649807683818324,3,0,20,-0.2706958994414607,8,15,0,1.0618170695213294,0,2
-1.9887323047043737,1,1,0,-0.32798181763438017,8,0,11,1.0618170695213294,15,1
-0.5649807683818324,3,0,13,-0.14639626562663544,8,77,15,-0.9807623313899303,15,0
-0.5649807683818324,3,0,13,-0.1434238830788896,8,78,15,1.0618170695213294,15,1
0.858770767940709,3,0,13,-0.05992695514675697,8,98,15,-0.9807623313899303,15,1
0.858770767940709,2,0,13,0.5669755458323618,7,3,14,0.04052736906569952,14,0
0.858770767940709,3,0,7,-0.12477893800666581,8,87,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,10,-0.126075977663864,8,86,15,-0.9807623313899303,15,1
0.858770767940709,3,0,1,-0.21124824848654425,8,43,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,13,-0.12646508956102345,8,85,15,-0.9807623313899303,15,0
-0.5649807683818324,1,0,5,-0.2869088951564379,8,9,7,1.0618170695213294,1,0
0.858770767940709,3,0,10,-0.1749311380849953,8,69,15,-0.9807623313899303,15,1
0.858770767940709,2,0,9,-0.15990709538911643,8,71,15,-0.9807623313899303,15,1
0.858770767940709,3,0,10,-0.3031218908714151,2,5,12,-0.9807623313899303,12,1
0.858770767940709,3,0,14,-0.21665258039153668,2,46,2,-0.9807623313899303,3,0
0.858770767940709,3,0,25,-0.13654957289573927,8,83,15,-0.9807623313899303,15,1
0.858770767940709,2,0,10,-0.17925460360898923,8,67,15,-0.9807623313899303,15,1
0.858770767940709,2,0,15,-0.26529156753646826,3,30,6,1.0618170695213294,7,1
-0.5649807683818324,2,0,5,-0.17882225705658983,8,68,15,1.0618170695213294,15,0
-0.5649807683818324,3,0,16,4.479711845046862,4,13,7,-0.9807623313899303,8,0
-3.412483841026915,3,0,24,-0.20043958467655945,2,66,2,1.0618170695213294,3,1
-0.5649807683818324,3,0,13,-0.15720492943662023,8,73,15,1.0618170695213294,15,1
-0.5649807683818324,2,0,7,-0.19503525277156705,8,54,15,1.0618170695213294,15,1
0.858770767940709,3,0,8,-0.16801359324660503,8,70,15,1.0618170695213294,15,1
0.858770767940709,3,0,7,-0.11564561708722865,8,91,15,1.0618170695213294,15,1
-0.5649807683818324,3,0,13,-0.21124824848654425,8,43,15,-0.9807623313899303,15,0
-0.5649807683818324,3,0,13,-0.2335573305903529,8,34,15,1.0618170695213294,15,1
0.858770767940709,3,0,13,-0.2631298347744713,2,22,9,-0.9807623313899303,10,1
-0.5649807683818324,2,0,13,-0.18509128206638104,8,62,15,1.0618170695213294,15,1
0.858770767940709,3,0,13,-0.18855005448557616,8,58,1,-0.9807623313899303,2,1
0.858770767940709,3,0,13,-0.22746124420152147,8,37,15,-0.9807623313899303,15,1
0.858770767940709,3,0,10,-0.15720492943662023,8,73,15,1.0618170695213294,15,1
-0.5649807683818324,1,0,13,-0.23286557610651387,8,35,15,1.0618170695213294,15,1
-0.5649807683818324,3,0,7,-0.24918665845959093,8,28,15,1.0618170695213294,15,1
-1.9887323047043737,1,0,20,-0.253402037345485,8,25,15,0.04052736906569952,15,2
0.858770767940709,3,0,21,-0.15720492943662023,8,73,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,13,-0.1539623302936248,8,75,15,1.0618170695213294,15,1
-0.5649807683818324,3,0,10,-0.09235294657671139,8,94,15,-0.9807623313899303,15,0
0.858770767940709,3,0,20,-0.1368846414738488,8,82,15,1.0618170695213294,15,1
-0.5649807683818324,2,0,7,-0.10726890263449043,8,92,15,-0.9807623313899303,15,1
0.858770767940709,3,0,10,-0.05452262324176457,8,100,15,-0.9807623313899303,15,1
-0.5649807683818324,2,0,17,-0.23481113559231115,8,33,15,1.0618170695213294,15,0
0.858770767940709,3,0,3,-0.05722478919426077,8,99,15,-0.9807623313899303,15,0
-0.5649807683818324,3,0,10,-0.14012724061684423,8,79,1,1.0618170695213294,2,1
0.858770767940709,3,0,10,-0.22313777867752754,8,38,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,7,-0.20152045105755795,8,49,15,-0.9807623313899303,15,1
-0.5649807683818324,3,0,19,-0.23286557610651387,0,21,1,1.0618170695213294,2,1
-0.5649807683818324,3,0,12,-0.1927211178498493,8,55,15,1.0618170695213294,15,1
0.858770767940709,3,0,7,-0.23935077439250477,8,32,15,-0.9807623313899303,15,1
