work_year,target,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0.933090760892103,4,84,7,342,26,1.0282812738738005,25,0
0.933090760892103,3,66,19,89,75,1.0282812738738005,70,2
0.933090760892103,3,66,19,75,75,1.0282812738738005,70,2
0.933090760892103,4,47,19,757,11,1.0282812738738005,12,1
0.933090760892103,4,47,19,509,11,1.0282812738738005,12,1
0.933090760892103,4,8,19,914,75,-1.04837274073339,70,0
0.933090760892103,4,8,19,591,75,-1.04837274073339,70,0
0.933090760892103,4,47,19,906,11,-1.04837274073339,12,1
0.933090760892103,4,47,19,619,11,-1.04837274073339,12,1
0.933090760892103,4,47,19,649,75,-1.04837274073339,70,1
0.933090760892103,4,47,19,357,75,-1.04837274073339,70,1
0.933090760892103,4,25,19,563,75,1.0282812738738005,70,1
0.933090760892103,4,25,19,402,75,1.0282812738738005,70,1
0.933090760892103,1,8,19,893,75,-1.04837274073339,70,0
0.933090760892103,1,8,19,569,75,-1.04837274073339,70,0
0.933090760892103,4,38,19,649,75,-1.04837274073339,70,1
0.933090760892103,4,38,19,357,75,-1.04837274073339,70,1
0.933090760892103,4,47,19,738,75,-1.04837274073339,70,1
0.933090760892103,4,47,19,663,75,-1.04837274073339,70,1
0.933090760892103,3,25,19,663,75,1.0282812738738005,70,1
0.933090760892103,3,25,19,460,75,1.0282812738738005,70,1
0.933090760892103,4,88,19,984,20,-1.04837274073339,20,1
0.933090760892103,4,88,19,755,20,-1.04837274073339,20,1
0.933090760892103,4,4,19,927,29,1.0282812738738005,28,1
0.933090760892103,4,4,19,632,29,1.0282812738738005,28,1
0.933090760892103,4,18,19,919,75,-1.04837274073339,70,1
0.933090760892103,4,18,19,691,75,-1.04837274073339,70,1
0.933090760892103,4,69,19,851,75,-1.04837274073339,70,1
0.933090760892103,4,69,19,563,75,-1.04837274073339,70,1
0.933090760892103,4,50,19,355,11,-1.04837274073339,12,1
0.933090760892103,4,50,19,277,11,-1.04837274073339,12,1
0.933090760892103,4,33,19,963,75,-1.04837274073339,70,1
0.933090760892103,4,33,19,357,75,-1.04837274073339,70,1
0.933090760892103,4,23,19,1019,75,-1.04837274073339,70,1
0.933090760892103,4,23,19,795,75,-1.04837274073339,70,1
0.933090760892103,3,33,19,715,75,-1.04837274073339,70,1
0.933090760892103,3,33,19,563,75,-1.04837274073339,70,1
0.933090760892103,3,25,19,436,75,-1.04837274073339,70,1
0.933090760892103,3,25,19,238,75,-1.04837274073339,70,1
0.933090760892103,1,41,19,402,56,1.0282812738738005,53,0
0.933090760892103,1,22,19,89,56,1.0282812738738005,53,0
-0.4019626865857902,3,69,12,57,39,-0.010045733429794819,38,0
0.933090760892103,1,8,19,867,75,-1.04837274073339,70,0
0.933090760892103,1,8,19,465,75,-1.04837274073339,70,0
0.933090760892103,4,33,19,981,75,-1.04837274073339,70,1
0.933090760892103,4,33,19,912,75,-1.04837274073339,70,1
0.933090760892103,4,47,19,888,75,1.0282812738738005,70,1
0.933090760892103,4,47,19,797,75,1.0282812738738005,70,1
0.933090760892103,4,47,19,974,75,1.0282812738738005,70,1
