work_year,target,employment_type,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_size
0.933090760892103,4,2,7,342,26,1.0282812738738005,0
0.933090760892103,3,0,19,89,75,1.0282812738738005,2
0.933090760892103,3,0,19,75,75,1.0282812738738005,2
0.933090760892103,4,2,19,757,11,1.0282812738738005,1
0.933090760892103,4,2,19,509,11,1.0282812738738005,1
0.933090760892103,4,2,19,914,75,-1.04837274073339,0
0.933090760892103,4,2,19,591,75,-1.04837274073339,0
0.933090760892103,4,2,19,906,11,-1.04837274073339,1
0.933090760892103,4,2,19,619,11,-1.04837274073339,1
0.933090760892103,4,2,19,649,75,-1.04837274073339,1
0.933090760892103,4,2,19,357,75,-1.04837274073339,1
0.933090760892103,4,2,19,563,75,1.0282812738738005,1
0.933090760892103,4,2,19,402,75,1.0282812738738005,1
0.933090760892103,1,2,19,893,75,-1.04837274073339,0
0.933090760892103,1,2,19,569,75,-1.04837274073339,0
0.933090760892103,4,2,19,649,75,-1.04837274073339,1
0.933090760892103,4,2,19,357,75,-1.04837274073339,1
0.933090760892103,4,2,19,738,75,-1.04837274073339,1
0.933090760892103,4,2,19,663,75,-1.04837274073339,1
0.933090760892103,3,2,19,663,75,1.0282812738738005,1
0.933090760892103,3,2,19,460,75,1.0282812738738005,1
0.933090760892103,4,2,19,984,20,-1.04837274073339,1
0.933090760892103,4,2,19,755,20,-1.04837274073339,1
0.933090760892103,4,2,19,927,29,1.0282812738738005,1
0.933090760892103,4,2,19,632,29,1.0282812738738005,1
0.933090760892103,4,2,19,919,75,-1.04837274073339,1
0.933090760892103,4,2,19,691,75,-1.04837274073339,1
0.933090760892103,4,2,19,851,75,-1.04837274073339,1
0.933090760892103,4,2,19,563,75,-1.04837274073339,1
0.933090760892103,4,2,19,355,11,-1.04837274073339,1
0.933090760892103,4,2,19,277,11,-1.04837274073339,1
0.933090760892103,4,2,19,963,75,-1.04837274073339,1
0.933090760892103,4,2,19,357,75,-1.04837274073339,1
0.933090760892103,4,2,19,1019,75,-1.04837274073339,1
0.933090760892103,4,2,19,795,75,-1.04837274073339,1
0.933090760892103,3,2,19,715,75,-1.04837274073339,1
0.933090760892103,3,2,19,563,75,-1.04837274073339,1
0.933090760892103,3,2,19,436,75,-1.04837274073339,1
0.933090760892103,3,2,19,238,75,-1.04837274073339,1
0.933090760892103,1,2,19,402,56,1.0282812738738005,0
0.933090760892103,1,2,19,89,56,1.0282812738738005,0
-0.4019626865857902,3,2,12,57,39,-0.010045733429794819,0
0.933090760892103,1,2,19,867,75,-1.04837274073339,0
0.933090760892103,1,2,19,465,75,-1.04837274073339,0
0.933090760892103,4,2,19,981,75,-1.04837274073339,1
0.933090760892103,4,2,19,912,75,-1.04837274073339,1
0.933090760892103,4,2,19,888,75,1.0282812738738005,1
0.933090760892103,4,2,19,797,75,1.0282812738738005,1
0.933090760892103,4,2,19,974,75,1.0282812738738005,1
0.933090760892103,4,2,19,949,75,1.0282812738738005,1
0.933090760892103,4,2,19,985,75,1.0282812738738005,1
0.933090760892103,4,2,19,791,75,1.0282812738738005,1
0.933090760892103,4,2,19,905,75,1.0282812738738005,1
0.933090760892103,4,2,19,850,75,1.0282812738738005,1
0.933090760892103,4,2,19,863,75,1.0282812738738005,1
0.933090760892103,4,2,19,528,75,1.0282812738738005,1
0.933090760892103,4,2,19,814,75,-1.04837274073339,1
0.933090760892103,4,2,19,609,75,-1.04837274073339,1
0.933090760892103,2,2,19,969,75,-1.04837274073339,1
0.933090760892103,2,2,19,797,75,-1.04837274073339,1
0.933090760892103,4,2,19,930,75,1.0282812738738005,1
0.933090760892103,4,2,19,725,75,1.0282812738738005,1
0.933090760892103,4,2,19,750,75,1.0282812738738005,1
0.933090760892103,4,2,19,463,75,1.0282812738738005,1
0.933090760892103,4,2,19,938,75,-1.04837274073339,1
0.933090760892103,4,2,19,761,75,-1.04837274073339,1
0.933090760892103,4,2,19,937,75,1.0282812738738005,1
0.933090760892103,4,2,19,856,75,1.0282812738738005,1
0.933090760892103,4,2,19,1007,75,-1.04837274073339,0
0.933090760892103,4,2,19,700,75,-1.04837274073339,0
0.933090760892103,4,2,19,481,75,-1.04837274073339,1
0.933090760892103,4,2,19,320,75,-1.04837274073339,1
0.933090760892103,4,2,19,937,75,1.0282812738738005,1
0.933090760892103,4,2,19,856,75,1.0282812738738005,1
0.933090760892103,4,2,19,987,75,-1.04837274073339,1
0.933090760892103,4,2,19,883,75,-1.04837274073339,1
0.933090760892103,4,2,19,988,75,1.0282812738738005,1
0.933090760892103,4,2,19,734,75,1.0282812738738005,1
0.933090760892103,4,2,19,830,75,1.0282812738738005,1
0.933090760892103,4,2,19,609,75,1.0282812738738005,1
0.933090760892103,3,2,9,242,32,-1.04837274073339,0
0.933090760892103,4,2,19,663,63,1.0282812738738005,1
0.933090760892103,3,2,7,268,39,1.0282812738738005,2
-0.4019626865857902,1,2,19,1004,39,-0.010045733429794819,0
0.933090760892103,3,2,7,387,57,1.0282812738738005,0
0.933090760892103,4,2,19,802,75,-1.04837274073339,1
0.933090760892103,4,2,19,561,75,-1.04837274073339,1
0.933090760892103,4,2,19,919,75,1.0282812738738005,1
0.933090760892103,4,2,19,757,75,1.0282812738738005,1
0.933090760892103,4,2,19,797,75,-1.04837274073339,1
0.933090760892103,4,2,19,613,75,-1.04837274073339,1
0.933090760892103,4,2,7,154,26,-1.04837274073339,1
0.933090760892103,4,2,7,116,26,-1.04837274073339,1
0.933090760892103,4,2,19,432,75,-1.04837274073339,1
0.933090760892103,4,2,19,270,75,-1.04837274073339,1
0.933090760892103,1,2,19,716,75,-1.04837274073339,1
0.933090760892103,1,2,19,642,75,-1.04837274073339,1
0.933090760892103,4,2,19,903,75,1.0282812738738005,1
0.933090760892103,4,2,19,797,75,1.0282812738738005,1
0.933090760892103,4,2,19,859,75,-1.04837274073339,0
0.933090760892103,4,2,19,425,75,-1.04837274073339,0
0.933090760892103,4,2,19,639,75,-1.04837274073339,1
0.933090760892103,4,2,19,240,75,-1.04837274073339,1
0.933090760892103,4,2,19,721,75,-1.04837274073339,1
0.933090760892103,4,2,19,576,75,-1.04837274073339,1
0.933090760892103,4,2,19,772,75,-1.04837274073339,1
0.933090760892103,4,2,19,374,75,-1.04837274073339,1
0.933090760892103,4,2,19,674,75,-1.04837274073339,1
0.933090760892103,4,2,19,495,75,-1.04837274073339,1
0.933090760892103,4,2,19,952,75,-1.04837274073339,1
0.933090760892103,4,2,19,582,75,-1.04837274073339,1
0.933090760892103,4,2,19,861,75,-1.04837274073339,1
0.933090760892103,4,2,19,578,75,-1.04837274073339,1
0.933090760892103,1,2,19,908,75,-0.010045733429794819,0
-0.4019626865857902,1,2,3,195,13,1.0282812738738005,2
