gender,cgpa,study_hours_per_day,attendance_percentage,projects_completed,coding_skill_rating,communication_skill_rating,hackathons_participated,certifications_count,sleep_hours,city_tier,internet_access,extracurricular_involvement,target
1,0.45650921051946936,-0.1280526076225638,-0.11624012323787426,0.7234686179803247,0.21750330087638192,-0.7341050407640285,0.191163726201095,1.223393775888155,-0.40551370993824737,1,1,2,2
0,-0.4771044336766307,1.1351417088280373,-0.32208751101687594,-0.2555365184633201,-0.5637090945375297,0.6885128790863014,0.191163726201095,-1.0239258703794276,0.11745101640768663,2,1,1,2
0,-1.3213295374709757,-1.2901913787571169,-1.2226698325500116,1.212971186202147,0.9987156962902936,-1.4454140006891936,1.443842844244037,0.0997339527543637,-0.7541568608355372,1,1,0,2
1,-0.8147944751943688,0.3266973462996528,-0.9524951360900715,0.2339660497585023,-0.5637090945375297,-1.4454140006891936,-1.061515391841847,-0.462095958812532,0.29177259185633153,0,1,1,2
1,-1.41071807787273,0.579336209589773,0.5013020400991345,-1.2345416549069648,-1.3449214899514412,1.3998218390114665,-1.061515391841847,-1.0239258703794276,-0.8413176485598592,0,1,2,2
1,-0.8147944751943688,-0.22910815293861175,1.2474988207980178,-0.2555365184633201,-0.5637090945375297,1.3998218390114665,-1.061515391841847,-0.462095958812532,1.599184407721168,0,1,2,2
1,-0.020229671623220265,-1.1386080607830447,-1.5957682228994532,-0.7450390866851424,-0.5637090945375297,-1.4454140006891936,0.191163726201095,0.6615638643212594,-1.1028000117328263,0,0,0,2
0,-1.26173717720314,-0.8354414248349004,-0.9396296743538828,0.7234686179803247,0.21750330087638192,-1.4454140006891936,0.191163726201095,1.223393775888155,-2.410211827597662,1,1,1,2
0,-0.30825941291776165,1.79200275338235,0.4498401931543831,0.7234686179803247,0.21750330087638192,1.3998218390114665,0.817503285222566,2.347053599021947,-1.3642823749057933,1,1,2,2
0,0.506169510742665,0.9330306181959415,0.6685530426695735,0.7234686179803247,0.21750330087638192,-1.4454140006891936,0.191163726201095,0.0997339527543637,0.46609416730497644,0,1,1,2
1,-1.5001066182744849,0.579336209589773,0.6042257339886353,-0.7450390866851424,-0.5637090945375297,-1.4454140006891936,-0.435175832820376,0.6615638643212594,-0.05687055904095752,0,1,1,2
0,1.3305304944477319,2.145697161988519,0.39837834620963175,1.212971186202147,0.9987156962902936,0.6885128790863014,0.817503285222566,2.347053599021947,0.8147373182022662,0,1,0,2
0,-0.10961821202497435,-0.8354414248349004,-0.16770197018262376,0.7234686179803247,0.21750330087638192,-1.4454140006891936,0.191163726201095,0.6615638643212594,0.5532549550292986,2,1,0,2
1,0.6551504114122558,-0.026997062306515603,-0.15483650844643684,-1.7240442231287871,-1.3449214899514412,-0.022796080838863534,-1.061515391841847,-1.0239258703794276,-0.6669960731112143,1,1,2,2
1,-0.14934645220353093,0.023530710351508263,-0.0905091997654986,1.212971186202147,0.9987156962902936,-0.022796080838863534,0.191163726201095,2.347053599021947,-0.49267449766256943,2,1,1,2
1,0.2876641897606003,1.2361972541440855,0.282589190583944,0.7234686179803247,0.9987156962902936,0.6885128790863014,1.443842844244037,0.0997339527543637,-0.40551370993824737,2,1,0,2
1,0.7743351319479291,-0.026997062306515603,0.5270329635715083,1.212971186202147,0.9987156962902936,-1.4454140006891936,1.443842844244037,0.6615638643212594,1.7735059831698121,0,1,2,2
1,1.1517534136442238,0.781447300221869,1.1703060503808909,0.7234686179803247,0.9987156962902936,-1.4454140006891936,0.191163726201095,1.785223687455051,0.9018981059265884,1,1,1,2
0,-1.0531639162657136,-0.481747016228732,-1.184073447341449,-1.2345416549069648,-0.5637090945375297,-1.4454140006891936,-1.061515391841847,0.0997339527543637,-0.05687055904095752,0,1,0,1
1,-0.5267647338998273,1.1856694814860618,2.4697176857358447,-1.2345416549069648,-1.3449214899514412,-0.022796080838863534,-1.6878549508633178,-1.0239258703794276,-1.0156392240085041,2,1,1,1
1,-0.675745634569418,0.3772251189576767,-0.00045096761218466834,1.212971186202147,0.9987156962902936,-0.022796080838863534,-0.435175832820376,-0.462095958812532,0.20461180413200947,0,1,1,2
1,-0.7154738747479755,-0.8354414248349004,-0.2191638171273751,0.7234686179803247,0.9987156962902936,-0.7341050407640285,0.817503285222566,1.785223687455051,-0.05687055904095752,2,1,2,2
1,0.3075283098498786,0.579336209589773,0.5527638870438839,-0.2555365184633201,0.21750330087638192,0.6885128790863014,0.191163726201095,1.223393775888155,-0.05687055904095752,0,1,2,2
0,-0.7055418147033354,-0.1280526076225638,0.025279955860190998,0.2339660497585023,0.21750330087638192,1.3998218390114665,0.191163726201095,-1.0239258703794276,-0.23119213448960244,2,1,1,1
1,-0.9041830155961228,0.4782806642737249,0.9515932008657022,-0.7450390866851424,-1.3449214899514412,0.6885128790863014,-1.061515391841847,-0.462095958812532,-2.148729464424695,1,1,1,2
1,-0.3678517731855974,-1.2396636060990927,-0.232029278863562,-1.7240442231287871,-1.3449214899514412,0.6885128790863014,-0.435175832820376,1.223393775888155,1.3377020445482002,1,1,2,2
1,0.6948786515908142,-0.27963592559663586,-1.2098043708138237,0.7234686179803247,0.9987156962902936,-0.022796080838863534,0.817503285222566,0.0997339527543637,-0.05687055904095752,1,1,1,2
0,0.45650921051946936,1.3877805721181578,1.0030550478104516,-1.7240442231287871,-1.3449214899514412,0.6885128790863014,-1.6878549508633178,-1.5857557819463235,0.5532549550292986,1,1,2,2
