gender,branch,cgpa,tenth_percentage,backlogs,study_hours_per_day,attendance_percentage,internships_completed,sleep_hours,family_income_level,city_tier,target
1,2,0.45650921051946936,-0.048631849638112686,-0.5595970097177485,-0.1280526076225638,-0.11624012323787426,0.7627087085758464,-0.40551370993824737,2,1,2
0,2,-0.4771044336766307,0.0779884942045386,-0.5595970097177485,1.1351417088280373,-0.32208751101687594,-0.9790057465710549,0.11745101640768663,2,2,2
0,3,-1.3213295374709757,-1.1395148119748033,-0.5595970097177485,-1.2901913787571169,-1.2226698325500116,-0.10814851899760423,-0.7541568608355372,1,1,2
1,2,-0.8147944751943688,-1.6167761079971052,1.0658796861460242,0.3266973462996528,-0.9524951360900715,-0.10814851899760423,0.29177259185633153,2,0,2
1,3,-1.41071807787273,-1.2856152087163244,2.691356382009797,0.579336209589773,0.5013020400991345,0.7627087085758464,-0.8413176485598592,2,0,2
1,1,-0.8147944751943688,-0.3895327753683284,4.31683307787357,-0.22910815293861175,1.2474988207980178,0.7627087085758464,1.599184407721168,0,0,2
1,0,-0.020229671623220265,0.6526500547211885,-0.5595970097177485,-1.1386080607830447,-1.5957682228994532,-0.9790057465710549,-1.1028000117328263,1,0,2
0,3,-1.26173717720314,-1.0323745210310211,-0.5595970097177485,-0.8354414248349004,-0.9396296743538828,-0.9790057465710549,-2.410211827597662,2,1,2
0,1,-0.30825941291776165,-0.30187253732341524,1.0658796861460242,1.79200275338235,0.4498401931543831,-0.10814851899760423,-1.3642823749057933,2,1,2
0,2,0.506169510742665,-0.42849288116606793,-0.5595970097177485,0.9330306181959415,0.6685530426695735,1.6335659361492971,0.46609416730497644,2,0,2
1,1,-1.5001066182744849,-1.1589948648736723,-0.5595970097177485,0.579336209589773,0.6042257339886353,-1.8498629741445056,-0.05687055904095752,0,0,2
0,0,1.3305304944477319,0.866930636608753,-0.5595970097177485,2.145697161988519,0.39837834620963175,0.7627087085758464,0.8147373182022662,2,0,2
0,2,-0.10961821202497435,-0.23369235217737322,-0.5595970097177485,-0.8354414248349004,-0.16770197018262376,-0.9790057465710549,0.5532549550292986,0,2,2
1,4,0.6551504114122558,1.013031033350274,-0.5595970097177485,-0.026997062306515603,-0.15483650844643684,0.7627087085758464,-0.6669960731112143,2,1,2
1,1,-0.14934645220353093,0.13642865290114783,-0.5595970097177485,0.023530710351508263,-0.0905091997654986,-0.9790057465710549,-0.49267449766256943,2,2,2
1,1,0.2876641897606003,0.4870696050807977,1.0658796861460242,1.2361972541440855,0.282589190583944,0.7627087085758464,-0.40551370993824737,1,2,2
1,4,0.7743351319479291,0.34096920833927674,-0.5595970097177485,-0.026997062306515603,0.5270329635715083,-0.10814851899760423,1.7735059831698121,1,0,2
