branch,tenth_percentage,twelfth_percentage,study_hours_per_day,projects_completed,communication_skill_rating,aptitude_skill_rating,stress_level,part_time_job,city_tier,internet_access,target
2,-0.048631849638112686,0.04625664174706491,-0.1280526076225638,0.7234686179803247,-0.7341050407640285,1.2393434539481363,0.6899626985074089,1,1,1,2
2,0.0779884942045386,-0.47122028660628806,1.1351417088280373,-0.2555365184633201,0.6885128790863014,-1.5532871553995955,0.6899626985074089,1,2,1,2
3,-1.1395148119748033,-0.6079123054166083,-1.2901913787571169,1.212971186202147,-1.4454140006891936,-0.15697185072572967,-1.4147045758092343,0,1,1,2
2,-1.6167761079971052,-2.2579802467697534,0.3266973462996528,0.2339660497585023,-1.4454140006891936,-0.15697185072572967,0.3391848194546351,0,0,1,2
3,-1.2856152087163244,-0.10019909269256337,0.579336209589773,-1.2345416549069648,1.3998218390114665,-1.5532871553995955,0.3391848194546351,0,0,1,2
1,-0.3895327753683284,-0.4028742772011279,-0.22910815293861175,-0.2555365184633201,1.3998218390114665,-0.15697185072572967,1.3915184566129566,1,0,1,2
0,0.6526500547211885,0.026729210488447532,-1.1386080607830447,-0.7450390866851424,-1.4454140006891936,-1.5532871553995955,0.6899626985074089,0,0,0,2
3,-1.0323745210310211,-1.301136115097515,-0.8354414248349004,0.7234686179803247,-1.4454140006891936,-0.15697185072572967,1.3915184566129566,0,1,1,2
1,-0.30187253732341524,-0.07090794580463798,1.79200275338235,0.7234686179803247,1.3998218390114665,-0.15697185072572967,1.3915184566129566,0,1,1,2
2,-0.42849288116606793,0.25129466996254396,0.9330306181959415,0.7234686179803247,-1.4454140006891936,-0.15697185072572967,1.3915184566129566,1,0,1,2
1,-1.1589948648736723,-1.2523175369509723,0.579336209589773,-0.7450390866851424,-1.4454140006891936,-1.5532871553995955,-1.0639266967564602,0,0,1,2
0,0.866930636608753,1.1983750860054738,2.145697161988519,1.212971186202147,0.6885128790863014,1.2393434539481363,0.6899626985074089,0,0,1,2
2,-0.23369235217737322,-0.3150008365373518,-0.8354414248349004,0.7234686179803247,-1.4454140006891936,1.2393434539481363,-0.7131488177036864,0,2,1,2
4,1.013031033350274,0.7004255889107381,-0.026997062306515603,-1.7240442231287871,-0.022796080838863534,-0.15697185072572967,-1.4147045758092343,1,1,1,2
1,0.13642865290114783,-0.4126379928304373,0.023530710351508263,1.212971186202147,-0.022796080838863534,-0.15697185072572967,0.6899626985074089,1,2,1,2
1,0.4870696050807977,0.43680526691940696,1.2361972541440855,0.7234686179803247,0.6885128790863014,-0.15697185072572967,-1.0639266967564602,0,2,1,2
4,0.34096920833927674,0.7590078826865889,-0.026997062306515603,1.212971186202147,-1.4454140006891936,1.2393434539481363,-0.011593059598138786,0,0,1,2
3,0.40914939348532015,2.1356917864190956,0.781447300221869,0.7234686179803247,-1.4454140006891936,-0.15697185072572967,1.3915184566129566,0,1,1,2
4,-0.3992728018177626,-0.6567308835631511,-0.481747016228732,-1.2345416549069648,-1.4454140006891936,1.2393434539481363,-1.4147045758092343,1,0,1,1
2,-0.3700527224694587,-0.35405569905458517,1.1856694814860618,-1.2345416549069648,-0.022796080838863534,-0.15697185072572967,1.3915184566129566,0,2,1,1
3,0.3117491289909728,-1.0179883618475678,0.3772251189576767,1.212971186202147,-0.022796080838863534,1.2393434539481363,0.3391848194546351,0,0,1,2
0,-0.40901282826719815,-0.7348406085976192,-0.8354414248349004,0.7234686179803247,-0.7341050407640285,-0.15697185072572967,1.3915184566129566,0,2,1,2
3,0.9643309011031003,0.7980627452038237,0.579336209589773,-0.2555365184633201,0.6885128790863014,-0.15697185072572967,0.6899626985074089,0,0,1,2
2,-0.40901282826719815,-1.174207811916504,-0.1280526076225638,0.2339660497585023,1.3998218390114665,-0.15697185072572967,-1.0639266967564602,0,2,1,1
1,-0.25317240507624156,-1.1644440962871954,0.4782806642737249,-0.7450390866851424,0.6885128790863014,-0.15697185072572967,1.3915184566129566,0,1,1,2
1,-0.3116125637728508,-0.33452826779596917,-1.2396636060990927,-1.7240442231287871,0.6885128790863014,-1.5532871553995955,-1.4147045758092343,0,1,1,2
0,1.2273116152378372,0.5832610013590352,-0.27963592559663586,0.7234686179803247,-0.022796080838863534,-0.15697185072572967,1.3915184566129566,1,1,1,2
2,-0.27265245797511134,1.0031007734193027,1.3877805721181578,-1.7240442231287871,0.6885128790863014,-0.15697185072572967,1.0407405775601828,0,1,1,2
4,0.2630489967437991,0.32940439499701346,-0.27963592559663586,-1.2345416549069648,0.6885128790863014,-0.15697185072572967,-0.011593059598138786,0,0,1,2
4,-1.3830154732106716,-0.6860220304510765,-0.5828025615447802,1.212971186202147,-0.7341050407640285,1.2393434539481363,-1.4147045758092343,0,2,1,2
1,-2.230397774311493,-2.0236510716663485,-0.7343858795188523,-1.2345416549069648,-0.022796080838863534,-1.5532871553995955,-0.36237093865091263,0,1,1,2
