gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,target
1,1,1.358068364984486,1.627829187150789,1.0082247507851858,-0.5578751889394735,-0.17887569640782822,-1.4073165891365584,0.23570151449538299,0.7626906249133932,0.21854548220607387,-0.7248838766001685,-0.1620506627980535,-0.438632144218921,0.10597343254585126,-0.14777253255861406,-1.4125242264894704,1,1,2,1,2,2
0,2,0.1899237210863829,0.865062811841802,0.14546309108017702,-0.5578751889394735,-0.43175873192420533,-1.3557938633942053,0.7267804960005461,-0.108609472333503,1.000090221557944,0.6964105328384599,1.227949533135613,0.8174984743649847,0.6685561748941363,-0.3222737587835715,-0.7125432447585974,0,2,2,1,2,2
1,1,-1.1279830566448106,-0.8267138923691579,-0.6094533611617036,-0.5578751889394735,-2.0502101592290187,-1.0981802346824376,-1.7286144115252695,-0.108609472333503,-1.3445439964976664,-0.014236671880854318,-1.55205085873172,-1.0666974535108737,-1.019192052150719,1.7717409559159163,0.33742822783771215,1,1,0,1,1,2
1,0,-0.21942611139073032,0.20986605356356916,-0.5310204830067031,1.077527281736275,-1.089254624266786,-0.7632825173571407,-0.2553774670097801,-0.9799095695803992,-0.5629992571457962,1.4070577375577742,-0.1620506627980535,-0.438632144218921,0.10597343254585126,-0.2350231456710924,1.3873997004340217,1,1,2,1,2,1
0,2,-0.2094419691351912,0.5130167924684225,-0.22709308015607602,-0.5578751889394735,-0.48233533902748077,-1.0466575089400845,-2.2196933930304326,-0.108609472333503,-2.1260887358495366,-1.4355310813194828,-0.1620506627980535,-2.3228280720947794,-1.019192052150719,-1.8927847948081868,-0.3625527538931609,0,0,1,0,0,1
1,2,0.13001886755314632,-0.46488881690207395,0.3807617255451796,1.077527281736275,0.680926624347854,-0.11924844557772205,-1.2375354300201062,0.7626906249133932,-0.5629992571457962,1.4070577375577742,-0.1620506627980535,-1.0666974535108737,-1.5817747944990042,-0.06052191944613495,-1.762514717354907,0,2,2,1,1,2
0,1,-0.00975912402440504,-0.7778186119006331,-0.031010884768574273,1.077527281736275,-0.027145875098002054,-0.0419643569641907,-0.7464564485149432,-0.9799095695803992,-1.3445439964976664,-0.014236671880854318,-0.1620506627980535,-1.0666974535108737,0.10597343254585126,0.8992348247911298,0.6874187187031486,0,0,2,1,2,1
0,1,0.07011401401990977,-0.12262185362240019,0.07683432269455251,-0.5578751889394735,1.2878459095871586,1.6840469554046502,1.2178594775057092,-0.108609472333503,1.000090221557944,1.4070577375577742,-0.1620506627980535,0.18943316507303185,1.7937216595907066,-0.40952437189604984,-1.762514717354907,0,0,0,1,1,2
1,3,0.7190832606299674,0.12185454872022392,0.4101740548533046,-0.5578751889394735,-0.17887569640782822,0.4346208561525795,0.7267804960005461,-0.108609472333503,1.000090221557944,1.4070577375577742,-0.1620506627980535,1.4455637836569375,0.10597343254585126,-0.06052191944613495,-0.3625527538931609,0,2,1,1,2,2
0,3,-1.1579354834114288,-0.9929578459621412,-2.1094821558760923,-0.5578751889394735,-1.6961739095060908,-1.4717199963145005,0.23570151449538299,-1.8512096668272955,0.21854548220607387,1.4070577375577742,-0.1620506627980535,-0.438632144218921,0.10597343254585126,1.0737360510160865,0.33742822783771215,1,2,2,1,2,2
1,3,0.3396858549194734,0.44456339981248744,1.1945028364033115,1.077527281736275,-0.5329119461307562,-0.8534472874062579,-0.2553774670097801,-0.108609472333503,0.21854548220607387,-0.014236671880854318,-0.1620506627980535,0.18943316507303185,-1.5817747944990042,1.7717409559159163,-1.4125242264894704,0,0,2,1,2,2
1,4,-2.4658581188870823,-1.472131594553685,-1.4133903622504609,-0.5578751889394735,0.47862019593475214,-0.8920893317130244,-1.2375354300201062,-0.9799095695803992,-1.3445439964976664,1.4070577375577742,-0.1620506627980535,-1.0666974535108737,-1.019192052150719,-1.194779889908358,0.6874187187031486,0,0,0,1,0,2
1,1,0.09008229853098981,-0.10306374143498999,0.3219370669289297,-0.5578751889394735,2.9062973368919724,2.444007160104365,0.7267804960005461,-0.108609472333503,0.21854548220607387,-1.4355310813194828,-0.1620506627980535,0.8174984743649847,0.6685561748941363,0.2884805330037791,-1.0625337356240339,1,1,2,1,1,2
1,1,0.2298602901085394,0.5130167924684225,-0.20748486061732554,-0.5578751889394735,-0.7352183745438579,-1.1883450047315567,0.23570151449538299,0.7626906249133932,-0.5629992571457962,-1.4355310813194828,-0.1620506627980535,-0.438632144218921,-0.45660930980243386,-2.0672860210331443,1.3873997004340217,0,2,2,1,1,2
0,2,0.36963828168609075,-0.3084239194027937,0.3611535060064292,-0.5578751889394735,1.186692695380608,1.3362685566437655,-1.7286144115252695,-0.108609472333503,-1.3445439964976664,0.6964105328384599,-0.1620506627980535,-1.6947627628028266,-1.019192052150719,-0.2350231456710924,1.3873997004340217,0,2,1,1,1,2
1,2,1.5178146410731155,1.0606439337159013,1.3317603731745633,-0.5578751889394735,0.8832330527609554,1.4521946895640598,-1.2375354300201062,1.6339907221602894,-1.3445439964976664,-0.7248838766001685,1.227949533135613,0.18943316507303185,0.6685561748941363,0.4629817592287366,-1.762514717354907,0,2,2,1,1,2
