gender,cgpa,tenth_percentage,projects_completed,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,stress_level,city_tier,internet_access,extracurricular_involvement,target
1,0.45650921051946936,-0.048631849638112686,0.7234686179803247,-0.7341050407640285,1.2393434539481363,0.191163726201095,1.223393775888155,0.6899626985074089,1,1,2,2
0,-0.4771044336766307,0.0779884942045386,-0.2555365184633201,0.6885128790863014,-1.5532871553995955,0.191163726201095,-1.0239258703794276,0.6899626985074089,2,1,1,2
0,-1.3213295374709757,-1.1395148119748033,1.212971186202147,-1.4454140006891936,-0.15697185072572967,1.443842844244037,0.0997339527543637,-1.4147045758092343,1,1,0,2
1,-0.8147944751943688,-1.6167761079971052,0.2339660497585023,-1.4454140006891936,-0.15697185072572967,-1.061515391841847,-0.462095958812532,0.3391848194546351,0,1,1,2
1,-1.41071807787273,-1.2856152087163244,-1.2345416549069648,1.3998218390114665,-1.5532871553995955,-1.061515391841847,-1.0239258703794276,0.3391848194546351,0,1,2,2
1,-0.8147944751943688,-0.3895327753683284,-0.2555365184633201,1.3998218390114665,-0.15697185072572967,-1.061515391841847,-0.462095958812532,1.3915184566129566,0,1,2,2
1,-0.020229671623220265,0.6526500547211885,-0.7450390866851424,-1.4454140006891936,-1.5532871553995955,0.191163726201095,0.6615638643212594,0.6899626985074089,0,0,0,2
0,-1.26173717720314,-1.0323745210310211,0.7234686179803247,-1.4454140006891936,-0.15697185072572967,0.191163726201095,1.223393775888155,1.3915184566129566,1,1,1,2
0,-0.30825941291776165,-0.30187253732341524,0.7234686179803247,1.3998218390114665,-0.15697185072572967,0.817503285222566,2.347053599021947,1.3915184566129566,1,1,2,2
0,0.506169510742665,-0.42849288116606793,0.7234686179803247,-1.4454140006891936,-0.15697185072572967,0.191163726201095,0.0997339527543637,1.3915184566129566,0,1,1,2
1,-1.5001066182744849,-1.1589948648736723,-0.7450390866851424,-1.4454140006891936,-1.5532871553995955,-0.435175832820376,0.6615638643212594,-1.0639266967564602,0,1,1,2
0,1.3305304944477319,0.866930636608753,1.212971186202147,0.6885128790863014,1.2393434539481363,0.817503285222566,2.347053599021947,0.6899626985074089,0,1,0,2
0,-0.10961821202497435,-0.23369235217737322,0.7234686179803247,-1.4454140006891936,1.2393434539481363,0.191163726201095,0.6615638643212594,-0.7131488177036864,2,1,0,2
1,0.6551504114122558,1.013031033350274,-1.7240442231287871,-0.022796080838863534,-0.15697185072572967,-1.061515391841847,-1.0239258703794276,-1.4147045758092343,1,1,2,2
1,-0.14934645220353093,0.13642865290114783,1.212971186202147,-0.022796080838863534,-0.15697185072572967,0.191163726201095,2.347053599021947,0.6899626985074089,2,1,1,2
1,0.2876641897606003,0.4870696050807977,0.7234686179803247,0.6885128790863014,-0.15697185072572967,1.443842844244037,0.0997339527543637,-1.0639266967564602,2,1,0,2
1,0.7743351319479291,0.34096920833927674,1.212971186202147,-1.4454140006891936,1.2393434539481363,1.443842844244037,0.6615638643212594,-0.011593059598138786,0,1,2,2
1,1.1517534136442238,0.40914939348532015,0.7234686179803247,-1.4454140006891936,-0.15697185072572967,0.191163726201095,1.785223687455051,1.3915184566129566,1,1,1,2
0,-1.0531639162657136,-0.3992728018177626,-1.2345416549069648,-1.4454140006891936,1.2393434539481363,-1.061515391841847,0.0997339527543637,-1.4147045758092343,0,1,0,1
1,-0.5267647338998273,-0.3700527224694587,-1.2345416549069648,-0.022796080838863534,-0.15697185072572967,-1.6878549508633178,-1.0239258703794276,1.3915184566129566,2,1,1,1
1,-0.675745634569418,0.3117491289909728,1.212971186202147,-0.022796080838863534,1.2393434539481363,-0.435175832820376,-0.462095958812532,0.3391848194546351,0,1,1,2
1,-0.7154738747479755,-0.40901282826719815,0.7234686179803247,-0.7341050407640285,-0.15697185072572967,0.817503285222566,1.785223687455051,1.3915184566129566,2,1,2,2
1,0.3075283098498786,0.9643309011031003,-0.2555365184633201,0.6885128790863014,-0.15697185072572967,0.191163726201095,1.223393775888155,0.6899626985074089,0,1,2,2
