branch,cgpa,twelfth_percentage,backlogs,study_hours_per_day,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,part_time_job,internet_access,target
2,0.45650921051946936,0.04625664174706491,-0.5595970097177485,-0.1280526076225638,0.7627087085758464,0.21750330087638192,-0.7341050407640285,1.2393434539481363,0.191163726201095,1,1,2
2,-0.4771044336766307,-0.47122028660628806,-0.5595970097177485,1.1351417088280373,-0.9790057465710549,-0.5637090945375297,0.6885128790863014,-1.5532871553995955,0.191163726201095,1,1,2
3,-1.3213295374709757,-0.6079123054166083,-0.5595970097177485,-1.2901913787571169,-0.10814851899760423,0.9987156962902936,-1.4454140006891936,-0.15697185072572967,1.443842844244037,0,1,2
2,-0.8147944751943688,-2.2579802467697534,1.0658796861460242,0.3266973462996528,-0.10814851899760423,-0.5637090945375297,-1.4454140006891936,-0.15697185072572967,-1.061515391841847,0,1,2
3,-1.41071807787273,-0.10019909269256337,2.691356382009797,0.579336209589773,0.7627087085758464,-1.3449214899514412,1.3998218390114665,-1.5532871553995955,-1.061515391841847,0,1,2
1,-0.8147944751943688,-0.4028742772011279,4.31683307787357,-0.22910815293861175,0.7627087085758464,-0.5637090945375297,1.3998218390114665,-0.15697185072572967,-1.061515391841847,1,1,2
0,-0.020229671623220265,0.026729210488447532,-0.5595970097177485,-1.1386080607830447,-0.9790057465710549,-0.5637090945375297,-1.4454140006891936,-1.5532871553995955,0.191163726201095,0,0,2
3,-1.26173717720314,-1.301136115097515,-0.5595970097177485,-0.8354414248349004,-0.9790057465710549,0.21750330087638192,-1.4454140006891936,-0.15697185072572967,0.191163726201095,0,1,2
1,-0.30825941291776165,-0.07090794580463798,1.0658796861460242,1.79200275338235,-0.10814851899760423,0.21750330087638192,1.3998218390114665,-0.15697185072572967,0.817503285222566,0,1,2
2,0.506169510742665,0.25129466996254396,-0.5595970097177485,0.9330306181959415,1.6335659361492971,0.21750330087638192,-1.4454140006891936,-0.15697185072572967,0.191163726201095,1,1,2
1,-1.5001066182744849,-1.2523175369509723,-0.5595970097177485,0.579336209589773,-1.8498629741445056,-0.5637090945375297,-1.4454140006891936,-1.5532871553995955,-0.435175832820376,0,1,2
0,1.3305304944477319,1.1983750860054738,-0.5595970097177485,2.145697161988519,0.7627087085758464,0.9987156962902936,0.6885128790863014,1.2393434539481363,0.817503285222566,0,1,2
2,-0.10961821202497435,-0.3150008365373518,-0.5595970097177485,-0.8354414248349004,-0.9790057465710549,0.21750330087638192,-1.4454140006891936,1.2393434539481363,0.191163726201095,0,1,2
4,0.6551504114122558,0.7004255889107381,-0.5595970097177485,-0.026997062306515603,0.7627087085758464,-1.3449214899514412,-0.022796080838863534,-0.15697185072572967,-1.061515391841847,1,1,2
