column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,0.0,1.001,-2.074,-0.739,0.023,0.786,1.93
proportion_of_numeric_features,375.0,0.0,1.001,-3.002,-0.485,0.69,0.69,0.69
number_of_instances,375.0,-0.0,1.001,-0.904,-0.69,-0.374,0.399,4.089
number_of_classes,375.0,0.0,1.001,-0.857,-0.857,-0.469,0.694,2.244
ratio_of_instances_to_features,375.0,-0.0,1.001,-0.62,-0.489,-0.295,0.121,7.264
ratio_of_classes_to_features,375.0,-0.0,1.001,-0.746,-0.559,-0.329,0.184,7.399
ratio_of_instances_to_classes,375.0,-0.0,1.001,-0.685,-0.563,-0.426,0.193,4.511
ratio_of_min_to_max_instances_per_class,375.0,-0.0,1.001,-1.372,-1.102,-0.013,0.999,1.184
proportion_of_features_with_outliers,375.0,-0.0,1.001,-1.147,-1.035,-0.327,1.013,1.476
average_mutual_information,375.0,0.0,1.001,-0.819,-0.598,-0.337,0.202,3.943
minimum_mutual_information,375.0,0.0,1.001,-0.422,-0.422,-0.422,-0.09,5.376
maximum_mutual_information,375.0,-0.0,1.001,-1.007,-0.72,-0.484,0.654,2.741
equivalent_number_of_features,375.0,-0.0,1.001,-0.703,-0.54,-0.341,0.096,4.377
noise_to_signal_ratio_of_features,375.0,0.0,1.001,-0.496,-0.429,-0.314,-0.114,6.881
