dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,batch_normalisation,dropout,layer_normalisation,weight_decay,prune,weight_normalisation,baseline,weight_perturbation
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\102350252_20260528_183138.csv,64.0,0.0005,200.0,2.0,112.0,48.0,176.0,224.0,0.0178571428571428,0.0186806771745475,21.0,0.5714285714285714,3426.0,2.0,163.14285714285714,0.0952380952380952,1713.0,0.9301408450704224,0.2857142857142857,0.1404038280367449,0.005471945218125,0.631458992902957,1.1507384054714134,-0.7651359513527624,-0.0009217004179954,7.062710271466545e-05,0.0002605414529109,0.0023925418737181,67.9,62.62339818310724,5.9,1.374772708486752,35.83828012193165,0.496007973611804,0.0894824195145776,0.0012343150122875,2,3,1,3,3,3,2,3
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1915252817_20260528_183138.csv,64.0,0.0005,200.0,2.0,112.0,48.0,176.0,224.0,0.0178571428571428,0.0145289443813847,21.0,0.5714285714285714,4405.0,2.0,209.7619047619048,0.0952380952380952,2202.5,0.9303242769500438,0.238095238095238,0.1451208696088455,0.0049585336050841,0.627954419906663,1.1561793087635883,-0.7727688571774944,-0.0007085034847259,9.29728754190736e-05,0.0029490333697913,0.0061992726468959,83.9,48.25442984846055,5.1,1.2206555615733703,36.43430129953474,2.3767865591263333,0.0899966768929984,0.0051668277205737,2,4,1,3,3,4,4,3
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\2376520247_20260528_183139.csv,64.0,0.0005,200.0,2.0,112.0,48.0,176.0,224.0,0.0178571428571428,0.0112715744980626,21.0,0.5714285714285714,5678.0,2.0,270.3809523809524,0.0952380952380952,2839.0,0.930635838150289,0.2857142857142857,0.1450862380654838,0.0050298351819952,0.6246715641163274,1.1561392691830432,-0.7727126408493762,-0.0005597728043794,5.307399613890012e-05,0.0030583293763328,0.0004362707259781,72.3,41.05618102064536,4.7,1.4177446878757822,35.381036419059846,1.0219256331516788,0.0926444967631618,0.002584296937281,2,4,1,4,5,3,3,3
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1368497363_20260528_183139.csv,64.0,0.0005,200.0,2.0,112.0,48.0,176.0,224.0,0.0178571428571428,0.0090306194440524,21.0,0.5714285714285714,7087.0,2.0,337.4761904761905,0.0952380952380952,3543.5,0.930536638518115,0.2857142857142857,0.1441848307033572,0.0053916144495131,0.6276821871059023,1.155097586295004,-0.7712923297062821,-0.0003788123130798,0.0001040100009824,0.0099301234932599,0.0121308396065284,61.7,31.65770048503208,3.5,0.6708203932499369,35.74522701748757,2.3036732254265915,0.0920288437784086,0.0053159803784125,2,5,1,4,4,4,3,4
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\288863345_20260528_183140.csv,64.0,0.0005,200.0,2.0,112.0,48.0,176.0,224.0,0.0178571428571428,0.0089410449846325,21.0,0.5714285714285714,7158.0,2.0,340.85714285714283,0.0952380952380952,3579.0,0.93042071197411,0.2857142857142857,0.1443156316386851,0.0052705632939937,0.6282084217547482,1.1552486840213327,-0.7715003592264605,-0.0004394721388816,8.074307008016018e-05,-0.0035143255409868,0.0003177469428643,70.3,33.36480181268877,4.1,0.8306623862918076,35.72677683298572,1.4016441644278594,0.0925686974094553,0.0037401752366298,2,4,1,4,3,3,3,3
Agaricus Lepiota,,64.0,0.0005,200.0,2.0,112.0,48.0,176.0,224.0,0.0178571428571428,0.0078778926637124,21.0,0.5714285714285714,8124.0,2.0,386.8571428571428,0.0952380952380952,4062.0,0.9306083650190116,0.2857142857142857,0.1438921034189366,0.0052102297135727,0.6281293668227831,1.1547595072002288,-0.7708265993851068,-0.000378392919898,6.918061239073513e-05,-0.0014677164027565,0.0025877046446221,36.7,27.28387802347753,3.5,0.806225774829855,34.269212257339966,1.6303802668733054,0.0960479348144269,0.0038447842207666,2,3,1,4,5,5,6,5
Ann thyroid,Data\Input\Subsets\Ann thyroid\3961129730_20260528_183143.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,19.0,1.0,7129.0,3.0,375.2105263157895,0.1578947368421052,2376.333333333333,0.0251705837755875,0.8947368421052632,0.0255724264743264,0.0,0.2357702732008625,1.0259022060595648,-0.3566838306885454,-0.0004815593361854,1.8154974026117743e-05,0.0060185730736665,0.0016070323479814,23.9,6.300000000000001,2.0,0.0,14.520761785825789,0.9339591663929856,0.3158316561566677,0.0094946486514535,5,4,6,2,1,3,4,3
Ann thyroid,Data\Input\Subsets\Ann thyroid\616739963_20260528_183144.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,18.0,1.0,7129.0,3.0,396.05555555555554,0.1666666666666666,2376.333333333333,0.0251705837755875,0.8888888888888888,0.0262779833242113,0.0,0.2359323396950791,1.0266262938008568,-0.3391765149864739,-0.0004739420754568,1.6453566939383027e-05,0.0126212039765123,0.0025489046381101,28.8,15.778466338652816,2.0,0.0,15.00784436774396,0.344023599153566,0.3090865140156028,0.0054464295305314,4,4,5,2,1,2,3,3
Ann thyroid,Data\Input\Subsets\Ann thyroid\2457631660_20260528_183144.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,20.0,1.0,7129.0,3.0,356.45,0.15,2376.333333333333,0.0251705837755875,0.9,0.0282504219615069,0.0,0.2351386496442458,1.0286532495345575,-0.4467835670283293,-0.0004355654546192,0.0001461459889886,0.0101976167887889,0.004382828387335,25.9,11.148542505637227,2.0,0.0,14.784094439266852,2.2711210552247847,0.3042103004325025,0.0597154714885661,6,5,5,3,1,2,3,4
Ann thyroid,Data\Input\Subsets\Ann thyroid\4095911610_20260528_183145.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,12.0,1.0,7129.0,3.0,594.0833333333334,0.25,2376.333333333333,0.0251705837755875,0.9166666666666666,0.0183950999752715,0.0,0.1066579759591992,1.0185653320367067,0.4160109384653973,-9.971005575997489e-08,4.689866776940886e-08,8.731196808146047e-05,0.0004552901228259,20.0,9.17605579756357,2.0,0.0,19.7153024911032,0.6976637370007905,0.1442187735387246,0.002275321481882,2,2,3,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\3358462597_20260528_183145.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,12.0,1.0,7129.0,3.0,594.0833333333334,0.25,2376.333333333333,0.0251705837755875,0.9166666666666666,0.0372195750866821,0.0,0.2356648355006599,1.0379208973902485,-0.3001622743278077,-0.0004004197461264,7.941408056643672e-06,0.0053838255184225,0.0019813821294321,24.0,6.587867636800241,2.0,0.0,12.057586541572306,1.226652469412778,0.3435867205464659,0.0178818942989626,5,4,3,1,4,2,2,6
Ann thyroid,Data\Input\Subsets\Ann thyroid\3692951717_20260528_183146.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,14.0,1.0,7129.0,3.0,509.2142857142857,0.2142857142857142,2376.333333333333,0.0251705837755875,0.8571428571428571,0.0143346646641047,0.0,0.0902297800544504,1.0144378986546934,0.5575228733687184,-2.9494379247937883e-05,4.517820502703729e-05,0.0012115640344014,0.0020006947329298,18.7,13.820636743652589,2.0,0.0,18.485430675632404,2.5331043567896794,0.1745897286415596,0.0485843112088389,2,4,6,1,5,2,4,3
Ann thyroid,Data\Input\Subsets\Ann thyroid\4123607450_20260528_183146.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,13.0,1.0,7129.0,3.0,548.3846153846154,0.2307692307692307,2376.333333333333,0.0251705837755875,0.8461538461538461,0.0142956355788297,0.0,0.0909392371184096,1.0143983068440616,0.6819116770945624,-3.0444349561418808e-06,8.063082273329253e-06,0.0006024647285866,0.0007830447701811,23.2,27.88476286433148,2.0,0.0,19.44641132925652,1.2783556336982491,0.1533143536076501,0.0193617715230417,2,3,4,1,3,3,2,3
Ann thyroid,Data\Input\Subsets\Ann thyroid\1642850339_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.1498829039812646,21.0,1.0,854.0,3.0,40.66666666666666,0.1428571428571428,284.6666666666667,0.0253164556962025,0.8571428571428571,0.0286849400457466,0.0,0.2260147830360852,1.0291003150958935,-0.4807587895958443,-0.0020750558376312,0.0002721724061116,0.0286372651255579,0.0202606600728704,56.0,52.80909012660605,4.0,0.0,18.84080370942813,1.9188424096341683,0.1866357727282014,0.0341585951064616,2,3,6,3,1,2,5,4
Ann thyroid,Data\Input\Subsets\Ann thyroid\1984699523_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0801502817783343,21.0,1.0,1597.0,3.0,76.04761904761905,0.1428571428571428,532.3333333333334,0.0250507786052809,0.8571428571428571,0.0270103380176851,0.0,0.2257213087166456,1.0273784237649035,-0.4479056413048146,-0.0010287342326981,0.0003031281525133,0.0138561689406649,0.0099908466098875,48.5,41.42523385570684,2.0,0.0,18.33693972179289,1.6012722809337934,0.192804273630347,0.0373929037200868,4,3,5,2,1,1,3,3
Ann thyroid,Data\Input\Subsets\Ann thyroid\687496161_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.048320120800302,21.0,1.0,2649.0,3.0,126.14285714285714,0.1428571428571428,883.0,0.0253061224489795,0.8571428571428571,0.0274394190206191,0.0,0.2314529783980603,1.0278193469184749,-0.4563013120879447,-0.0005237434165818,4.504221533049316e-05,0.0159532349964648,0.0055780273131819,25.1,14.131171218267792,2.0,0.0,15.993817619783616,0.9289219151032062,0.2409659795253501,0.0105120967920627,3,2,4,1,2,1,2,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\796844370_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0375697094217786,21.0,1.0,3407.0,3.0,162.23809523809524,0.1428571428571428,1135.6666666666667,0.0250634517766497,0.8571428571428571,0.028987026208066,0.0,0.2395953796452903,1.029411239021266,-0.486925538144986,-0.0003920511262757,0.0001910374007565,0.0085219820026424,0.0055569880300753,25.2,18.914544668059023,2.0,0.0,16.757341576506956,1.9374365375343692,0.2370709150340955,0.0504340427137603,4,3,5,2,4,1,4,4
Ann thyroid,Data\Input\Subsets\Ann thyroid\2811279679_20260528_183148.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.028712427097353,21.0,1.0,4458.0,3.0,212.28571428571428,0.1428571428571428,1486.0,0.0252182347235693,0.8571428571428571,0.02747538282257,0.0,0.2365978791214393,1.027856311874605,-0.4581238483828814,-0.0003894537261554,0.0001951742296427,0.0096160662649613,0.0059093959017413,20.5,12.387493693237548,2.0,0.0,15.69706336939722,2.753200708253092,0.2576074399047141,0.0640676639890414,3,3,5,1,4,1,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\1750869421_20260528_183148.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0243346007604562,21.0,1.0,5260.0,3.0,250.47619047619048,0.1428571428571428,1753.3333333333333,0.0250719276613234,0.9047619047619048,0.0262594685648127,0.0,0.2307649878052406,1.0266072862379956,-0.4333146701830039,-0.0004949171202523,1.5041194268124029e-05,0.019794953393735,0.0034350976946639,27.1,10.3,2.1,0.3,15.530139103554868,0.8364739870501158,0.2785013998789249,0.0112859516284743,4,5,5,2,1,2,4,3
Ann thyroid,Data\Input\Subsets\Ann thyroid\3332487923_20260528_183149.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0229885057471264,21.0,1.0,5568.0,3.0,265.1428571428572,0.1428571428571428,1856.0,0.025237817899437,0.9047619047619048,0.0263355470089914,0.0,0.2326967950282044,1.026685391894156,-0.4347964134218035,-0.0004478060347693,0.000149031000223,0.0099663302447567,0.0038878975489868,23.9,11.545128842936316,2.0,0.0,15.06955177743431,1.8426838072732128,0.2921462728596729,0.0510205210674201,4,3,3,2,1,3,3,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\3498068960_20260528_183150.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0204309656823623,21.0,1.0,6265.0,3.0,298.3333333333333,0.1428571428571428,2088.333333333333,0.0251897860593512,0.9047619047619048,0.0275760852178552,0.0,0.2359139649682416,1.027959824679126,-0.4604415010918321,-0.0004821962543896,1.7514331409943015e-05,0.010172784383105,0.0023106173922208,20.7,9.623408959407262,2.0,0.0,14.5564142194745,1.2668185851203917,0.3104644240860408,0.0297691014339418,4,3,5,1,3,1,2,3
