column name,count,mean,std,min,25%,50%,75%,max,skewness
avg avg weights,540,0.1541,0.1136,0.0426,0.0791,0.1173,0.1918,0.7261,2.3053
avg first overfit epoch,540,34.7563,41.1790,3.6000,14.175,20.4500,35.5250,280.0000,3.1970
avg first stay epoch,540,6.6920,5.3227,2.0000,2.9000,4.9000,8.9000,33.6000,1.9818
avg learning slope,540,-0.0020,0.0019,-0.0085,-0.0029,-0.0015,-0.0004,0.0005,-1.2675
avg mutual information,540,0.1452,0.1768,0.0013,0.0365,0.0840,0.1668,0.8509,2.3049
avg number of neurons,540,114.1407,49.0981,16.0000,80.0000,112.0000,150.8000,240.0000,0.2366
avg percentage weights near zero,540,29.9805,16.2784,5.4399,16.6444,28.3421,41.1922,67.5389,0.4748
avg validation gap,540,0.0955,0.1223,-0.0269,0.0141,0.0436,0.1384,0.6283,2.0232
batch size,540,112.8889,86.0726,16.0000,32.0000,96.0000,128.0000,256.0000,0.6712
batch size to dataset ratio,540,0.1875,0.3573,0.0025,0.0107,0.0485,0.1884,2.6122,3.5679
depth to width ratio,540,0.0335,0.0222,0.0083,0.0193,0.0293,0.0368,0.1250,2.2155
equivalent number of features,540,1.1772,0.2579,1.0013,1.0372,1.0876,1.1815,2.3417,2.7914
learning rate,540,0.0057,0.0083,0.0005,0.0005,0.0026,0.0069,0.0350,2.1503
max number of neurons,540,169.7778,69.7333,16.0000,132.0000,168.0000,228.0000,256.0000,-0.3811
maximum mutual information,540,0.3587,0.3298,0.0053,0.1067,0.2296,0.5675,1.3030,1.1663
min number of neurons,540,57.7778,50.9628,16.0000,16.0000,32.0000,80.0000,224.0000,1.4206
minimum mutual information,540,0.0228,0.0506,0.0000,0.0000,0.0008,0.0177,0.2708,3.2488
noise to signal ratio of features,540,2.0211,7.3212,-0.9069,-0.5801,0.0964,1.1906,72.4841,5.9400
number of classes,540,4.5352,2.6553,2.0000,2.0000,4.0000,6.0000,11.0000,0.9868
number of epochs,540,161.6667,70.9922,60.0000,100.0000,160.0000,220.0000,300.0000,0.0249
number of features,540,12.8148,5.4230,2.0000,9.0000,12.0000,18.0000,24.0000,0.1800
number of hidden layers,540,3.0833,1.2344,2.0000,2.0000,3.0000,4.0000,6.0000,0.7321
number of instances,540,3243.6704,3811.0620,88.0000,625.0000,1623.5000,5000.0000,18905.0000,1.8550
proportion of features with outliers,540,0.4706,0.3913,0.0000,0.0417,0.4444,0.8889,1.0000,0.1156
proportion of numeric features,540,0.8171,0.2867,0.0000,0.6842,1.0000,1.0000,1.0000,-1.4773
ratio of classes to features,540,0.4592,0.4450,0.0909,0.2000,0.3333,0.5455,3.3333,3.0763
ratio of instances to classes,540,1044.9787,1622.4858,13.4000,145.3000,376.3095,1152.2500,9452.5000,2.9429
ratio of instances to features,540,293.5805,446.0657,5.4444,56.3417,138.3385,354.8772,3781.0000,3.8208
ratio of min to max instances per class,540,0.5179,0.3924,0.0028,0.0977,0.5330,0.9222,1.0000,-0.0402
std avg weights,540,0.0101,0.0131,0.0001,0.0017,0.0044,0.0122,0.0641,2.0411
std first overfit epoch,540,15.3560,17.5258,0.0000,6.0605,8.9725,14.314,95.7455,2.4751
std first stay epoch,540,1.7184,1.8762,0.0000,0.6000,1.1358,2.3152,12.8125,2.5233
std learning slope,540,0.0002,0.0002,0.0000,0.0001,0.0001,0.0002,0.0011,2.0330
std percentage weights near zero,540,1.3799,1.3539,0.1874,0.5984,0.9464,1.6118,14.2059,3.4616
std validation gap,540,0.0202,0.0229,0.0000,0.0050,0.0129,0.0248,0.1423,2.2096
total number of neurons,540,363.5556,221.6064,32.0000,188.0000,320.0000,480.0000,864.0000,0.6880
