column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,-0.0149,1.2975,-1.2213,-1.0202,-0.6181,1.7947,1.7947,0.652
learning_rate,135.0,-0.591,0.3925,-0.9682,-0.9682,-0.7286,-0.3072,0.0876,0.3983
number_of_epochs,135.0,0.897,0.9491,-0.6977,0.7973,1.0964,1.3954,2.2924,-0.6301
number_of_hidden_layers,135.0,0.4083,1.0075,-0.9186,-0.9186,0.4779,1.4538,1.4538,-0.3588
avg_number_of_neurons,135.0,0.971,1.229,-0.5513,-0.0551,1.0861,1.607,3.17,0.4232
min_number_of_neurons,135.0,0.3184,1.1573,-1.1408,-1.1408,0.7589,1.1793,1.899,-0.1865
max_number_of_neurons,135.0,0.6199,0.7717,-0.8879,0.0168,0.6952,1.3737,1.3737,-0.6884
total_number_of_neurons,135.0,0.8674,1.0516,-0.7731,0.098,0.9072,1.8991,2.2526,-0.02
depth_to_width_ratio,135.0,-0.3934,0.8185,-1.9652,-0.8629,-0.0834,0.1868,0.7058,-0.6498
batch_size_to_dataset_ratio,135.0,-0.385,0.8546,-1.0971,-1.0525,-0.7895,0.1037,1.9943,1.2266
number_of_features,135.0,-0.213,1.0729,-1.9154,-0.9743,-0.4096,0.5316,1.661,0.4401
proportion_of_numeric_features,135.0,-0.3473,1.2117,-1.8519,-1.7663,0.7235,0.7235,0.7235,-0.272
number_of_instances,135.0,0.4536,0.9076,-1.9412,-0.2556,0.3994,1.3076,1.7874,-0.2627
number_of_classes,135.0,0.2637,1.0563,-1.2516,-1.2516,0.2375,1.1641,1.6214,-0.2925
ratio_of_instances_to_features,135.0,0.5592,0.8989,-1.9416,0.0057,0.615,1.1723,2.4138,-0.1716
ratio_of_classes_to_features,135.0,0.3821,0.9938,-1.6072,-0.3272,0.5401,1.1355,2.0819,-0.4687
ratio_of_instances_to_classes,135.0,0.3137,0.7126,-1.5112,-0.1246,0.2609,0.904,1.3956,-0.4475
ratio_of_min_to_max_instances_per_class,135.0,-0.7342,1.0142,-1.5431,-1.4259,-1.2525,0.2261,1.1106,1.0663
proportion_of_features_with_outliers,135.0,-0.7229,1.0462,-1.4565,-1.4565,-1.4565,-0.6113,1.2481,1.154
average_mutual_information,135.0,0.4085,1.2479,-1.7212,-0.7367,0.4234,1.6318,2.0908,-0.1863
minimum_mutual_information,135.0,0.0224,1.1207,-0.8147,-0.8147,-0.8147,1.1163,1.8978,0.8914
maximum_mutual_information,135.0,0.4777,1.26,-1.9359,-0.8685,1.2081,1.5875,1.8584,-0.5721
equivalent_number_of_features,135.0,0.433,1.256,-1.5801,-0.745,0.3657,1.7062,2.1574,-0.0545
noise_to_signal_ratio_of_features,135.0,-0.1175,1.0708,-1.7406,-1.2793,-0.0995,0.5308,2.2737,0.2095
avg_learning_slope,135.0,0.4564,0.8238,-1.563,0.0498,0.6612,1.1031,1.5593,-0.809
std_learning_slope,135.0,-0.5629,0.9227,-1.8972,-1.3382,-0.6922,0.1159,2.3124,0.6401
avg_validation_gap,135.0,-0.5123,0.8325,-1.9978,-1.1137,-0.7714,-0.2471,1.9528,1.3465
std_validation_gap,135.0,-0.432,0.8704,-1.5693,-1.2364,-0.6184,0.1219,1.9051,0.6521
avg_first_overfit_epoch,135.0,-0.2185,0.9822,-2.2064,-0.873,-0.4105,0.1524,2.4001,0.96
std_first_overfit_epoch,135.0,-0.0505,0.7849,-3.499,-0.5492,-0.0798,0.3928,2.1601,-0.1887
avg_first_stay_epoch,135.0,-0.2474,1.1842,-1.5509,-1.2624,-0.6548,0.3972,2.4453,0.7308
std_first_stay_epoch,135.0,-0.1022,1.2562,-1.8292,-0.9118,-0.2414,0.7623,2.8313,0.366
avg_percentage_weights_near_zero,135.0,0.5994,0.7949,-1.3445,-0.0172,0.657,1.2197,1.8435,-0.3669
std_percentage_weights_near_zero,135.0,0.3301,1.1309,-1.6499,-0.5028,0.1833,1.3513,2.5634,0.1089
avg_avg_weights,135.0,-0.5325,0.8547,-1.6938,-1.2434,-0.6402,0.1202,1.6725,0.589
std_avg_weights,135.0,-0.2967,0.7768,-1.1921,-0.9363,-0.5917,0.2706,1.7909,0.8899
