fixed acidity,volatile acidity,citric acid,residual sugar,density,pH,target
-0.5244309620226647,0.9320001518998713,-1.3932579682543467,-0.4611570659989154,0.5840033590895148,1.2918721636398425,3
-0.2940627430687092,1.9158004330673288,-1.3932579682543467,0.056664837783860986,0.04873718632654597,-0.7083954824325219,3
-0.2940627430687092,1.2599335789556907,-1.1886173220660021,-0.16525883526590046,0.15579042087912787,-0.32124690577335663,3
1.6640671180399145,-1.3635338374908619,1.471711078382476,-0.4611570659989154,0.6910565936420968,-0.966494533538634,4
-0.5244309620226647,0.7133778671959924,-1.3932579682543467,-0.535131623682169,0.5840033590895148,1.2918721636398425,3
-0.23647068833021995,0.385444440140173,-1.08629699897183,-0.6830807390486765,-0.16536928277867724,-0.06314785466724451,3
-0.5820230167611539,0.6587222960200224,-1.3932579682543467,-0.9789789697816916,-1.1288483937519738,0.5175750103215091,5
-0.2940627430687092,0.27613329778823315,-1.2909376451601744,-0.3871825083156616,0.04873718632654597,0.32400072199192365,5
-0.46683890728417593,-0.1611112716195254,0.4485078474407534,2.645774356697742,0.5840033590895148,0.259475959215397,3
-0.9275753451920874,0.27613329778823315,-0.9839766758776577,-0.535131623682169,-0.43300236916013196,-0.19219738022030056,3
-1.561087947315466,0.46742779690412783,-1.3932579682543467,-0.6830807390486765,-1.289428245580906,1.74354550307554,3
-0.2940627430687092,0.44010001131614285,0.09038671661115057,-0.6830807390486765,0.36989688998429165,-0.32124690577335663,3
0.3394498590546695,0.49475558249211277,-0.4723750604067966,0.9443595299829058,1.0122162972999018,-0.966494533538634,3
0.3394498590546695,0.49475558249211277,-0.4212148988597105,1.0183340876661597,1.0122162972999018,-0.9019697707621074,3
0.10908164010071351,-1.3635338374908619,1.471711078382476,-0.535131623682169,0.10226380360283692,-0.06314785466724451,5
-0.12128657885324247,0.16682215543629397,0.039226555064064694,-0.6091061813654229,0.04873718632654597,-1.2891183474212755,3
-0.5244309620226647,0.33078886896420306,-0.9839766758776577,1.3882068760824287,0.36989688998429165,0.4530502475449797,2
-0.23647068833021995,-1.1449115527869826,1.2159102706470453,-0.535131623682169,0.10226380360283692,-1.7407916868569702,4
0.3394498590546695,-1.6914672645466813,1.0624297860057867,-0.535131623682169,0.04873718632654597,0.5175750103215091,4
-0.40924685254568716,-0.7623225545551937,0.1927070397053229,-0.16525883526590046,0.7981098281946787,1.356396926416372,3
-0.23647068833021995,-0.5437002698513144,-0.3188945757655383,-0.6830807390486765,-0.05831604822603592,-0.9019697707621074,3
0.10908164010071351,-0.2157668427954953,-0.8304961912363995,-0.16525883526590046,0.04873718632654597,-0.9019697707621074,3
-0.8123912357151094,-0.7076669833792237,-0.677015706595141,-0.09128427758264665,0.04873718632654597,0.7756740614276212,4
-1.1579435641460434,-0.7623225545551937,-0.5746953835009688,-0.8310298544151842,-0.6471088382652957,0.19495119643886757,3
-0.40924685254568716,-0.6530114122032542,-0.16541409112427993,-0.535131623682169,-0.27242251733125916,-0.19219738022030056,3
-0.6972071262381319,0.9866557230758413,-1.3932579682543467,-0.4611570659989154,0.2628436554317098,1.0337731125337333,3
-0.2940627430687092,0.6313945104320375,-1.3932579682543467,-0.3871825083156616,-0.16536928277867724,0.4530502475449797,4
-0.9275753451920874,0.7953612239599472,-1.0351368374247438,-0.09128427758264665,-0.48652898643642295,0.259475959215397,3
-0.8123912357151094,0.8500167951359171,-1.3932579682543467,-0.017309719899392832,-0.05831604822603592,0.9692483497572039,4
-0.0061024693762639646,0.6860500816080074,-0.7793360296893133,-0.16525883526590046,-0.05831604822603592,-0.9019697707621074,3
-0.8123912357151094,0.4127722257281579,-0.7793360296893133,6.0486040101274146,1.3869026182339386,0.9047235869806772,4
-1.7914561662694215,-1.1449115527869826,-0.11425392957719378,-0.535131623682169,-0.5400556037127139,0.4530502475449797,3
-0.2940627430687092,0.6313945104320375,-1.3932579682543467,2.2019270105982196,1.0122162972999018,0.5820997730980357,4
-0.2940627430687092,0.385444440140173,-0.677015706595141,-0.09128427758264665,0.42342350726064204,0.7111492986510918,4
-0.12128657885324247,-0.8169781257311636,0.039226555064064694,-0.3132079506324078,0.04873718632654597,-0.5148211941029393,5
-1.5034958925769768,3.2821897124665744,-0.9328165143305717,-0.7570552967319304,-1.4500080974097789,1.2273474008633158,2
-0.5820230167611539,-0.4343891274993746,0.4485078474407534,2.497825241331235,0.5840033590895148,0.130426433662341,3
0.28185780431618074,0.44010001131614285,0.14154687815823674,0.2046139531503683,0.476950124536933,-0.32124690577335663,2
-0.46683890728417593,-0.2157668427954953,-0.3700547373126243,0.056664837783860986,0.04873718632654597,-0.6438707196559953,4
-0.12128657885324247,0.7133778671959924,-0.2677344142184521,-0.23923339294915397,0.04873718632654597,-0.06314785466724451,3
-0.8699832904535987,0.7680334383719623,-1.2909376451601744,-0.535131623682169,-0.27242251733125916,1.09829787531026,3
