fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,sulphates,alcohol,target
-0.5244309620226647,0.9320001518998713,-1.3932579682543467,-0.4611570659989154,-0.24562280114914908,-0.46855351735712547,-0.5785613430756232,-0.9543742892850674,3
-0.2940627430687092,1.9158004330673288,-1.3932579682543467,0.056664837783860986,0.20009402992376119,0.8720027565130501,0.12482156902198069,-0.5845748022720374,3
-0.2940627430687092,1.2599335789556907,-1.1886173220660021,-0.16525883526590046,0.07853489417660377,-0.08553743910850388,-0.051024159002420445,-0.5845748022720374,3
1.6640671180399145,-1.3635338374908619,1.471711078382476,-0.4611570659989154,-0.26588265710700865,0.10597060001580692,-0.4613308577260231,-0.5845748022720374,4
-0.5244309620226647,0.7133778671959924,-1.3932579682543467,-0.535131623682169,-0.26588265710700865,-0.27704547823281467,-0.5785613430756232,-0.9543742892850674,3
-0.23647068833021995,0.385444440140173,-1.08629699897183,-0.6830807390486765,-0.3874417928541658,-0.08553743910850388,-1.1647137698236267,-0.9543742892850674,3
-0.5820230167611539,0.6587222960200224,-1.3932579682543467,-0.9789789697816916,-0.4684812166856041,-0.08553743910850388,-1.1060985271488266,-0.39967505876552323,5
-0.2940627430687092,0.27613329778823315,-1.2909376451601744,-0.3871825083156616,-0.3064023690227278,-0.6600615564814363,-0.5199461004008235,-0.8619244175318104,5
-0.46683890728417593,-0.1611112716195254,0.4485078474407534,2.645774356697742,-0.34692208093844695,0.10597060001580692,0.8282044811195846,0.06257430000076386,3
-0.9275753451920874,0.27613329778823315,-0.9839766758776577,-0.535131623682169,0.17983417396589965,-0.08553743910850388,-0.6957918284252239,-1.1392740327915833,3
-1.561087947315466,0.46742779690412783,-1.3932579682543467,-0.6830807390486765,0.01775532630302505,0.010216580453651524,-0.8130223137748247,-0.4921249305187803,3
-0.2940627430687092,0.44010001131614285,0.09038671661115057,-0.6830807390486765,0.524251725249514,-0.6600615564814363,5.282962924404409,-1.2317239045448403,3
0.3394498590546695,0.49475558249211277,-0.4723750604067966,0.9443595299829058,1.7803627946368061,3.4573612846912463,1.297126422517987,-1.1392740327915833,3
0.3394498590546695,0.49475558249211277,-0.4212148988597105,1.0183340876661597,1.658803658889649,3.361607265129091,1.590202635891989,-1.1392740327915833,3
0.10908164010071351,-1.3635338374908619,1.471711078382476,-0.535131623682169,0.07853489417660377,1.8295429521346043,0.5351282677455826,0.06257430000076386,5
-0.12128657885324247,0.16682215543629397,0.039226555064064694,-0.6091061813654229,5.670255138545841,0.010216580453651524,3.64173612951,-1.0468241610383244,3
-0.5244309620226647,0.33078886896420306,-0.9839766758776577,1.3882068760824287,-0.043024241570553665,-0.9473236151679025,-0.9302527991244255,-1.3241737762980974,2
-0.23647068833021995,-1.1449115527869826,1.2159102706470453,-0.535131623682169,5.123239027683633,0.10597060001580692,2.469431276013994,-1.1392740327915833,4
0.3394498590546695,-1.6914672645466813,1.0624297860057867,-0.535131623682169,-0.22536294519128952,1.2550188347616718,-0.7544070711000244,-0.9543742892850674,4
-0.40924685254568716,-0.7623225545551937,0.1927070397053229,-0.16525883526590046,-0.12406366540199364,0.6804947173887393,-0.051024159002420445,-0.6770246740252962,3
-0.23647068833021995,-0.5437002698513144,-0.3188945757655383,-0.6830807390486765,0.36217287758663746,-0.5643075369192809,1.472972150542388,-0.8619244175318104,3
0.10908164010071351,-0.2157668427954953,-0.8304961912363995,-0.16525883526590046,-0.08354395348627253,-0.6600615564814363,-0.7544070711000244,-0.9543742892850674,3
-0.8123912357151094,-0.7076669833792237,-0.677015706595141,-0.09128427758264665,-0.06328409752841295,0.48898667826442854,-0.1682546443520212,-0.6770246740252962,4
-1.1579435641460434,-0.7623225545551937,-0.5746953835009688,-0.8310298544151842,-0.1645833773177108,-0.46855351735712547,-0.5785613430756232,-1.0468241610383244,3
-0.40924685254568716,-0.6530114122032542,-0.16541409112427993,-0.535131623682169,-0.1645833773177108,-1.1388316542922132,-0.4027156150512227,-0.8619244175318104,3
