column name,count,mean,std,min,25%,50%,75%,max
number_of_features,360.0,12.794,5.375,3.0,8.0,12.0,17.25,24.0
proportion_of_numeric_features,360.0,0.867,0.229,0.125,0.824,1.0,1.0,1.0
number_of_instances,360.0,3766.553,4179.844,87.0,846.0,2119.5,5000.0,18905.0
number_of_classes,360.0,4.369,2.88,2.0,2.0,3.0,7.0,11.0
ratio_of_instances_to_features,360.0,370.474,586.294,7.429,68.097,175.581,411.111,3781.0
ratio_of_classes_to_features,360.0,0.452,0.477,0.083,0.164,0.286,0.507,3.333
ratio_of_instances_to_classes,360.0,1372.366,1889.292,10.875,206.55,512.0,1935.036,9452.5
ratio_of_min_to_max_instances_per_class,360.0,0.548,0.381,0.003,0.165,0.533,0.931,1.0
proportion_of_features_with_outliers,360.0,0.435,0.385,0.0,0.0,0.333,0.8,1.0
average_mutual_information,360.0,0.146,0.193,0.003,0.032,0.084,0.146,0.844
minimum_mutual_information,360.0,0.027,0.056,0.0,0.0,0.002,0.022,0.266
maximum_mutual_information,360.0,0.337,0.324,0.01,0.086,0.165,0.585,1.254
equivalent_number_of_features,360.0,1.182,0.282,1.003,1.032,1.088,1.158,2.326
noise_to_signal_ratio_of_features,360.0,1.82,5.144,-0.913,-0.532,0.294,1.292,36.239
batch_size,360.0,108.667,76.837,16.0,64.0,96.0,128.0,256.0
learning_rate,360.0,0.007,0.01,0.0,0.0,0.003,0.008,0.035
number_of_epochs,360.0,163.333,70.256,60.0,100.0,170.0,220.0,280.0
number_of_hidden_layers,360.0,3.083,1.224,2.0,2.0,3.0,4.0,6.0
avg_number_of_neurons,360.0,119.522,52.661,16.0,86.0,118.667,152.0,240.0
min_number_of_neurons,360.0,70.667,54.514,16.0,32.0,48.0,96.0,224.0
max_number_of_neurons,360.0,167.333,72.835,16.0,96.0,160.0,244.0,256.0
total_number_of_neurons,360.0,386.0,243.795,32.0,188.0,320.0,504.0,864.0
