Administrative_Duration,ProductRelated_Duration,PageValues,SpecialDay,Month,OperatingSystems,Browser,VisitorType,Weekend,target
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.5954513704662855,-0.31896228875540733,-0.3102395831740537,2,-0.1369798135909032,-0.20923684923667896,2,0,1
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,-0.3102395831740537,2,2.068612039808802,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.6274037570955574,-0.31896228875540733,-0.3102395831740537,2,0.9658161131089493,-0.20923684923667896,2,0,1
-0.46001930761763143,-0.3018888183082534,-0.31896228875540733,-0.3102395831740537,2,0.9658161131089493,0.37554349079850946,2,1,1
-0.46001930761763143,-0.5484518408768577,-0.31896228875540733,-0.3102395831740537,2,-0.1369798135909032,-0.20923684923667896,2,0,1
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,1.69318587324887,2,-0.1369798135909032,0.9603238308336979,2,0,1
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.20923684923667896,2,1,1
-0.46001930761763143,-0.609517366754248,-0.31896228875540733,3.6966113296717933,2,-0.1369798135909032,-0.20923684923667896,2,0,1
-0.46001930761763143,-0.2443224260927032,-0.31896228875540733,1.69318587324887,2,-0.1369798135909032,0.9603238308336979,2,0,1
-0.46001930761763143,-0.4230126752323749,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.4163703992075037,-0.31896228875540733,1.69318587324887,2,-1.2397757402907557,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.48266291874984546,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.5777386343999623,-0.31896228875540733,-0.3102395831740537,2,-0.1369798135909032,1.5451041708688862,2,0,1
-0.46001930761763143,-0.5933675191643651,-0.31896228875540733,-0.3102395831740537,2,0.9658161131089493,-0.20923684923667896,2,0,1
-0.16140180635669346,0.24032153800362074,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,0,1
-0.46001930761763143,-0.454287810171331,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,1,1
-0.46001930761763143,-0.6121221808816484,-0.31896228875540733,-0.3102395831740537,2,-0.1369798135909032,-0.20923684923667896,2,0,1
-0.46001930761763143,0.9242840187703784,-0.31896228875540733,-0.3102395831740537,2,-0.1369798135909032,0.9603238308336979,2,0,1
-0.46001930761763143,-0.5578552198767734,-0.31896228875540733,4.698324057883255,2,-0.1369798135909032,-0.20923684923667896,2,1,1
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,-0.3102395831740537,2,0.9658161131089493,0.37554349079850946,2,0,1
-0.46001930761763143,-0.5740918946216017,-0.31896228875540733,-0.3102395831740537,2,0.9658161131089493,-0.20923684923667896,2,0,1
-0.46001930761763143,-0.62097854891481,-0.31896228875540733,3.6966113296717933,2,-0.1369798135909032,0.9603238308336979,2,0,1
-0.46001930761763143,-0.6287929912970114,-0.31896228875540733,-0.3102395831740537,2,-0.1369798135909032,-0.20923684923667896,2,1,1
-0.46001930761763143,-0.5475227905221169,-0.31896228875540733,-0.3102395831740537,2,-1.2397757402907557,-0.7940171892718674,2,0,1
