column name,count,mean,std,min,25%,50%,75%,max,skewness
number_of_features,375.0,12.7893,5.3669,3.0,8.0,12.0,17.0,24.0,0.2672
proportion_of_numeric_features,375.0,0.859,0.218,0.2,0.6842,1.0,1.0,1.0,-1.3269
number_of_instances,375.0,3134.512,3714.0933,87.0,659.5,1746.0,4211.0,18905.0,2.2204
number_of_classes,375.0,4.328,2.841,2.0,2.0,3.0,7.0,11.0,1.0545
ratio_of_instances_to_features,375.0,291.5194,488.314,5.3889,61.0329,147.5,323.3182,3781.0,4.7133
ratio_of_classes_to_features,375.0,0.4421,0.4658,0.0833,0.1667,0.2857,0.5,3.3333,3.141
ratio_of_instances_to_classes,375.0,1114.3374,1678.2571,10.875,146.0071,432.0,1531.0714,9452.5,3.0286
ratio_of_min_to_max_instances_per_class,375.0,0.544,0.3659,0.0028,0.1647,0.5332,0.9277,1.0,-0.0957
proportion_of_features_with_outliers,375.0,0.4434,0.3947,0.0,0.0426,0.3125,0.9048,1.0,0.3066
average_mutual_information,375.0,0.1259,0.1586,0.0028,0.0396,0.077,0.1445,0.8442,2.6676
minimum_mutual_information,375.0,0.0244,0.0556,0.0,0.0,0.0,0.0136,0.2657,2.964
maximum_mutual_information,375.0,0.3319,0.3348,0.0097,0.0891,0.1452,0.5556,1.2651,1.185
equivalent_number_of_features,375.0,1.1507,0.2287,1.0028,1.0404,1.0801,1.1554,2.326,3.2766
noise_to_signal_ratio_of_features,375.0,1.7692,5.0332,-0.8819,-0.4965,0.2997,1.2967,36.2394,3.8973
batch_size,375.0,117.12,80.0068,16.0,64.0,128.0,128.0,256.0,0.6433
learning_rate,375.0,0.0075,0.0102,0.0005,0.0005,0.0024,0.0097,0.035,1.4393
number_of_epochs,375.0,165.6,69.2635,60.0,100.0,180.0,220.0,280.0,-0.1094
number_of_hidden_layers,375.0,3.08,1.2641,2.0,2.0,3.0,4.0,6.0,0.807
avg_number_of_neurons,375.0,112.3947,44.7003,16.0,85.3333,112.0,144.0,212.0,-0.0816
min_number_of_neurons,375.0,58.88,44.5659,16.0,16.0,48.0,80.0,144.0,0.8817
max_number_of_neurons,375.0,163.2,70.6396,16.0,96.0,160.0,240.0,256.0,-0.1653
total_number_of_neurons,375.0,372.48,245.4366,32.0,176.0,304.0,560.0,864.0,0.6771
