Age,Height,Weight,family_history_with_overweight,FAVC,CAEC,SMOKE,CH2O,SCC,FAF,MTRANS,target
-0.5266129653052257,-0.8874078448319899,-0.8729846717921206,1,0,2,0,-0.007809792645202223,0,-1.186976796951632,3,2
-0.5266129653052257,-1.9607882707489745,-1.1785080972923039,1,0,2,1,1.6365521492186184,1,2.328908422876092,3,2
-0.21250687382706582,1.04467692181858,-0.37650910535432275,1,0,2,0,-0.007809792645202223,0,1.1569466829335175,3,2
0.415705309129254,1.04467692181858,0.005395176520906416,0,0,2,0,-0.007809792645202223,0,1.1569466829335175,4,6
-0.36955991956614576,0.8300008366351832,0.11232837544597046,0,0,2,0,-0.007809792645202223,0,-1.186976796951632,3,7
0.7298114006074139,-0.8874078448319899,-1.2930793818548727,0,1,2,0,-0.007809792645202223,0,-1.186976796951632,0,2
-0.21250687382706582,-2.1754643559323714,-1.2166985254798268,1,1,2,0,-0.007809792645202223,0,-0.015015057009057335,2,2
-0.36955991956614576,-0.6727317596485953,-1.2930793818548727,0,0,2,0,-0.007809792645202223,0,2.328908422876092,3,2
-0.05545382808798585,0.8300008366351832,-0.8729846717921206,1,1,2,0,-0.007809792645202223,0,-0.015015057009057335,3,2
-0.36955991956614576,0.1859725810849924,-0.7202229590420289,1,1,2,0,-0.007809792645202223,0,-0.015015057009057335,3,2
0.25865226339017405,1.5813671347770724,0.6928228838963189,1,1,1,0,1.6365521492186184,0,1.1569466829335175,3,3
-0.5266129653052257,0.1859725810849924,-0.261937820791754,1,1,1,0,-0.007809792645202223,1,1.1569466829335175,3,7
-0.36955991956614576,-0.5653937170568969,-1.1785080972923039,0,0,2,0,1.6365521492186184,0,1.1569466829335175,3,2
2.6144479494763733,1.04467692181858,0.4636803147711814,0,1,2,0,-0.007809792645202223,0,1.1569466829335175,0,3
-0.21250687382706582,0.7226627940434848,-1.0257463845422123,1,1,2,0,-1.6521717345090228,0,-0.015015057009057335,3,2
-0.36955991956614576,-0.028703504098404536,-0.7966038154170748,1,0,0,0,-0.007809792645202223,1,1.1569466829335175,3,2
0.415705309129254,2.4400714755106576,0.5782515993337501,1,1,2,0,-1.6521717345090228,0,-0.015015057009057335,3,7
0.7298114006074139,-1.853450228157276,-0.3383186771667998,0,1,2,0,-0.007809792645202223,0,-1.186976796951632,0,3
0.8868644463464939,0.07863453849329392,-0.18555696441670816,1,1,1,1,-1.6521717345090228,0,-1.186976796951632,0,7
-0.21250687382706582,-0.5653937170568969,-0.6438421026669832,1,0,2,0,-0.007809792645202223,0,-1.186976796951632,3,6
-0.36955991956614576,-0.5653937170568969,-0.261937820791754,1,0,2,0,-0.007809792645202223,0,2.328908422876092,4,7
