seats,luggage_boot,safety,target
-1.224744871391589,-1.224744871391589,-1.224744871391589,1
-1.224744871391589,-1.224744871391589,0.0,1
-1.224744871391589,-1.224744871391589,1.224744871391589,1
-1.224744871391589,0.0,-1.224744871391589,1
-1.224744871391589,0.0,0.0,1
-1.224744871391589,0.0,1.224744871391589,1
-1.224744871391589,1.224744871391589,-1.224744871391589,1
-1.224744871391589,1.224744871391589,0.0,1
-1.224744871391589,1.224744871391589,1.224744871391589,1
0.0,-1.224744871391589,-1.224744871391589,1
0.0,-1.224744871391589,0.0,1
0.0,-1.224744871391589,1.224744871391589,1
0.0,0.0,-1.224744871391589,1
0.0,0.0,0.0,1
0.0,0.0,1.224744871391589,1
0.0,1.224744871391589,-1.224744871391589,1
0.0,1.224744871391589,0.0,1
0.0,1.224744871391589,1.224744871391589,1
1.224744871391589,-1.224744871391589,-1.224744871391589,1
1.224744871391589,-1.224744871391589,0.0,1
1.224744871391589,-1.224744871391589,1.224744871391589,1
1.224744871391589,0.0,-1.224744871391589,1
1.224744871391589,0.0,0.0,1
1.224744871391589,0.0,1.224744871391589,1
1.224744871391589,1.224744871391589,-1.224744871391589,1
1.224744871391589,1.224744871391589,0.0,1
1.224744871391589,1.224744871391589,1.224744871391589,1
-1.224744871391589,-1.224744871391589,-1.224744871391589,1
-1.224744871391589,-1.224744871391589,0.0,1
-1.224744871391589,-1.224744871391589,1.224744871391589,1
-1.224744871391589,0.0,-1.224744871391589,1
-1.224744871391589,0.0,0.0,1
-1.224744871391589,0.0,1.224744871391589,1
-1.224744871391589,1.224744871391589,-1.224744871391589,1
-1.224744871391589,1.224744871391589,0.0,1
-1.224744871391589,1.224744871391589,1.224744871391589,1
0.0,-1.224744871391589,-1.224744871391589,1
0.0,-1.224744871391589,0.0,1
0.0,-1.224744871391589,1.224744871391589,1
0.0,0.0,-1.224744871391589,1
0.0,0.0,0.0,1
0.0,0.0,1.224744871391589,1
0.0,1.224744871391589,-1.224744871391589,1
0.0,1.224744871391589,0.0,1
0.0,1.224744871391589,1.224744871391589,1
1.224744871391589,-1.224744871391589,-1.224744871391589,1
1.224744871391589,-1.224744871391589,0.0,1
1.224744871391589,-1.224744871391589,1.224744871391589,1
1.224744871391589,0.0,-1.224744871391589,1
1.224744871391589,0.0,0.0,1
1.224744871391589,0.0,1.224744871391589,1
1.224744871391589,1.224744871391589,-1.224744871391589,1
1.224744871391589,1.224744871391589,0.0,1
1.224744871391589,1.224744871391589,1.224744871391589,1
-1.224744871391589,-1.224744871391589,-1.224744871391589,1
-1.224744871391589,-1.224744871391589,0.0,1
-1.224744871391589,-1.224744871391589,1.224744871391589,1
-1.224744871391589,0.0,-1.224744871391589,1
-1.224744871391589,0.0,0.0,1
-1.224744871391589,0.0,1.224744871391589,1
-1.224744871391589,1.224744871391589,-1.224744871391589,1
-1.224744871391589,1.224744871391589,0.0,1
-1.224744871391589,1.224744871391589,1.224744871391589,1
0.0,-1.224744871391589,-1.224744871391589,1
0.0,-1.224744871391589,0.0,1
0.0,-1.224744871391589,1.224744871391589,1
0.0,0.0,-1.224744871391589,1
0.0,0.0,0.0,1
0.0,0.0,1.224744871391589,1
0.0,1.224744871391589,-1.224744871391589,1
0.0,1.224744871391589,0.0,1
0.0,1.224744871391589,1.224744871391589,1
