column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,576.0,112.8889,86.0676,16.0,32.0,96.0,128.0,256.0,0.671
learning_rate,576.0,0.0057,0.0083,0.0005,0.0005,0.0026,0.0069,0.035,2.1499
number_of_epochs,576.0,161.6667,70.9881,60.0,100.0,160.0,220.0,300.0,0.0248
number_of_hidden_layers,576.0,3.0833,1.2343,2.0,2.0,3.0,4.0,6.0,0.732
avg_number_of_neurons,576.0,114.1407,49.0953,16.0,80.0,112.0,150.8,240.0,0.2366
min_number_of_neurons,576.0,57.7778,50.9598,16.0,16.0,32.0,80.0,224.0,1.4203
max_number_of_neurons,576.0,169.7778,69.7293,16.0,132.0,168.0,228.0,256.0,-0.3811
total_number_of_neurons,576.0,363.5556,221.5936,32.0,188.0,320.0,480.0,864.0,0.6879
depth_to_width_ratio,576.0,0.0335,0.0222,0.0083,0.0193,0.0293,0.0368,0.125,2.2151
batch_size_to_dataset_ratio,576.0,0.1827,0.35,0.0025,0.0104,0.0475,0.1866,2.6122,3.6178
number_of_features,576.0,12.9149,5.4321,2.0,9.0,12.0,18.0,24.0,0.1649
proportion_of_numeric_features,576.0,0.8171,0.2865,0.0,0.6842,1.0,1.0,1.0,-1.4759
number_of_instances,576.0,3322.7413,3869.7358,88.0,630.0,1662.0,5000.0,18905.0,1.8183
number_of_classes,576.0,4.5764,2.677,2.0,2.0,4.0,6.0,11.0,0.9581
ratio_of_instances_to_features,576.0,295.8217,443.3924,5.4444,56.9561,140.9643,360.8807,3781.0,3.7621
ratio_of_classes_to_features,576.0,0.4576,0.4387,0.0909,0.2,0.3333,0.5455,3.3333,3.0531
ratio_of_instances_to_classes,576.0,1065.7153,1647.2192,13.4,145.3,384.0,1292.5,9452.5,2.9073
ratio_of_min_to_max_instances_per_class,576.0,0.5167,0.3929,0.0028,0.0934,0.533,0.9222,1.0,-0.0364
proportion_of_features_with_outliers,576.0,0.4717,0.3918,0.0,0.0417,0.4495,0.8889,1.0,0.1113
average_mutual_information,576.0,0.1455,0.1772,0.0013,0.0366,0.084,0.1668,0.8509,2.3017
minimum_mutual_information,576.0,0.0229,0.0507,0.0,0.0,0.0008,0.0178,0.2708,3.2342
maximum_mutual_information,576.0,0.3601,0.3307,0.0053,0.1067,0.2305,0.5675,1.303,1.1616
equivalent_number_of_features,576.0,1.1777,0.2586,1.0013,1.0372,1.0876,1.1815,2.3417,2.7858
noise_to_signal_ratio_of_features,576.0,2.0215,7.2636,-0.9069,-0.5856,0.0964,1.1512,72.4841,5.8285
avg_learning_slope,576.0,-0.002,0.0019,-0.0085,-0.0029,-0.0015,-0.0004,0.0005,-1.2748
std_learning_slope,576.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0002,0.0011,1.9927
avg_validation_gap,576.0,0.0945,0.1214,-0.0269,0.0141,0.0431,0.1374,0.6283,2.0407
std_validation_gap,576.0,0.0199,0.0226,0.0,0.005,0.0127,0.0242,0.1423,2.2147
avg_first_overfit_epoch,576.0,34.3127,40.2417,3.6,14.3,20.6,34.85,280.0,3.2551
std_first_overfit_epoch,576.0,15.4142,17.6064,0.0,6.1172,9.1373,14.3157,98.0317,2.5255
avg_first_stay_epoch,576.0,6.6698,5.3007,2.0,2.9,4.9,8.9,33.6,2.0094
std_first_stay_epoch,576.0,1.724,1.8698,0.0,0.6,1.1662,2.3152,12.8125,2.5453
avg_percentage_weights_near_zero,576.0,29.8363,16.2441,5.4399,16.6444,28.1371,40.8093,67.5389,0.4843
std_percentage_weights_near_zero,576.0,1.381,1.3387,0.1874,0.6001,0.9497,1.6118,14.2059,3.4056
avg_avg_weights,576.0,0.1552,0.1145,0.0426,0.0795,0.1191,0.1922,0.7261,2.3114
std_avg_weights,576.0,0.0101,0.013,0.0001,0.0017,0.0045,0.0125,0.0641,2.0069
